 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                pos           vel           temp          den           pres          ener          entr          cs
      1  0.000000000000E+00  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  0.000000E+00  4.464260E+07  9.590200E+06
      2  1.000000000000E-16  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  4.676352E-20  4.464260E+07  9.590200E+06
      3  1.100000000000E-15  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  5.143987E-19  4.464260E+07  9.590200E+06
      4  1.110000000000E-14  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  5.190751E-18  4.464260E+07  9.590200E+06
      5  1.111000000000E-13  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  5.195427E-17  4.464260E+07  9.590200E+06
      6  1.111100000000E-12  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  5.195895E-16  4.464260E+07  9.590200E+06
      7  1.111110000000E-11  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  5.195942E-15  4.464260E+07  9.590200E+06
      8  1.111111000000E-10  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  5.195946E-14  4.464260E+07  9.590200E+06
      9  1.111111100000E-09  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  5.195947E-13  4.464260E+07  9.590200E+06
     10  1.111111110000E-08  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  5.195947E-12  4.464260E+07  9.590200E+06
     11  4.567476566510E-08  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  2.135913E-11  4.464260E+07  9.590200E+06
     12  1.658089127914E-07  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  7.753821E-11  4.464260E+07  9.590200E+06
     13  4.445546741016E-07  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  2.078901E-10  4.464260E+07  9.590200E+06
     14  1.066239799837E-06  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  4.986170E-10  4.464260E+07  9.590200E+06
     15  2.222704079044E-06  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.039433E-09  4.464260E+07  9.590200E+06
     16  4.298102471270E-06  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  2.010010E-09  4.464260E+07  9.590200E+06
     17  7.691889062333E-06  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  3.597262E-09  4.464260E+07  9.590200E+06
     18  1.308909950745E-05  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  6.121550E-09  4.464260E+07  9.590200E+06
     19  1.857566740576E-05  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  8.687735E-09  4.464260E+07  9.590200E+06
     20  2.437304006798E-05  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.139939E-08  4.464260E+07  9.590200E+06
     21  3.062636084650E-05  0.000000E+00  0.000000E+00  1.000000E+04  1.000000E+02  5.194112E+15  1.432439E-08  4.464260E+07  9.590200E+06
