 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                h2            h3            he3           li6           li7           li8           li9           be7  
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000003E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000005E-30  1.000000E-30  1.000000E-30  1.000030E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000046E-30  1.000000E-30  1.000000E-30  1.000298E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000460E-30  1.000000E-30  1.000000E-30  1.002977E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.001893E-30  1.000000E-30  1.000000E-30  1.012239E-30  1.000000E-30  1.000000E-30  1.000000E-30
     12  1.658089127914E-07  1.000000E-30  1.006872E-30  1.000000E-30  1.000000E-30  1.044431E-30  1.000000E-30  1.000000E-30  1.000000E-30
     13  4.445546741016E-07  1.000001E-30  1.018424E-30  1.000000E-30  1.000000E-30  1.119124E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.066239799837E-06  1.000003E-30  1.044189E-30  1.000000E-30  1.000000E-30  1.285712E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  2.222704079044E-06  1.000007E-30  1.092117E-30  1.000000E-30  1.000000E-30  1.595602E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  4.298102471270E-06  1.000018E-30  1.178130E-30  1.000000E-30  1.000000E-30  2.151730E-30  1.000001E-30  1.000000E-30  1.000000E-30
     17  7.691889062333E-06  1.000043E-30  1.318781E-30  1.000000E-30  1.000000E-30  3.061138E-30  1.000002E-30  1.000000E-30  1.000000E-30
     18  1.308909950745E-05  1.000102E-30  1.542462E-30  1.000000E-30  1.000000E-30  4.507386E-30  1.000006E-30  1.000000E-30  1.000000E-30
     19  1.857566740576E-05  1.000187E-30  1.769847E-30  1.000000E-30  1.000000E-30  5.977577E-30  1.000010E-30  1.000000E-30  1.000000E-30
     20  2.437304006798E-05  1.000305E-30  2.010112E-30  1.000000E-30  1.000000E-30  7.531051E-30  1.000016E-30  1.000000E-30  1.000000E-30
     21  3.062636084650E-05  1.000463E-30  2.269273E-30  1.000000E-30  1.000000E-30  9.206701E-30  1.000025E-30  1.000000E-30  1.000000E-30
     22  3.755179443036E-05  1.000676E-30  2.556290E-30  1.000000E-30  1.000000E-30  1.106245E-29  1.000036E-30  1.000000E-30  1.000000E-30
     23  4.608652240190E-05  1.000994E-30  2.910001E-30  1.000000E-30  1.000000E-30  1.334942E-29  1.000052E-30  1.000000E-30  1.000000E-30
     24  5.520402925860E-05  1.001401E-30  3.287866E-30  1.000000E-30  1.000000E-30  1.579255E-29  1.000073E-30  1.000000E-30  1.000000E-30
     25  6.472551468226E-05  1.001899E-30  3.682472E-30  1.000000E-30  1.000000E-30  1.834393E-29  1.000098E-30  1.000000E-30  1.000000E-30
     26  7.459047774494E-05  1.002496E-30  4.091314E-30  1.000000E-30  1.000000E-30  2.098734E-29  1.000129E-30  1.000000E-30  1.000000E-30
