 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ne19          ne20          ne21          ne22          ne23          ne24          ne25          ne26 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000002E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000019E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000187E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000770E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000003E-30
     12  1.658089127914E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.002794E-30  1.000000E-30  1.000000E-30  1.000002E-30  1.000011E-30
     13  4.445546741016E-07  1.000000E-30  1.000001E-30  1.000000E-30  1.007492E-30  1.000000E-30  1.000001E-30  1.000006E-30  1.000030E-30
     14  1.066239799837E-06  1.000000E-30  1.000001E-30  1.000000E-30  1.017969E-30  1.000000E-30  1.000002E-30  1.000014E-30  1.000073E-30
     15  2.222704079044E-06  1.000000E-30  1.000003E-30  1.000001E-30  1.037459E-30  1.000001E-30  1.000004E-30  1.000028E-30  1.000152E-30
     16  4.298102471270E-06  1.000000E-30  1.000006E-30  1.000002E-30  1.072436E-30  1.000001E-30  1.000007E-30  1.000055E-30  1.000295E-30
     17  7.691889062333E-06  1.000000E-30  1.000010E-30  1.000004E-30  1.129631E-30  1.000002E-30  1.000013E-30  1.000098E-30  1.000528E-30
     18  1.308909950745E-05  1.000000E-30  1.000018E-30  1.000006E-30  1.220590E-30  1.000004E-30  1.000023E-30  1.000166E-30  1.000898E-30
     19  1.857566740576E-05  1.000000E-30  1.000025E-30  1.000009E-30  1.313056E-30  1.000005E-30  1.000032E-30  1.000236E-30  1.001274E-30
     20  2.437304006798E-05  1.000000E-30  1.000033E-30  1.000011E-30  1.410759E-30  1.000007E-30  1.000042E-30  1.000310E-30  1.001672E-30
     21  3.062636084650E-05  1.000000E-30  1.000041E-30  1.000014E-30  1.516146E-30  1.000009E-30  1.000053E-30  1.000389E-30  1.002101E-30
     22  3.755179443036E-05  1.000000E-30  1.000050E-30  1.000017E-30  1.632860E-30  1.000011E-30  1.000065E-30  1.000477E-30  1.002576E-30
     23  4.608652240190E-05  1.000000E-30  1.000062E-30  1.000021E-30  1.776696E-30  1.000013E-30  1.000080E-30  1.000586E-30  1.003161E-30
     24  5.520402925860E-05  1.000000E-30  1.000074E-30  1.000026E-30  1.930353E-30  1.000016E-30  1.000095E-30  1.000702E-30  1.003786E-30
     25  6.472551468226E-05  1.000000E-30  1.000087E-30  1.000030E-30  2.090819E-30  1.000019E-30  1.000112E-30  1.000823E-30  1.004439E-30
     26  7.459047774494E-05  1.000000E-30  1.000100E-30  1.000035E-30  2.257073E-30  1.000022E-30  1.000129E-30  1.000948E-30  1.005116E-30
