 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                mg23          mg24          mg25          mg26          mg27          mg28          mg29          mg30 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000001E-30
     12  1.658089127914E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000004E-30  1.000002E-30  1.000002E-30
     13  4.445546741016E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000010E-30  1.000007E-30  1.000005E-30
     14  1.066239799837E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000002E-30  1.000024E-30  1.000016E-30  1.000013E-30
     15  2.222704079044E-06  1.000000E-30  1.000001E-30  1.000000E-30  1.000001E-30  1.000005E-30  1.000051E-30  1.000033E-30  1.000028E-30
     16  4.298102471270E-06  1.000000E-30  1.000001E-30  1.000000E-30  1.000003E-30  1.000010E-30  1.000098E-30  1.000064E-30  1.000053E-30
     17  7.691889062333E-06  1.000000E-30  1.000003E-30  1.000001E-30  1.000005E-30  1.000018E-30  1.000175E-30  1.000115E-30  1.000095E-30
     18  1.308909950745E-05  1.000000E-30  1.000004E-30  1.000001E-30  1.000008E-30  1.000030E-30  1.000297E-30  1.000195E-30  1.000162E-30
     19  1.857566740576E-05  1.000000E-30  1.000006E-30  1.000002E-30  1.000012E-30  1.000043E-30  1.000422E-30  1.000277E-30  1.000230E-30
     20  2.437304006798E-05  1.000000E-30  1.000008E-30  1.000003E-30  1.000016E-30  1.000056E-30  1.000554E-30  1.000363E-30  1.000302E-30
     21  3.062636084650E-05  1.000000E-30  1.000010E-30  1.000003E-30  1.000020E-30  1.000071E-30  1.000696E-30  1.000457E-30  1.000380E-30
     22  3.755179443036E-05  1.000000E-30  1.000013E-30  1.000004E-30  1.000024E-30  1.000086E-30  1.000854E-30  1.000560E-30  1.000466E-30
     23  4.608652240190E-05  1.000000E-30  1.000016E-30  1.000005E-30  1.000030E-30  1.000106E-30  1.001048E-30  1.000687E-30  1.000572E-30
     24  5.520402925860E-05  1.000000E-30  1.000019E-30  1.000006E-30  1.000036E-30  1.000127E-30  1.001255E-30  1.000823E-30  1.000685E-30
     25  6.472551468226E-05  1.000000E-30  1.000022E-30  1.000007E-30  1.000042E-30  1.000149E-30  1.001472E-30  1.000966E-30  1.000804E-30
     26  7.459047774494E-05  1.000000E-30  1.000025E-30  1.000008E-30  1.000048E-30  1.000172E-30  1.001696E-30  1.001113E-30  1.000927E-30
