 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                si36          si37          si38          si39          si40          si41          si42          si43 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000001E-30  1.000000E-30  1.000002E-30  1.000002E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000003E-30  1.000000E-30  1.000007E-30  1.000007E-30  1.000000E-30  1.000000E-30  1.000000E-30
     12  1.658089127914E-07  1.000001E-30  1.000012E-30  1.000000E-30  1.000024E-30  1.000026E-30  1.000000E-30  1.000000E-30  1.000000E-30
     13  4.445546741016E-07  1.000003E-30  1.000042E-30  1.000000E-30  1.000066E-30  1.000070E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.066239799837E-06  1.000007E-30  1.000159E-30  1.000000E-30  1.000157E-30  1.000167E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  2.222704079044E-06  1.000014E-30  1.000553E-30  1.000000E-30  1.000328E-30  1.000349E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  4.298102471270E-06  1.000026E-30  1.001840E-30  1.000000E-30  1.000634E-30  1.000674E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  7.691889062333E-06  1.000047E-30  1.005547E-30  1.000000E-30  1.001135E-30  1.001207E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  1.308909950745E-05  1.000081E-30  1.015536E-30  1.000000E-30  1.001931E-30  1.002053E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  1.857566740576E-05  1.000114E-30  1.030842E-30  1.000000E-30  1.002741E-30  1.002913E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  2.437304006798E-05  1.000150E-30  1.052656E-30  1.000000E-30  1.003596E-30  1.003822E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  3.062636084650E-05  1.000189E-30  1.082680E-30  1.000000E-30  1.004518E-30  1.004803E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  3.755179443036E-05  1.000232E-30  1.123795E-30  1.000000E-30  1.005540E-30  1.005888E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  4.608652240190E-05  1.000284E-30  1.185827E-30  1.000000E-30  1.006799E-30  1.007226E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.520402925860E-05  1.000340E-30  1.265944E-30  1.000000E-30  1.008144E-30  1.008655E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  6.472551468226E-05  1.000399E-30  1.364875E-30  1.000000E-30  1.009549E-30  1.010147E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  7.459047774494E-05  1.000460E-30  1.483810E-30  1.000000E-30  1.011004E-30  1.011692E-30  1.000000E-30  1.000000E-30  1.000000E-30
