 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                p40           p41           p42           p43           p44           p45           p46           s26  
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000001E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     12  1.658089127914E-07  1.000002E-30  1.000001E-30  1.000000E-30  1.000005E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     13  4.445546741016E-07  1.000006E-30  1.000002E-30  1.000000E-30  1.000014E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.066239799837E-06  1.000014E-30  1.000006E-30  1.000000E-30  1.000035E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  2.222704079044E-06  1.000029E-30  1.000012E-30  1.000000E-30  1.000072E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  4.298102471270E-06  1.000057E-30  1.000023E-30  1.000000E-30  1.000139E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  7.691889062333E-06  1.000102E-30  1.000041E-30  1.000000E-30  1.000249E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  1.308909950745E-05  1.000174E-30  1.000070E-30  1.000000E-30  1.000424E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  1.857566740576E-05  1.000247E-30  1.000099E-30  1.000000E-30  1.000602E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  2.437304006798E-05  1.000324E-30  1.000131E-30  1.000000E-30  1.000790E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  3.062636084650E-05  1.000408E-30  1.000164E-30  1.000000E-30  1.000992E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  3.755179443036E-05  1.000500E-30  1.000201E-30  1.000000E-30  1.001216E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  4.608652240190E-05  1.000614E-30  1.000247E-30  1.000000E-30  1.001493E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.520402925860E-05  1.000737E-30  1.000296E-30  1.000000E-30  1.001788E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  6.472551468226E-05  1.000865E-30  1.000347E-30  1.000000E-30  1.002096E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  7.459047774494E-05  1.000998E-30  1.000399E-30  1.000000E-30  1.002415E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
