 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                s35           s36           s37           s38           s39           s40           s41           s42  
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30
     12  1.658089127914E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000002E-30
     13  4.445546741016E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000002E-30  1.000003E-30  1.000006E-30
     14  1.066239799837E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000002E-30  1.000003E-30  1.000006E-30  1.000007E-30  1.000015E-30
     15  2.222704079044E-06  1.000000E-30  1.000000E-30  1.000001E-30  1.000004E-30  1.000006E-30  1.000012E-30  1.000015E-30  1.000030E-30
     16  4.298102471270E-06  1.000000E-30  1.000001E-30  1.000001E-30  1.000012E-30  1.000012E-30  1.000023E-30  1.000028E-30  1.000058E-30
     17  7.691889062333E-06  1.000000E-30  1.000001E-30  1.000002E-30  1.000033E-30  1.000021E-30  1.000042E-30  1.000051E-30  1.000105E-30
     18  1.308909950745E-05  1.000000E-30  1.000002E-30  1.000004E-30  1.000085E-30  1.000036E-30  1.000072E-30  1.000086E-30  1.000178E-30
     19  1.857566740576E-05  1.000000E-30  1.000002E-30  1.000006E-30  1.000162E-30  1.000050E-30  1.000102E-30  1.000122E-30  1.000253E-30
     20  2.437304006798E-05  1.000000E-30  1.000003E-30  1.000007E-30  1.000271E-30  1.000066E-30  1.000133E-30  1.000160E-30  1.000332E-30
     21  3.062636084650E-05  1.000000E-30  1.000004E-30  1.000009E-30  1.000420E-30  1.000083E-30  1.000167E-30  1.000202E-30  1.000417E-30
     22  3.755179443036E-05  1.000001E-30  1.000005E-30  1.000011E-30  1.000622E-30  1.000102E-30  1.000205E-30  1.000247E-30  1.000511E-30
     23  4.608652240190E-05  1.000001E-30  1.000006E-30  1.000014E-30  1.000926E-30  1.000125E-30  1.000252E-30  1.000303E-30  1.000627E-30
     24  5.520402925860E-05  1.000001E-30  1.000007E-30  1.000016E-30  1.001317E-30  1.000150E-30  1.000302E-30  1.000363E-30  1.000751E-30
     25  6.472551468226E-05  1.000001E-30  1.000008E-30  1.000019E-30  1.001798E-30  1.000176E-30  1.000354E-30  1.000426E-30  1.000881E-30
     26  7.459047774494E-05  1.000001E-30  1.000009E-30  1.000022E-30  1.002376E-30  1.000202E-30  1.000408E-30  1.000491E-30  1.001015E-30
