 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                cl45          cl46          cl47          cl48          cl49          cl50          cl51          ar30 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000001E-30  1.000005E-30  1.000001E-30  1.000005E-30  1.000000E-30  1.000000E-30  1.000000E-30
     12  1.658089127914E-07  1.000001E-30  1.000002E-30  1.000019E-30  1.000005E-30  1.000019E-30  1.000000E-30  1.000000E-30  1.000000E-30
     13  4.445546741016E-07  1.000004E-30  1.000010E-30  1.000052E-30  1.000014E-30  1.000050E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.066239799837E-06  1.000009E-30  1.000039E-30  1.000124E-30  1.000034E-30  1.000120E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  2.222704079044E-06  1.000019E-30  1.000143E-30  1.000258E-30  1.000070E-30  1.000250E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  4.298102471270E-06  1.000036E-30  1.000491E-30  1.000498E-30  1.000135E-30  1.000483E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  7.691889062333E-06  1.000065E-30  1.001505E-30  1.000891E-30  1.000242E-30  1.000864E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  1.308909950745E-05  1.000111E-30  1.004258E-30  1.001516E-30  1.000412E-30  1.001470E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  1.857566740576E-05  1.000157E-30  1.008490E-30  1.002152E-30  1.000585E-30  1.002086E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  2.437304006798E-05  1.000206E-30  1.014534E-30  1.002823E-30  1.000767E-30  1.002737E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  3.062636084650E-05  1.000259E-30  1.022862E-30  1.003548E-30  1.000964E-30  1.003439E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  3.755179443036E-05  1.000318E-30  1.034276E-30  1.004350E-30  1.001182E-30  1.004217E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  4.608652240190E-05  1.000390E-30  1.051511E-30  1.005338E-30  1.001450E-30  1.005174E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.520402925860E-05  1.000467E-30  1.073786E-30  1.006394E-30  1.001737E-30  1.006197E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  6.472551468226E-05  1.000548E-30  1.101307E-30  1.007497E-30  1.002037E-30  1.007266E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  7.459047774494E-05  1.000632E-30  1.134410E-30  1.008639E-30  1.002347E-30  1.008372E-30  1.000000E-30  1.000000E-30  1.000000E-30
