 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                k48           k49           k50           k51           k52           k53           k54           k55  
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000002E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000003E-30  1.000009E-30  1.000000E-30  1.000000E-30
     12  1.658089127914E-07  1.000000E-30  1.000002E-30  1.000002E-30  1.000004E-30  1.000010E-30  1.000034E-30  1.000000E-30  1.000000E-30
     13  4.445546741016E-07  1.000001E-30  1.000004E-30  1.000006E-30  1.000012E-30  1.000028E-30  1.000092E-30  1.000000E-30  1.000000E-30
     14  1.066239799837E-06  1.000003E-30  1.000011E-30  1.000015E-30  1.000029E-30  1.000067E-30  1.000222E-30  1.000000E-30  1.000000E-30
     15  2.222704079044E-06  1.000006E-30  1.000022E-30  1.000031E-30  1.000060E-30  1.000139E-30  1.000462E-30  1.000000E-30  1.000000E-30
     16  4.298102471270E-06  1.000012E-30  1.000043E-30  1.000060E-30  1.000116E-30  1.000270E-30  1.000894E-30  1.000000E-30  1.000000E-30
     17  7.691889062333E-06  1.000021E-30  1.000077E-30  1.000107E-30  1.000207E-30  1.000482E-30  1.001599E-30  1.000000E-30  1.000000E-30
     18  1.308909950745E-05  1.000036E-30  1.000131E-30  1.000181E-30  1.000352E-30  1.000821E-30  1.002721E-30  1.000000E-30  1.000000E-30
     19  1.857566740576E-05  1.000050E-30  1.000186E-30  1.000258E-30  1.000500E-30  1.001165E-30  1.003862E-30  1.000000E-30  1.000000E-30
     20  2.437304006798E-05  1.000066E-30  1.000244E-30  1.000338E-30  1.000657E-30  1.001528E-30  1.005067E-30  1.000000E-30  1.000000E-30
     21  3.062636084650E-05  1.000083E-30  1.000307E-30  1.000425E-30  1.000825E-30  1.001920E-30  1.006366E-30  1.000000E-30  1.000000E-30
     22  3.755179443036E-05  1.000102E-30  1.000376E-30  1.000521E-30  1.001012E-30  1.002355E-30  1.007805E-30  1.000000E-30  1.000000E-30
     23  4.608652240190E-05  1.000125E-30  1.000462E-30  1.000640E-30  1.001242E-30  1.002890E-30  1.009578E-30  1.000000E-30  1.000000E-30
     24  5.520402925860E-05  1.000150E-30  1.000553E-30  1.000767E-30  1.001488E-30  1.003461E-30  1.011472E-30  1.000000E-30  1.000000E-30
     25  6.472551468226E-05  1.000176E-30  1.000649E-30  1.000900E-30  1.001746E-30  1.004058E-30  1.013449E-30  1.000000E-30  1.000000E-30
     26  7.459047774494E-05  1.000203E-30  1.000748E-30  1.001038E-30  1.002012E-30  1.004677E-30  1.015497E-30  1.000000E-30  1.000000E-30
