 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ca49          ca50          ca51          ca52          ca53          ca54          ca55          ca56 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000002E-30  1.000002E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000006E-30  1.000006E-30
     12  1.658089127914E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000003E-30  1.000000E-30  1.000022E-30  1.000023E-30
     13  4.445546741016E-07  1.000000E-30  1.000001E-30  1.000001E-30  1.000003E-30  1.000007E-30  1.000000E-30  1.000060E-30  1.000061E-30
     14  1.066239799837E-06  1.000001E-30  1.000002E-30  1.000002E-30  1.000007E-30  1.000016E-30  1.000000E-30  1.000145E-30  1.000147E-30
     15  2.222704079044E-06  1.000001E-30  1.000003E-30  1.000004E-30  1.000014E-30  1.000034E-30  1.000000E-30  1.000301E-30  1.000307E-30
     16  4.298102471270E-06  1.000002E-30  1.000006E-30  1.000008E-30  1.000028E-30  1.000066E-30  1.000000E-30  1.000583E-30  1.000593E-30
     17  7.691889062333E-06  1.000004E-30  1.000011E-30  1.000014E-30  1.000050E-30  1.000119E-30  1.000000E-30  1.001043E-30  1.001061E-30
     18  1.308909950745E-05  1.000007E-30  1.000019E-30  1.000024E-30  1.000084E-30  1.000202E-30  1.000000E-30  1.001774E-30  1.001804E-30
     19  1.857566740576E-05  1.000010E-30  1.000026E-30  1.000034E-30  1.000120E-30  1.000287E-30  1.000000E-30  1.002518E-30  1.002560E-30
     20  2.437304006798E-05  1.000013E-30  1.000035E-30  1.000045E-30  1.000157E-30  1.000377E-30  1.000000E-30  1.003303E-30  1.003359E-30
     21  3.062636084650E-05  1.000017E-30  1.000043E-30  1.000056E-30  1.000198E-30  1.000474E-30  1.000000E-30  1.004149E-30  1.004220E-30
     22  3.755179443036E-05  1.000021E-30  1.000053E-30  1.000069E-30  1.000243E-30  1.000582E-30  1.000000E-30  1.005086E-30  1.005172E-30
     23  4.608652240190E-05  1.000025E-30  1.000065E-30  1.000084E-30  1.000298E-30  1.000715E-30  1.000000E-30  1.006241E-30  1.006346E-30
     24  5.520402925860E-05  1.000030E-30  1.000078E-30  1.000101E-30  1.000357E-30  1.000857E-30  1.000000E-30  1.007474E-30  1.007599E-30
     25  6.472551468226E-05  1.000036E-30  1.000092E-30  1.000119E-30  1.000418E-30  1.001007E-30  1.000000E-30  1.008760E-30  1.008907E-30
     26  7.459047774494E-05  1.000041E-30  1.000106E-30  1.000137E-30  1.000482E-30  1.001162E-30  1.000000E-30  1.010092E-30  1.010261E-30
