 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ti54          ti55          ti56          ti57          ti58          ti59          ti60          ti61 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000002E-30  1.000002E-30  1.000003E-30  1.000006E-30  1.000006E-30
     12  1.658089127914E-07  1.000000E-30  1.000001E-30  1.000001E-30  1.000007E-30  1.000008E-30  1.000011E-30  1.000022E-30  1.000020E-30
     13  4.445546741016E-07  1.000001E-30  1.000002E-30  1.000002E-30  1.000019E-30  1.000020E-30  1.000029E-30  1.000058E-30  1.000054E-30
     14  1.066239799837E-06  1.000004E-30  1.000006E-30  1.000006E-30  1.000045E-30  1.000049E-30  1.000069E-30  1.000139E-30  1.000129E-30
     15  2.222704079044E-06  1.000014E-30  1.000012E-30  1.000012E-30  1.000093E-30  1.000102E-30  1.000144E-30  1.000290E-30  1.000270E-30
     16  4.298102471270E-06  1.000047E-30  1.000024E-30  1.000022E-30  1.000180E-30  1.000198E-30  1.000278E-30  1.000561E-30  1.000522E-30
     17  7.691889062333E-06  1.000143E-30  1.000042E-30  1.000040E-30  1.000321E-30  1.000354E-30  1.000497E-30  1.001005E-30  1.000934E-30
     18  1.308909950745E-05  1.000400E-30  1.000072E-30  1.000068E-30  1.000547E-30  1.000602E-30  1.000846E-30  1.001710E-30  1.001589E-30
     19  1.857566740576E-05  1.000795E-30  1.000102E-30  1.000097E-30  1.000776E-30  1.000855E-30  1.001200E-30  1.002426E-30  1.002255E-30
     20  2.437304006798E-05  1.001357E-30  1.000134E-30  1.000127E-30  1.001018E-30  1.001121E-30  1.001574E-30  1.003183E-30  1.002959E-30
     21  3.062636084650E-05  1.002131E-30  1.000168E-30  1.000159E-30  1.001280E-30  1.001409E-30  1.001978E-30  1.004000E-30  1.003718E-30
     22  3.755179443036E-05  1.003191E-30  1.000207E-30  1.000196E-30  1.001569E-30  1.001728E-30  1.002425E-30  1.004904E-30  1.004558E-30
     23  4.608652240190E-05  1.004792E-30  1.000254E-30  1.000240E-30  1.001926E-30  1.002120E-30  1.002976E-30  1.006019E-30  1.005593E-30
     24  5.520402925860E-05  1.006859E-30  1.000304E-30  1.000288E-30  1.002308E-30  1.002539E-30  1.003565E-30  1.007209E-30  1.006699E-30
     25  6.472551468226E-05  1.009413E-30  1.000356E-30  1.000338E-30  1.002706E-30  1.002977E-30  1.004179E-30  1.008452E-30  1.007854E-30
     26  7.459047774494E-05  1.012484E-30  1.000411E-30  1.000389E-30  1.003119E-30  1.003431E-30  1.004815E-30  1.009739E-30  1.009050E-30
