 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                cu86          zn54          zn55          zn56          zn57          zn58          zn59          zn60 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000004E-30  1.000002E-30  1.000002E-30  1.000001E-30  1.000000E-30
     12  1.658089127914E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000016E-30  1.000006E-30  1.000006E-30  1.000002E-30  1.000002E-30
     13  4.445546741016E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000044E-30  1.000017E-30  1.000017E-30  1.000006E-30  1.000004E-30
     14  1.066239799837E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000104E-30  1.000041E-30  1.000040E-30  1.000014E-30  1.000010E-30
     15  2.222704079044E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000218E-30  1.000085E-30  1.000083E-30  1.000028E-30  1.000022E-30
     16  4.298102471270E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000421E-30  1.000164E-30  1.000160E-30  1.000055E-30  1.000042E-30
     17  7.691889062333E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000753E-30  1.000293E-30  1.000287E-30  1.000098E-30  1.000075E-30
     18  1.308909950745E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.001281E-30  1.000499E-30  1.000488E-30  1.000167E-30  1.000127E-30
     19  1.857566740576E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.001818E-30  1.000709E-30  1.000692E-30  1.000238E-30  1.000181E-30
     20  2.437304006798E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.002386E-30  1.000930E-30  1.000909E-30  1.000312E-30  1.000237E-30
     21  3.062636084650E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.002997E-30  1.001168E-30  1.001142E-30  1.000392E-30  1.000298E-30
     22  3.755179443036E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.003675E-30  1.001432E-30  1.001400E-30  1.000480E-30  1.000366E-30
     23  4.608652240190E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.004510E-30  1.001758E-30  1.001718E-30  1.000590E-30  1.000449E-30
     24  5.520402925860E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.005402E-30  1.002105E-30  1.002057E-30  1.000707E-30  1.000538E-30
     25  6.472551468226E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.006333E-30  1.002468E-30  1.002412E-30  1.000829E-30  1.000631E-30
     26  7.459047774494E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.007297E-30  1.002844E-30  1.002780E-30  1.000955E-30  1.000727E-30
