 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                zn77          zn78          zn79          zn80          zn81          zn82          zn83          zn84 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000001E-30
     12  1.658089127914E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000002E-30  1.000000E-30  1.000005E-30
     13  4.445546741016E-07  1.000001E-30  1.000001E-30  1.000001E-30  1.000002E-30  1.000002E-30  1.000005E-30  1.000000E-30  1.000014E-30
     14  1.066239799837E-06  1.000001E-30  1.000002E-30  1.000003E-30  1.000004E-30  1.000005E-30  1.000012E-30  1.000000E-30  1.000034E-30
     15  2.222704079044E-06  1.000003E-30  1.000003E-30  1.000007E-30  1.000009E-30  1.000010E-30  1.000026E-30  1.000000E-30  1.000071E-30
     16  4.298102471270E-06  1.000005E-30  1.000007E-30  1.000013E-30  1.000017E-30  1.000019E-30  1.000050E-30  1.000000E-30  1.000138E-30
     17  7.691889062333E-06  1.000009E-30  1.000012E-30  1.000023E-30  1.000030E-30  1.000034E-30  1.000090E-30  1.000000E-30  1.000247E-30
     18  1.308909950745E-05  1.000015E-30  1.000020E-30  1.000039E-30  1.000051E-30  1.000057E-30  1.000153E-30  1.000000E-30  1.000421E-30
     19  1.857566740576E-05  1.000021E-30  1.000029E-30  1.000056E-30  1.000073E-30  1.000082E-30  1.000217E-30  1.000000E-30  1.000597E-30
     20  2.437304006798E-05  1.000028E-30  1.000038E-30  1.000073E-30  1.000095E-30  1.000107E-30  1.000285E-30  1.000000E-30  1.000783E-30
     21  3.062636084650E-05  1.000035E-30  1.000048E-30  1.000092E-30  1.000120E-30  1.000134E-30  1.000358E-30  1.000000E-30  1.000984E-30
     22  3.755179443036E-05  1.000043E-30  1.000058E-30  1.000112E-30  1.000147E-30  1.000165E-30  1.000439E-30  1.000000E-30  1.001206E-30
     23  4.608652240190E-05  1.000053E-30  1.000072E-30  1.000138E-30  1.000180E-30  1.000202E-30  1.000538E-30  1.000000E-30  1.001481E-30
     24  5.520402925860E-05  1.000063E-30  1.000086E-30  1.000165E-30  1.000216E-30  1.000242E-30  1.000645E-30  1.000000E-30  1.001773E-30
     25  6.472551468226E-05  1.000074E-30  1.000101E-30  1.000194E-30  1.000253E-30  1.000284E-30  1.000756E-30  1.000000E-30  1.002079E-30
     26  7.459047774494E-05  1.000085E-30  1.000116E-30  1.000223E-30  1.000292E-30  1.000327E-30  1.000871E-30  1.000000E-30  1.002396E-30
