 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ga83          ga84          ga85          ga86          ga87          ga88          ga89          ga90 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000001E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000002E-30  1.000000E-30
     12  1.658089127914E-07  1.000005E-30  1.000000E-30  1.000004E-30  1.000001E-30  1.000004E-30  1.000002E-30  1.000006E-30  1.000000E-30
     13  4.445546741016E-07  1.000013E-30  1.000001E-30  1.000010E-30  1.000002E-30  1.000010E-30  1.000007E-30  1.000015E-30  1.000000E-30
     14  1.066239799837E-06  1.000031E-30  1.000002E-30  1.000023E-30  1.000005E-30  1.000024E-30  1.000016E-30  1.000037E-30  1.000000E-30
     15  2.222704079044E-06  1.000064E-30  1.000004E-30  1.000049E-30  1.000011E-30  1.000051E-30  1.000033E-30  1.000077E-30  1.000000E-30
     16  4.298102471270E-06  1.000123E-30  1.000008E-30  1.000095E-30  1.000022E-30  1.000098E-30  1.000063E-30  1.000149E-30  1.000000E-30
     17  7.691889062333E-06  1.000220E-30  1.000015E-30  1.000169E-30  1.000039E-30  1.000175E-30  1.000113E-30  1.000266E-30  1.000000E-30
     18  1.308909950745E-05  1.000375E-30  1.000025E-30  1.000288E-30  1.000067E-30  1.000298E-30  1.000193E-30  1.000453E-30  1.000000E-30
     19  1.857566740576E-05  1.000532E-30  1.000036E-30  1.000409E-30  1.000095E-30  1.000422E-30  1.000274E-30  1.000643E-30  1.000000E-30
     20  2.437304006798E-05  1.000698E-30  1.000047E-30  1.000537E-30  1.000125E-30  1.000554E-30  1.000359E-30  1.000843E-30  1.000000E-30
     21  3.062636084650E-05  1.000877E-30  1.000059E-30  1.000675E-30  1.000158E-30  1.000696E-30  1.000451E-30  1.001059E-30  1.000000E-30
     22  3.755179443036E-05  1.001075E-30  1.000072E-30  1.000827E-30  1.000194E-30  1.000853E-30  1.000553E-30  1.001298E-30  1.000000E-30
     23  4.608652240190E-05  1.001319E-30  1.000089E-30  1.001016E-30  1.000238E-30  1.001047E-30  1.000678E-30  1.001593E-30  1.000000E-30
     24  5.520402925860E-05  1.001580E-30  1.000106E-30  1.001217E-30  1.000286E-30  1.001254E-30  1.000812E-30  1.001908E-30  1.000000E-30
     25  6.472551468226E-05  1.001853E-30  1.000125E-30  1.001427E-30  1.000337E-30  1.001470E-30  1.000952E-30  1.002237E-30  1.000000E-30
     26  7.459047774494E-05  1.002135E-30  1.000144E-30  1.001644E-30  1.000389E-30  1.001694E-30  1.001097E-30  1.002577E-30  1.000000E-30
