 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ge80          ge81          ge82          ge83          ge84          ge85          ge86          ge87 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000001E-30
     12  1.658089127914E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000004E-30  1.000003E-30
     13  4.445546741016E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000003E-30  1.000003E-30  1.000010E-30  1.000009E-30
     14  1.066239799837E-06  1.000000E-30  1.000001E-30  1.000001E-30  1.000002E-30  1.000008E-30  1.000007E-30  1.000024E-30  1.000021E-30
     15  2.222704079044E-06  1.000001E-30  1.000001E-30  1.000002E-30  1.000004E-30  1.000016E-30  1.000015E-30  1.000051E-30  1.000044E-30
     16  4.298102471270E-06  1.000002E-30  1.000002E-30  1.000004E-30  1.000008E-30  1.000032E-30  1.000028E-30  1.000098E-30  1.000085E-30
     17  7.691889062333E-06  1.000003E-30  1.000004E-30  1.000008E-30  1.000014E-30  1.000057E-30  1.000051E-30  1.000176E-30  1.000153E-30
     18  1.308909950745E-05  1.000005E-30  1.000006E-30  1.000013E-30  1.000025E-30  1.000097E-30  1.000086E-30  1.000300E-30  1.000260E-30
     19  1.857566740576E-05  1.000007E-30  1.000009E-30  1.000019E-30  1.000035E-30  1.000138E-30  1.000122E-30  1.000425E-30  1.000369E-30
     20  2.437304006798E-05  1.000010E-30  1.000012E-30  1.000024E-30  1.000046E-30  1.000181E-30  1.000161E-30  1.000558E-30  1.000484E-30
     21  3.062636084650E-05  1.000012E-30  1.000015E-30  1.000031E-30  1.000057E-30  1.000227E-30  1.000202E-30  1.000701E-30  1.000608E-30
     22  3.755179443036E-05  1.000015E-30  1.000018E-30  1.000038E-30  1.000070E-30  1.000279E-30  1.000247E-30  1.000860E-30  1.000746E-30
     23  4.608652240190E-05  1.000018E-30  1.000022E-30  1.000046E-30  1.000087E-30  1.000342E-30  1.000304E-30  1.001055E-30  1.000915E-30
     24  5.520402925860E-05  1.000022E-30  1.000026E-30  1.000055E-30  1.000104E-30  1.000410E-30  1.000364E-30  1.001264E-30  1.001096E-30
     25  6.472551468226E-05  1.000025E-30  1.000031E-30  1.000065E-30  1.000122E-30  1.000480E-30  1.000427E-30  1.001482E-30  1.001285E-30
     26  7.459047774494E-05  1.000029E-30  1.000036E-30  1.000075E-30  1.000140E-30  1.000554E-30  1.000492E-30  1.001708E-30  1.001482E-30
