 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                se94          se95          se96          se97          se98          se99          se100         se101
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000001E-30  1.000000E-30
     11  4.567476566510E-08  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000002E-30  1.000002E-30  1.000003E-30  1.000000E-30
     12  1.658089127914E-07  1.000004E-30  1.000002E-30  1.000004E-30  1.000005E-30  1.000008E-30  1.000006E-30  1.000012E-30  1.000000E-30
     13  4.445546741016E-07  1.000011E-30  1.000005E-30  1.000010E-30  1.000015E-30  1.000022E-30  1.000017E-30  1.000031E-30  1.000000E-30
     14  1.066239799837E-06  1.000026E-30  1.000012E-30  1.000024E-30  1.000035E-30  1.000052E-30  1.000040E-30  1.000075E-30  1.000000E-30
     15  2.222704079044E-06  1.000055E-30  1.000026E-30  1.000049E-30  1.000073E-30  1.000108E-30  1.000084E-30  1.000157E-30  1.000000E-30
     16  4.298102471270E-06  1.000106E-30  1.000050E-30  1.000096E-30  1.000141E-30  1.000209E-30  1.000163E-30  1.000303E-30  1.000000E-30
     17  7.691889062333E-06  1.000189E-30  1.000089E-30  1.000171E-30  1.000252E-30  1.000375E-30  1.000291E-30  1.000541E-30  1.000000E-30
     18  1.308909950745E-05  1.000322E-30  1.000151E-30  1.000291E-30  1.000429E-30  1.000638E-30  1.000496E-30  1.000921E-30  1.000000E-30
     19  1.857566740576E-05  1.000457E-30  1.000215E-30  1.000413E-30  1.000609E-30  1.000905E-30  1.000703E-30  1.001307E-30  1.000000E-30
     20  2.437304006798E-05  1.000600E-30  1.000282E-30  1.000542E-30  1.000799E-30  1.001187E-30  1.000923E-30  1.001714E-30  1.000000E-30
     21  3.062636084650E-05  1.000754E-30  1.000355E-30  1.000681E-30  1.001004E-30  1.001491E-30  1.001159E-30  1.002154E-30  1.000000E-30
     22  3.755179443036E-05  1.000925E-30  1.000435E-30  1.000835E-30  1.001231E-30  1.001828E-30  1.001421E-30  1.002640E-30  1.000000E-30
     23  4.608652240190E-05  1.001135E-30  1.000534E-30  1.001025E-30  1.001511E-30  1.002243E-30  1.001743E-30  1.003239E-30  1.000000E-30
     24  5.520402925860E-05  1.001360E-30  1.000640E-30  1.001228E-30  1.001809E-30  1.002687E-30  1.002087E-30  1.003878E-30  1.000000E-30
     25  6.472551468226E-05  1.001594E-30  1.000750E-30  1.001440E-30  1.002121E-30  1.003150E-30  1.002446E-30  1.004545E-30  1.000000E-30
     26  7.459047774494E-05  1.001837E-30  1.000865E-30  1.001659E-30  1.002444E-30  1.003629E-30  1.002818E-30  1.005236E-30  1.000000E-30
