 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                br95          br96          br97          br98          br99          br100         br101         br102
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000000E-30  1.000001E-30
     11  4.567476566510E-08  1.000001E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000003E-30  1.000000E-30  1.000000E-30  1.000002E-30
     12  1.658089127914E-07  1.000002E-30  1.000001E-30  1.000002E-30  1.000004E-30  1.000010E-30  1.000000E-30  1.000001E-30  1.000008E-30
     13  4.445546741016E-07  1.000006E-30  1.000003E-30  1.000006E-30  1.000009E-30  1.000028E-30  1.000000E-30  1.000002E-30  1.000021E-30
     14  1.066239799837E-06  1.000015E-30  1.000007E-30  1.000015E-30  1.000023E-30  1.000067E-30  1.000000E-30  1.000004E-30  1.000049E-30
     15  2.222704079044E-06  1.000032E-30  1.000014E-30  1.000032E-30  1.000047E-30  1.000140E-30  1.000000E-30  1.000008E-30  1.000103E-30
     16  4.298102471270E-06  1.000061E-30  1.000028E-30  1.000061E-30  1.000091E-30  1.000272E-30  1.000000E-30  1.000016E-30  1.000199E-30
     17  7.691889062333E-06  1.000109E-30  1.000050E-30  1.000110E-30  1.000163E-30  1.000486E-30  1.000000E-30  1.000028E-30  1.000355E-30
     18  1.308909950745E-05  1.000186E-30  1.000084E-30  1.000187E-30  1.000278E-30  1.000827E-30  1.000000E-30  1.000048E-30  1.000605E-30
     19  1.857566740576E-05  1.000264E-30  1.000120E-30  1.000266E-30  1.000395E-30  1.001174E-30  1.000000E-30  1.000068E-30  1.000858E-30
     20  2.437304006798E-05  1.000347E-30  1.000157E-30  1.000348E-30  1.000518E-30  1.001541E-30  1.000000E-30  1.000089E-30  1.001125E-30
     21  3.062636084650E-05  1.000436E-30  1.000198E-30  1.000438E-30  1.000651E-30  1.001937E-30  1.000000E-30  1.000112E-30  1.001414E-30
     22  3.755179443036E-05  1.000534E-30  1.000242E-30  1.000537E-30  1.000798E-30  1.002375E-30  1.000000E-30  1.000137E-30  1.001733E-30
     23  4.608652240190E-05  1.000655E-30  1.000297E-30  1.000659E-30  1.000980E-30  1.002915E-30  1.000000E-30  1.000168E-30  1.002126E-30
     24  5.520402925860E-05  1.000785E-30  1.000356E-30  1.000790E-30  1.001175E-30  1.003492E-30  1.000000E-30  1.000201E-30  1.002545E-30
     25  6.472551468226E-05  1.000921E-30  1.000418E-30  1.000926E-30  1.001378E-30  1.004095E-30  1.000000E-30  1.000236E-30  1.002983E-30
     26  7.459047774494E-05  1.001061E-30  1.000482E-30  1.001068E-30  1.001588E-30  1.004719E-30  1.000000E-30  1.000272E-30  1.003436E-30
