 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                kr97          kr98          kr99          kr100         kr101         kr102         kr103         kr104
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000004E-30  1.000002E-30  1.000003E-30  1.000004E-30  1.000005E-30
     12  1.658089127914E-07  1.000000E-30  1.000000E-30  1.000002E-30  1.000015E-30  1.000008E-30  1.000012E-30  1.000016E-30  1.000019E-30
     13  4.445546741016E-07  1.000001E-30  1.000001E-30  1.000004E-30  1.000039E-30  1.000022E-30  1.000032E-30  1.000042E-30  1.000050E-30
     14  1.066239799837E-06  1.000003E-30  1.000003E-30  1.000010E-30  1.000094E-30  1.000052E-30  1.000076E-30  1.000101E-30  1.000120E-30
     15  2.222704079044E-06  1.000005E-30  1.000006E-30  1.000021E-30  1.000197E-30  1.000109E-30  1.000158E-30  1.000210E-30  1.000250E-30
     16  4.298102471270E-06  1.000010E-30  1.000012E-30  1.000041E-30  1.000380E-30  1.000211E-30  1.000305E-30  1.000406E-30  1.000484E-30
     17  7.691889062333E-06  1.000019E-30  1.000022E-30  1.000074E-30  1.000681E-30  1.000378E-30  1.000546E-30  1.000727E-30  1.000866E-30
     18  1.308909950745E-05  1.000032E-30  1.000038E-30  1.000126E-30  1.001159E-30  1.000642E-30  1.000928E-30  1.001236E-30  1.001473E-30
     19  1.857566740576E-05  1.000045E-30  1.000054E-30  1.000179E-30  1.001644E-30  1.000912E-30  1.001318E-30  1.001755E-30  1.002091E-30
     20  2.437304006798E-05  1.000059E-30  1.000070E-30  1.000235E-30  1.002157E-30  1.001196E-30  1.001729E-30  1.002302E-30  1.002743E-30
     21  3.062636084650E-05  1.000074E-30  1.000088E-30  1.000296E-30  1.002710E-30  1.001502E-30  1.002173E-30  1.002893E-30  1.003446E-30
     22  3.755179443036E-05  1.000091E-30  1.000108E-30  1.000363E-30  1.003323E-30  1.001842E-30  1.002665E-30  1.003546E-30  1.004225E-30
     23  4.608652240190E-05  1.000111E-30  1.000133E-30  1.000446E-30  1.004078E-30  1.002260E-30  1.003271E-30  1.004352E-30  1.005184E-30
     24  5.520402925860E-05  1.000133E-30  1.000159E-30  1.000534E-30  1.004885E-30  1.002707E-30  1.003918E-30  1.005213E-30  1.006208E-30
     25  6.472551468226E-05  1.000156E-30  1.000187E-30  1.000627E-30  1.005727E-30  1.003173E-30  1.004595E-30  1.006112E-30  1.007277E-30
     26  7.459047774494E-05  1.000180E-30  1.000216E-30  1.000723E-30  1.006599E-30  1.003656E-30  1.005296E-30  1.007043E-30  1.008384E-30
