 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                rb94          rb95          rb96          rb97          rb98          rb99          rb100         rb101
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30
     12  1.658089127914E-07  1.000000E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000000E-30  1.000004E-30
     13  4.445546741016E-07  1.000001E-30  1.000002E-30  1.000002E-30  1.000003E-30  1.000004E-30  1.000002E-30  1.000000E-30  1.000010E-30
     14  1.066239799837E-06  1.000003E-30  1.000005E-30  1.000006E-30  1.000007E-30  1.000010E-30  1.000004E-30  1.000001E-30  1.000024E-30
     15  2.222704079044E-06  1.000007E-30  1.000009E-30  1.000012E-30  1.000015E-30  1.000020E-30  1.000008E-30  1.000002E-30  1.000050E-30
     16  4.298102471270E-06  1.000013E-30  1.000018E-30  1.000023E-30  1.000030E-30  1.000039E-30  1.000015E-30  1.000003E-30  1.000096E-30
     17  7.691889062333E-06  1.000023E-30  1.000033E-30  1.000040E-30  1.000053E-30  1.000069E-30  1.000027E-30  1.000006E-30  1.000172E-30
     18  1.308909950745E-05  1.000039E-30  1.000056E-30  1.000069E-30  1.000091E-30  1.000118E-30  1.000046E-30  1.000011E-30  1.000293E-30
     19  1.857566740576E-05  1.000056E-30  1.000079E-30  1.000098E-30  1.000129E-30  1.000167E-30  1.000066E-30  1.000015E-30  1.000416E-30
     20  2.437304006798E-05  1.000073E-30  1.000103E-30  1.000128E-30  1.000169E-30  1.000219E-30  1.000087E-30  1.000020E-30  1.000546E-30
     21  3.062636084650E-05  1.000092E-30  1.000130E-30  1.000161E-30  1.000212E-30  1.000275E-30  1.000109E-30  1.000025E-30  1.000686E-30
     22  3.755179443036E-05  1.000113E-30  1.000159E-30  1.000197E-30  1.000260E-30  1.000338E-30  1.000133E-30  1.000031E-30  1.000841E-30
     23  4.608652240190E-05  1.000139E-30  1.000195E-30  1.000242E-30  1.000319E-30  1.000414E-30  1.000164E-30  1.000038E-30  1.001033E-30
     24  5.520402925860E-05  1.000166E-30  1.000234E-30  1.000290E-30  1.000382E-30  1.000496E-30  1.000196E-30  1.000046E-30  1.001237E-30
     25  6.472551468226E-05  1.000195E-30  1.000275E-30  1.000340E-30  1.000448E-30  1.000582E-30  1.000230E-30  1.000054E-30  1.001451E-30
     26  7.459047774494E-05  1.000225E-30  1.000316E-30  1.000392E-30  1.000517E-30  1.000670E-30  1.000265E-30  1.000063E-30  1.001673E-30
