 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                rb102         rb103         rb104         rb105         rb106         rb107         rb108         rb109
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000000E-30
     11  4.567476566510E-08  1.000001E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000002E-30  1.000000E-30
     12  1.658089127914E-07  1.000002E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000002E-30  1.000002E-30  1.000008E-30  1.000000E-30
     13  4.445546741016E-07  1.000005E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000004E-30  1.000005E-30  1.000022E-30  1.000000E-30
     14  1.066239799837E-06  1.000012E-30  1.000000E-30  1.000000E-30  1.000004E-30  1.000010E-30  1.000012E-30  1.000052E-30  1.000000E-30
     15  2.222704079044E-06  1.000025E-30  1.000000E-30  1.000000E-30  1.000007E-30  1.000021E-30  1.000025E-30  1.000109E-30  1.000000E-30
     16  4.298102471270E-06  1.000048E-30  1.000000E-30  1.000000E-30  1.000014E-30  1.000040E-30  1.000048E-30  1.000211E-30  1.000000E-30
     17  7.691889062333E-06  1.000085E-30  1.000000E-30  1.000000E-30  1.000026E-30  1.000071E-30  1.000085E-30  1.000377E-30  1.000000E-30
     18  1.308909950745E-05  1.000146E-30  1.000000E-30  1.000000E-30  1.000044E-30  1.000121E-30  1.000145E-30  1.000641E-30  1.000000E-30
     19  1.857566740576E-05  1.000207E-30  1.000000E-30  1.000000E-30  1.000063E-30  1.000172E-30  1.000206E-30  1.000909E-30  1.000000E-30
     20  2.437304006798E-05  1.000271E-30  1.000000E-30  1.000000E-30  1.000083E-30  1.000226E-30  1.000271E-30  1.001193E-30  1.000000E-30
     21  3.062636084650E-05  1.000341E-30  1.000000E-30  1.000000E-30  1.000105E-30  1.000283E-30  1.000340E-30  1.001498E-30  1.000000E-30
     22  3.755179443036E-05  1.000418E-30  1.000000E-30  1.000000E-30  1.000129E-30  1.000348E-30  1.000417E-30  1.001836E-30  1.000000E-30
     23  4.608652240190E-05  1.000514E-30  1.000000E-30  1.000000E-30  1.000160E-30  1.000426E-30  1.000511E-30  1.002253E-30  1.000000E-30
     24  5.520402925860E-05  1.000616E-30  1.000000E-30  1.000000E-30  1.000193E-30  1.000511E-30  1.000612E-30  1.002697E-30  1.000000E-30
     25  6.472551468226E-05  1.000723E-30  1.000000E-30  1.000000E-30  1.000229E-30  1.000598E-30  1.000717E-30  1.003161E-30  1.000000E-30
     26  7.459047774494E-05  1.000834E-30  1.000000E-30  1.000000E-30  1.000266E-30  1.000689E-30  1.000826E-30  1.003641E-30  1.000000E-30
