 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                sr103         sr104         sr105         sr106         sr107         sr108         sr109         sr110
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30
     11  4.567476566510E-08  1.000001E-30  1.000002E-30  1.000002E-30  1.000002E-30  1.000003E-30  1.000003E-30  1.000003E-30  1.000003E-30
     12  1.658089127914E-07  1.000003E-30  1.000007E-30  1.000008E-30  1.000009E-30  1.000011E-30  1.000011E-30  1.000012E-30  1.000012E-30
     13  4.445546741016E-07  1.000009E-30  1.000019E-30  1.000020E-30  1.000023E-30  1.000030E-30  1.000028E-30  1.000033E-30  1.000032E-30
     14  1.066239799837E-06  1.000021E-30  1.000045E-30  1.000049E-30  1.000056E-30  1.000072E-30  1.000068E-30  1.000080E-30  1.000076E-30
     15  2.222704079044E-06  1.000045E-30  1.000093E-30  1.000101E-30  1.000116E-30  1.000150E-30  1.000141E-30  1.000167E-30  1.000159E-30
     16  4.298102471270E-06  1.000086E-30  1.000180E-30  1.000196E-30  1.000225E-30  1.000290E-30  1.000273E-30  1.000324E-30  1.000307E-30
     17  7.691889062333E-06  1.000154E-30  1.000323E-30  1.000351E-30  1.000402E-30  1.000519E-30  1.000488E-30  1.000579E-30  1.000550E-30
     18  1.308909950745E-05  1.000262E-30  1.000549E-30  1.000597E-30  1.000685E-30  1.000883E-30  1.000830E-30  1.000986E-30  1.000936E-30
     19  1.857566740576E-05  1.000372E-30  1.000780E-30  1.000847E-30  1.000972E-30  1.001253E-30  1.001178E-30  1.001399E-30  1.001328E-30
     20  2.437304006798E-05  1.000489E-30  1.001023E-30  1.001111E-30  1.001275E-30  1.001644E-30  1.001546E-30  1.001835E-30  1.001743E-30
     21  3.062636084650E-05  1.000614E-30  1.001285E-30  1.001396E-30  1.001602E-30  1.002066E-30  1.001943E-30  1.002306E-30  1.002190E-30
     22  3.755179443036E-05  1.000753E-30  1.001576E-30  1.001712E-30  1.001964E-30  1.002533E-30  1.002383E-30  1.002827E-30  1.002684E-30
     23  4.608652240190E-05  1.000924E-30  1.001934E-30  1.002101E-30  1.002411E-30  1.003109E-30  1.002925E-30  1.003468E-30  1.003294E-30
     24  5.520402925860E-05  1.001107E-30  1.002316E-30  1.002516E-30  1.002888E-30  1.003724E-30  1.003504E-30  1.004154E-30  1.003944E-30
     25  6.472551468226E-05  1.001297E-30  1.002716E-30  1.002950E-30  1.003386E-30  1.004366E-30  1.004110E-30  1.004870E-30  1.004624E-30
     26  7.459047774494E-05  1.001495E-30  1.003130E-30  1.003400E-30  1.003902E-30  1.005031E-30  1.004737E-30  1.005611E-30  1.005327E-30
