 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                zr108         zr109         zr110         zr111         zr112         zr113         zr114         zr115
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000001E-30  1.000001E-30
     11  4.567476566510E-08  1.000001E-30  1.000001E-30  1.000002E-30  1.000002E-30  1.000003E-30  1.000002E-30  1.000004E-30  1.000004E-30
     12  1.658089127914E-07  1.000004E-30  1.000005E-30  1.000006E-30  1.000007E-30  1.000010E-30  1.000007E-30  1.000014E-30  1.000016E-30
     13  4.445546741016E-07  1.000010E-30  1.000014E-30  1.000015E-30  1.000020E-30  1.000027E-30  1.000018E-30  1.000038E-30  1.000043E-30
     14  1.066239799837E-06  1.000025E-30  1.000034E-30  1.000037E-30  1.000047E-30  1.000065E-30  1.000043E-30  1.000090E-30  1.000104E-30
     15  2.222704079044E-06  1.000052E-30  1.000071E-30  1.000076E-30  1.000099E-30  1.000136E-30  1.000091E-30  1.000188E-30  1.000216E-30
     16  4.298102471270E-06  1.000101E-30  1.000138E-30  1.000147E-30  1.000191E-30  1.000263E-30  1.000175E-30  1.000364E-30  1.000418E-30
     17  7.691889062333E-06  1.000180E-30  1.000247E-30  1.000263E-30  1.000342E-30  1.000471E-30  1.000313E-30  1.000652E-30  1.000749E-30
     18  1.308909950745E-05  1.000307E-30  1.000421E-30  1.000448E-30  1.000582E-30  1.000801E-30  1.000533E-30  1.001109E-30  1.001274E-30
     19  1.857566740576E-05  1.000435E-30  1.000597E-30  1.000636E-30  1.000826E-30  1.001137E-30  1.000757E-30  1.001574E-30  1.001808E-30
     20  2.437304006798E-05  1.000571E-30  1.000783E-30  1.000835E-30  1.001084E-30  1.001493E-30  1.000994E-30  1.002065E-30  1.002372E-30
     21  3.062636084650E-05  1.000718E-30  1.000984E-30  1.001049E-30  1.001362E-30  1.001876E-30  1.001249E-30  1.002594E-30  1.002980E-30
     22  3.755179443036E-05  1.000880E-30  1.001207E-30  1.001286E-30  1.001670E-30  1.002300E-30  1.001532E-30  1.003180E-30  1.003654E-30
     23  4.608652240190E-05  1.001080E-30  1.001481E-30  1.001579E-30  1.002049E-30  1.002823E-30  1.001880E-30  1.003902E-30  1.004483E-30
     24  5.520402925860E-05  1.001294E-30  1.001774E-30  1.001891E-30  1.002454E-30  1.003382E-30  1.002253E-30  1.004674E-30  1.005369E-30
     25  6.472551468226E-05  1.001517E-30  1.002080E-30  1.002217E-30  1.002878E-30  1.003965E-30  1.002642E-30  1.005479E-30  1.006294E-30
     26  7.459047774494E-05  1.001748E-30  1.002397E-30  1.002555E-30  1.003316E-30  1.004570E-30  1.003046E-30  1.006313E-30  1.007252E-30
