 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                nb113         nb114         nb115         nb116         nb117         nb118         nb119         nb120
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000001E-30
     12  1.658089127914E-07  1.000001E-30  1.000001E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000002E-30  1.000000E-30  1.000002E-30
     13  4.445546741016E-07  1.000003E-30  1.000002E-30  1.000000E-30  1.000004E-30  1.000000E-30  1.000005E-30  1.000000E-30  1.000007E-30
     14  1.066239799837E-06  1.000007E-30  1.000005E-30  1.000000E-30  1.000009E-30  1.000000E-30  1.000012E-30  1.000000E-30  1.000016E-30
     15  2.222704079044E-06  1.000016E-30  1.000010E-30  1.000000E-30  1.000019E-30  1.000000E-30  1.000025E-30  1.000001E-30  1.000033E-30
     16  4.298102471270E-06  1.000030E-30  1.000019E-30  1.000000E-30  1.000037E-30  1.000000E-30  1.000048E-30  1.000002E-30  1.000064E-30
     17  7.691889062333E-06  1.000054E-30  1.000034E-30  1.000000E-30  1.000066E-30  1.000000E-30  1.000086E-30  1.000003E-30  1.000115E-30
     18  1.308909950745E-05  1.000092E-30  1.000058E-30  1.000000E-30  1.000112E-30  1.000000E-30  1.000147E-30  1.000006E-30  1.000195E-30
     19  1.857566740576E-05  1.000131E-30  1.000082E-30  1.000000E-30  1.000159E-30  1.000000E-30  1.000208E-30  1.000009E-30  1.000276E-30
     20  2.437304006798E-05  1.000172E-30  1.000108E-30  1.000000E-30  1.000209E-30  1.000000E-30  1.000274E-30  1.000012E-30  1.000363E-30
     21  3.062636084650E-05  1.000216E-30  1.000136E-30  1.000000E-30  1.000263E-30  1.000000E-30  1.000345E-30  1.000016E-30  1.000456E-30
     22  3.755179443036E-05  1.000265E-30  1.000167E-30  1.000000E-30  1.000322E-30  1.000000E-30  1.000424E-30  1.000021E-30  1.000559E-30
     23  4.608652240190E-05  1.000325E-30  1.000206E-30  1.000000E-30  1.000396E-30  1.000000E-30  1.000522E-30  1.000028E-30  1.000685E-30
     24  5.520402925860E-05  1.000389E-30  1.000247E-30  1.000000E-30  1.000476E-30  1.000000E-30  1.000627E-30  1.000037E-30  1.000820E-30
     25  6.472551468226E-05  1.000457E-30  1.000291E-30  1.000000E-30  1.000559E-30  1.000000E-30  1.000738E-30  1.000046E-30  1.000962E-30
     26  7.459047774494E-05  1.000526E-30  1.000336E-30  1.000000E-30  1.000646E-30  1.000000E-30  1.000853E-30  1.000057E-30  1.001108E-30
