 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                mo118         mo119         mo120         mo121         mo122         mo123         mo124         mo125
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000000E-30
     11  4.567476566510E-08  1.000002E-30  1.000003E-30  1.000003E-30  1.000004E-30  1.000001E-30  1.000006E-30  1.000006E-30  1.000000E-30
     12  1.658089127914E-07  1.000007E-30  1.000010E-30  1.000009E-30  1.000013E-30  1.000002E-30  1.000020E-30  1.000022E-30  1.000000E-30
     13  4.445546741016E-07  1.000018E-30  1.000026E-30  1.000025E-30  1.000036E-30  1.000006E-30  1.000055E-30  1.000058E-30  1.000000E-30
     14  1.066239799837E-06  1.000043E-30  1.000063E-30  1.000060E-30  1.000086E-30  1.000015E-30  1.000131E-30  1.000139E-30  1.000000E-30
     15  2.222704079044E-06  1.000089E-30  1.000131E-30  1.000125E-30  1.000179E-30  1.000032E-30  1.000274E-30  1.000289E-30  1.000000E-30
     16  4.298102471270E-06  1.000173E-30  1.000253E-30  1.000241E-30  1.000345E-30  1.000062E-30  1.000529E-30  1.000559E-30  1.000000E-30
     17  7.691889062333E-06  1.000309E-30  1.000452E-30  1.000431E-30  1.000618E-30  1.000112E-30  1.000947E-30  1.001000E-30  1.000000E-30
     18  1.308909950745E-05  1.000526E-30  1.000769E-30  1.000733E-30  1.001051E-30  1.000190E-30  1.001611E-30  1.001701E-30  1.000000E-30
     19  1.857566740576E-05  1.000746E-30  1.001091E-30  1.001041E-30  1.001492E-30  1.000270E-30  1.002286E-30  1.002414E-30  1.000000E-30
     20  2.437304006798E-05  1.000979E-30  1.001432E-30  1.001366E-30  1.001958E-30  1.000355E-30  1.002999E-30  1.003166E-30  1.000000E-30
     21  3.062636084650E-05  1.001231E-30  1.001799E-30  1.001716E-30  1.002460E-30  1.000446E-30  1.003769E-30  1.003978E-30  1.000000E-30
     22  3.755179443036E-05  1.001509E-30  1.002205E-30  1.002104E-30  1.003015E-30  1.000548E-30  1.004620E-30  1.004876E-30  1.000000E-30
     23  4.608652240190E-05  1.001852E-30  1.002706E-30  1.002582E-30  1.003700E-30  1.000674E-30  1.005670E-30  1.005983E-30  1.000000E-30
     24  5.520402925860E-05  1.002218E-30  1.003241E-30  1.003093E-30  1.004432E-30  1.000808E-30  1.006791E-30  1.007165E-30  1.000000E-30
     25  6.472551468226E-05  1.002601E-30  1.003800E-30  1.003626E-30  1.005195E-30  1.000949E-30  1.007962E-30  1.008398E-30  1.000000E-30
     26  7.459047774494E-05  1.002997E-30  1.004379E-30  1.004179E-30  1.005986E-30  1.001096E-30  1.009174E-30  1.009674E-30  1.000000E-30
