 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ru124         ru125         ru126         ru127         ru128         rh89          rh90          rh91 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000001E-30  1.000001E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000001E-30  1.000003E-30  1.000003E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30
     12  1.658089127914E-07  1.000004E-30  1.000011E-30  1.000012E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000002E-30
     13  4.445546741016E-07  1.000011E-30  1.000030E-30  1.000031E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000006E-30
     14  1.066239799837E-06  1.000027E-30  1.000073E-30  1.000074E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000014E-30
     15  2.222704079044E-06  1.000056E-30  1.000152E-30  1.000155E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000029E-30
     16  4.298102471270E-06  1.000109E-30  1.000294E-30  1.000300E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000057E-30
     17  7.691889062333E-06  1.000195E-30  1.000525E-30  1.000536E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000102E-30
     18  1.308909950745E-05  1.000331E-30  1.000894E-30  1.000912E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000173E-30
     19  1.857566740576E-05  1.000470E-30  1.001269E-30  1.001295E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000245E-30
     20  2.437304006798E-05  1.000617E-30  1.001665E-30  1.001699E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000322E-30
     21  3.062636084650E-05  1.000775E-30  1.002092E-30  1.002134E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000405E-30
     22  3.755179443036E-05  1.000950E-30  1.002565E-30  1.002617E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000496E-30
     23  4.608652240190E-05  1.001166E-30  1.003148E-30  1.003211E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000609E-30
     24  5.520402925860E-05  1.001397E-30  1.003771E-30  1.003846E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000729E-30
     25  6.472551468226E-05  1.001639E-30  1.004421E-30  1.004509E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000855E-30
     26  7.459047774494E-05  1.001889E-30  1.005095E-30  1.005195E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000986E-30
