 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                pd124         pd125         pd126         pd127         pd128         pd129         pd130         pd131
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000002E-30  1.000002E-30  1.000000E-30
     12  1.658089127914E-07  1.000003E-30  1.000004E-30  1.000003E-30  1.000005E-30  1.000005E-30  1.000006E-30  1.000006E-30  1.000000E-30
     13  4.445546741016E-07  1.000008E-30  1.000010E-30  1.000007E-30  1.000013E-30  1.000014E-30  1.000016E-30  1.000017E-30  1.000000E-30
     14  1.066239799837E-06  1.000019E-30  1.000025E-30  1.000017E-30  1.000031E-30  1.000034E-30  1.000038E-30  1.000040E-30  1.000000E-30
     15  2.222704079044E-06  1.000039E-30  1.000052E-30  1.000035E-30  1.000065E-30  1.000071E-30  1.000079E-30  1.000084E-30  1.000000E-30
     16  4.298102471270E-06  1.000075E-30  1.000100E-30  1.000068E-30  1.000126E-30  1.000138E-30  1.000153E-30  1.000162E-30  1.000000E-30
     17  7.691889062333E-06  1.000135E-30  1.000179E-30  1.000122E-30  1.000226E-30  1.000247E-30  1.000273E-30  1.000289E-30  1.000000E-30
     18  1.308909950745E-05  1.000230E-30  1.000305E-30  1.000207E-30  1.000384E-30  1.000420E-30  1.000465E-30  1.000493E-30  1.000000E-30
     19  1.857566740576E-05  1.000326E-30  1.000433E-30  1.000294E-30  1.000545E-30  1.000596E-30  1.000660E-30  1.000699E-30  1.000000E-30
     20  2.437304006798E-05  1.000427E-30  1.000568E-30  1.000385E-30  1.000715E-30  1.000783E-30  1.000866E-30  1.000917E-30  1.000000E-30
     21  3.062636084650E-05  1.000537E-30  1.000714E-30  1.000484E-30  1.000898E-30  1.000983E-30  1.001089E-30  1.001152E-30  1.000000E-30
     22  3.755179443036E-05  1.000659E-30  1.000875E-30  1.000593E-30  1.001102E-30  1.001206E-30  1.001335E-30  1.001413E-30  1.000000E-30
     23  4.608652240190E-05  1.000808E-30  1.001074E-30  1.000728E-30  1.001352E-30  1.001480E-30  1.001638E-30  1.001734E-30  1.000000E-30
     24  5.520402925860E-05  1.000968E-30  1.001286E-30  1.000872E-30  1.001619E-30  1.001772E-30  1.001962E-30  1.002077E-30  1.000000E-30
     25  6.472551468226E-05  1.001135E-30  1.001508E-30  1.001023E-30  1.001899E-30  1.002078E-30  1.002300E-30  1.002435E-30  1.000000E-30
     26  7.459047774494E-05  1.001308E-30  1.001738E-30  1.001179E-30  1.002188E-30  1.002394E-30  1.002651E-30  1.002806E-30  1.000000E-30
