 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                xe151         xe152         xe153         xe154         xe155         xe156         xe157         xe158
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30
     11  4.567476566510E-08  1.000001E-30  1.000001E-30  1.000001E-30  1.000002E-30  1.000002E-30  1.000003E-30  1.000003E-30  1.000005E-30
     12  1.658089127914E-07  1.000003E-30  1.000003E-30  1.000005E-30  1.000006E-30  1.000009E-30  1.000009E-30  1.000013E-30  1.000017E-30
     13  4.445546741016E-07  1.000007E-30  1.000009E-30  1.000014E-30  1.000016E-30  1.000023E-30  1.000025E-30  1.000034E-30  1.000045E-30
     14  1.066239799837E-06  1.000018E-30  1.000022E-30  1.000034E-30  1.000039E-30  1.000055E-30  1.000059E-30  1.000081E-30  1.000107E-30
     15  2.222704079044E-06  1.000037E-30  1.000047E-30  1.000071E-30  1.000080E-30  1.000115E-30  1.000123E-30  1.000169E-30  1.000223E-30
     16  4.298102471270E-06  1.000071E-30  1.000090E-30  1.000137E-30  1.000155E-30  1.000223E-30  1.000238E-30  1.000327E-30  1.000432E-30
     17  7.691889062333E-06  1.000127E-30  1.000161E-30  1.000245E-30  1.000278E-30  1.000398E-30  1.000425E-30  1.000585E-30  1.000773E-30
     18  1.308909950745E-05  1.000216E-30  1.000274E-30  1.000417E-30  1.000473E-30  1.000678E-30  1.000723E-30  1.000996E-30  1.001315E-30
     19  1.857566740576E-05  1.000306E-30  1.000389E-30  1.000591E-30  1.000671E-30  1.000962E-30  1.001026E-30  1.001413E-30  1.001866E-30
     20  2.437304006798E-05  1.000401E-30  1.000511E-30  1.000776E-30  1.000881E-30  1.001262E-30  1.001346E-30  1.001854E-30  1.002448E-30
     21  3.062636084650E-05  1.000504E-30  1.000642E-30  1.000975E-30  1.001107E-30  1.001586E-30  1.001691E-30  1.002329E-30  1.003075E-30
     22  3.755179443036E-05  1.000619E-30  1.000787E-30  1.001196E-30  1.001358E-30  1.001944E-30  1.002074E-30  1.002855E-30  1.003769E-30
     23  4.608652240190E-05  1.000759E-30  1.000966E-30  1.001467E-30  1.001666E-30  1.002386E-30  1.002544E-30  1.003503E-30  1.004624E-30
     24  5.520402925860E-05  1.000909E-30  1.001157E-30  1.001758E-30  1.001996E-30  1.002858E-30  1.003047E-30  1.004195E-30  1.005537E-30
     25  6.472551468226E-05  1.001066E-30  1.001357E-30  1.002061E-30  1.002340E-30  1.003350E-30  1.003572E-30  1.004917E-30  1.006490E-30
     26  7.459047774494E-05  1.001229E-30  1.001564E-30  1.002375E-30  1.002697E-30  1.003860E-30  1.004115E-30  1.005664E-30  1.007477E-30
