 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ba148         ba149         ba150         ba151         ba152         ba153         ba154         ba155
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000000E-30  1.000001E-30
     12  1.658089127914E-07  1.000001E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000003E-30  1.000001E-30  1.000002E-30  1.000002E-30
     13  4.445546741016E-07  1.000002E-30  1.000001E-30  1.000001E-30  1.000003E-30  1.000009E-30  1.000002E-30  1.000004E-30  1.000005E-30
     14  1.066239799837E-06  1.000004E-30  1.000002E-30  1.000002E-30  1.000006E-30  1.000021E-30  1.000005E-30  1.000010E-30  1.000013E-30
     15  2.222704079044E-06  1.000008E-30  1.000004E-30  1.000005E-30  1.000013E-30  1.000044E-30  1.000011E-30  1.000020E-30  1.000027E-30
     16  4.298102471270E-06  1.000016E-30  1.000007E-30  1.000009E-30  1.000025E-30  1.000086E-30  1.000021E-30  1.000039E-30  1.000052E-30
     17  7.691889062333E-06  1.000028E-30  1.000012E-30  1.000017E-30  1.000045E-30  1.000154E-30  1.000037E-30  1.000070E-30  1.000094E-30
     18  1.308909950745E-05  1.000047E-30  1.000021E-30  1.000029E-30  1.000077E-30  1.000262E-30  1.000062E-30  1.000119E-30  1.000159E-30
     19  1.857566740576E-05  1.000067E-30  1.000030E-30  1.000041E-30  1.000109E-30  1.000371E-30  1.000089E-30  1.000169E-30  1.000226E-30
     20  2.437304006798E-05  1.000088E-30  1.000040E-30  1.000054E-30  1.000143E-30  1.000487E-30  1.000116E-30  1.000222E-30  1.000297E-30
     21  3.062636084650E-05  1.000111E-30  1.000050E-30  1.000067E-30  1.000180E-30  1.000612E-30  1.000146E-30  1.000279E-30  1.000373E-30
     22  3.755179443036E-05  1.000136E-30  1.000061E-30  1.000083E-30  1.000221E-30  1.000751E-30  1.000179E-30  1.000342E-30  1.000458E-30
     23  4.608652240190E-05  1.000167E-30  1.000075E-30  1.000102E-30  1.000271E-30  1.000921E-30  1.000220E-30  1.000420E-30  1.000562E-30
     24  5.520402925860E-05  1.000200E-30  1.000090E-30  1.000122E-30  1.000324E-30  1.001104E-30  1.000263E-30  1.000503E-30  1.000673E-30
     25  6.472551468226E-05  1.000234E-30  1.000105E-30  1.000143E-30  1.000380E-30  1.001294E-30  1.000309E-30  1.000590E-30  1.000789E-30
     26  7.459047774494E-05  1.000270E-30  1.000121E-30  1.000164E-30  1.000438E-30  1.001491E-30  1.000356E-30  1.000680E-30  1.000909E-30
