 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                nd156         nd157         nd158         nd159         nd160         nd161         nd162         nd163
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000001E-30
     12  1.658089127914E-07  1.000001E-30  1.000001E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000002E-30  1.000002E-30  1.000002E-30
     13  4.445546741016E-07  1.000002E-30  1.000002E-30  1.000000E-30  1.000003E-30  1.000003E-30  1.000005E-30  1.000006E-30  1.000007E-30
     14  1.066239799837E-06  1.000005E-30  1.000004E-30  1.000000E-30  1.000006E-30  1.000007E-30  1.000011E-30  1.000014E-30  1.000016E-30
     15  2.222704079044E-06  1.000010E-30  1.000009E-30  1.000000E-30  1.000013E-30  1.000015E-30  1.000023E-30  1.000030E-30  1.000033E-30
     16  4.298102471270E-06  1.000020E-30  1.000017E-30  1.000003E-30  1.000025E-30  1.000029E-30  1.000044E-30  1.000058E-30  1.000064E-30
     17  7.691889062333E-06  1.000035E-30  1.000031E-30  1.000432E-30  1.000045E-30  1.000051E-30  1.000079E-30  1.000104E-30  1.000115E-30
     18  1.308909950745E-05  1.000060E-30  1.000052E-30  1.000037E-30  1.000076E-30  1.000087E-30  1.000135E-30  1.000177E-30  1.000195E-30
     19  1.857566740576E-05  1.000085E-30  1.000074E-30  1.000045E-30  1.000108E-30  1.000124E-30  1.000192E-30  1.000251E-30  1.000277E-30
     20  2.437304006798E-05  1.000112E-30  1.000097E-30  1.000081E-30  1.000142E-30  1.000162E-30  1.000251E-30  1.000329E-30  1.000363E-30
     21  3.062636084650E-05  1.000141E-30  1.000122E-30  1.000147E-30  1.000178E-30  1.000204E-30  1.000316E-30  1.000414E-30  1.000456E-30
     22  3.755179443036E-05  1.000173E-30  1.000150E-30  1.000275E-30  1.000218E-30  1.000250E-30  1.000387E-30  1.000507E-30  1.000560E-30
     23  4.608652240190E-05  1.000212E-30  1.000184E-30  1.000672E-30  1.000268E-30  1.000307E-30  1.000475E-30  1.000623E-30  1.000687E-30
     24  5.520402925860E-05  1.000254E-30  1.000220E-30  1.000822E-30  1.000321E-30  1.000367E-30  1.000570E-30  1.000746E-30  1.000823E-30
     25  6.472551468226E-05  1.000298E-30  1.000258E-30  1.000918E-30  1.000376E-30  1.000431E-30  1.000668E-30  1.000874E-30  1.000965E-30
     26  7.459047774494E-05  1.000343E-30  1.000298E-30  1.000992E-30  1.000433E-30  1.000496E-30  1.000770E-30  1.001008E-30  1.001112E-30
