 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                nd172         nd173         nd174         nd175         nd176         nd177         nd178         pm130
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000001E-30  1.000000E-30
     11  4.567476566510E-08  1.000001E-30  1.000001E-30  1.000001E-30  1.000002E-30  1.000003E-30  1.000001E-30  1.000002E-30  1.000000E-30
     12  1.658089127914E-07  1.000003E-30  1.000005E-30  1.000005E-30  1.000007E-30  1.000010E-30  1.000005E-30  1.000008E-30  1.000000E-30
     13  4.445546741016E-07  1.000008E-30  1.000013E-30  1.000015E-30  1.000018E-30  1.000027E-30  1.000012E-30  1.000021E-30  1.000000E-30
     14  1.066239799837E-06  1.000018E-30  1.000031E-30  1.000035E-30  1.000043E-30  1.000064E-30  1.000029E-30  1.000051E-30  1.000000E-30
     15  2.222704079044E-06  1.000038E-30  1.000064E-30  1.000073E-30  1.000090E-30  1.000134E-30  1.000061E-30  1.000107E-30  1.000000E-30
     16  4.298102471270E-06  1.000073E-30  1.000124E-30  1.000140E-30  1.000175E-30  1.000260E-30  1.000119E-30  1.000206E-30  1.000000E-30
     17  7.691889062333E-06  1.000131E-30  1.000222E-30  1.000251E-30  1.000313E-30  1.000465E-30  1.000212E-30  1.000369E-30  1.000000E-30
     18  1.308909950745E-05  1.000223E-30  1.000378E-30  1.000428E-30  1.000532E-30  1.000791E-30  1.000361E-30  1.000627E-30  1.000000E-30
     19  1.857566740576E-05  1.000316E-30  1.000536E-30  1.000607E-30  1.000756E-30  1.001122E-30  1.000513E-30  1.000890E-30  1.000000E-30
     20  2.437304006798E-05  1.000415E-30  1.000703E-30  1.000797E-30  1.000992E-30  1.001472E-30  1.000673E-30  1.001168E-30  1.000000E-30
     21  3.062636084650E-05  1.000521E-30  1.000884E-30  1.001001E-30  1.001247E-30  1.001850E-30  1.000845E-30  1.001467E-30  1.000000E-30
     22  3.755179443036E-05  1.000639E-30  1.001084E-30  1.001228E-30  1.001529E-30  1.002268E-30  1.001036E-30  1.001798E-30  1.000000E-30
     23  4.608652240190E-05  1.000785E-30  1.001330E-30  1.001507E-30  1.001877E-30  1.002783E-30  1.001271E-30  1.002206E-30  1.000000E-30
     24  5.520402925860E-05  1.000940E-30  1.001594E-30  1.001806E-30  1.002249E-30  1.003332E-30  1.001522E-30  1.002641E-30  1.000000E-30
     25  6.472551468226E-05  1.001102E-30  1.001869E-30  1.002118E-30  1.002638E-30  1.003906E-30  1.001784E-30  1.003096E-30  1.000000E-30
     26  7.459047774494E-05  1.001271E-30  1.002154E-30  1.002441E-30  1.003042E-30  1.004500E-30  1.002055E-30  1.003566E-30  1.000000E-30
