 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                sm174         sm175         sm176         sm177         sm178         sm179         sm180         sm181
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000001E-30  1.000000E-30
     11  4.567476566510E-08  1.000001E-30  1.000001E-30  1.000001E-30  1.000002E-30  1.000003E-30  1.000001E-30  1.000002E-30  1.000000E-30
     12  1.658089127914E-07  1.000003E-30  1.000004E-30  1.000005E-30  1.000006E-30  1.000010E-30  1.000004E-30  1.000008E-30  1.000000E-30
     13  4.445546741016E-07  1.000008E-30  1.000012E-30  1.000014E-30  1.000015E-30  1.000027E-30  1.000010E-30  1.000021E-30  1.000000E-30
     14  1.066239799837E-06  1.000020E-30  1.000028E-30  1.000033E-30  1.000036E-30  1.000064E-30  1.000023E-30  1.000049E-30  1.000000E-30
     15  2.222704079044E-06  1.000042E-30  1.000058E-30  1.000069E-30  1.000075E-30  1.000133E-30  1.000048E-30  1.000103E-30  1.000001E-30
     16  4.298102471270E-06  1.000081E-30  1.000112E-30  1.000133E-30  1.000145E-30  1.000257E-30  1.000093E-30  1.000198E-30  1.000001E-30
     17  7.691889062333E-06  1.000145E-30  1.000201E-30  1.000238E-30  1.000259E-30  1.000460E-30  1.000167E-30  1.000355E-30  1.000002E-30
     18  1.308909950745E-05  1.000247E-30  1.000341E-30  1.000405E-30  1.000441E-30  1.000782E-30  1.000284E-30  1.000604E-30  1.000004E-30
     19  1.857566740576E-05  1.000351E-30  1.000484E-30  1.000575E-30  1.000625E-30  1.001110E-30  1.000403E-30  1.000857E-30  1.000005E-30
     20  2.437304006798E-05  1.000461E-30  1.000636E-30  1.000755E-30  1.000820E-30  1.001457E-30  1.000529E-30  1.001125E-30  1.000007E-30
     21  3.062636084650E-05  1.000579E-30  1.000799E-30  1.000948E-30  1.001031E-30  1.001830E-30  1.000665E-30  1.001413E-30  1.000009E-30
     22  3.755179443036E-05  1.000710E-30  1.000979E-30  1.001163E-30  1.001264E-30  1.002244E-30  1.000815E-30  1.001732E-30  1.000011E-30
     23  4.608652240190E-05  1.000871E-30  1.001202E-30  1.001427E-30  1.001552E-30  1.002754E-30  1.001000E-30  1.002125E-30  1.000013E-30
     24  5.520402925860E-05  1.001043E-30  1.001440E-30  1.001709E-30  1.001859E-30  1.003298E-30  1.001197E-30  1.002545E-30  1.000016E-30
     25  6.472551468226E-05  1.001223E-30  1.001688E-30  1.002004E-30  1.002180E-30  1.003866E-30  1.001403E-30  1.002984E-30  1.000018E-30
     26  7.459047774494E-05  1.001410E-30  1.001945E-30  1.002309E-30  1.002513E-30  1.004455E-30  1.001617E-30  1.003438E-30  1.000021E-30
