 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                tb187         tb188         tb189         tb190         tb191         tb192         dy143         dy144
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000002E-30  1.000000E-30  1.000000E-30  1.000000E-30
     12  1.658089127914E-07  1.000001E-30  1.000001E-30  1.000003E-30  1.000002E-30  1.000007E-30  1.000000E-30  1.000000E-30  1.000000E-30
     13  4.445546741016E-07  1.000002E-30  1.000001E-30  1.000008E-30  1.000005E-30  1.000019E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.066239799837E-06  1.000005E-30  1.000003E-30  1.000019E-30  1.000013E-30  1.000046E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  2.222704079044E-06  1.000010E-30  1.000007E-30  1.000039E-30  1.000027E-30  1.000095E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  4.298102471270E-06  1.000019E-30  1.000013E-30  1.000075E-30  1.000053E-30  1.000184E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  7.691889062333E-06  1.000034E-30  1.000023E-30  1.000135E-30  1.000095E-30  1.000329E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  1.308909950745E-05  1.000058E-30  1.000040E-30  1.000229E-30  1.000162E-30  1.000560E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  1.857566740576E-05  1.000082E-30  1.000056E-30  1.000325E-30  1.000230E-30  1.000794E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  2.437304006798E-05  1.000107E-30  1.000074E-30  1.000427E-30  1.000302E-30  1.001042E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  3.062636084650E-05  1.000135E-30  1.000093E-30  1.000536E-30  1.000380E-30  1.001309E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  3.755179443036E-05  1.000166E-30  1.000114E-30  1.000657E-30  1.000466E-30  1.001605E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  4.608652240190E-05  1.000204E-30  1.000140E-30  1.000807E-30  1.000572E-30  1.001970E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.520402925860E-05  1.000244E-30  1.000168E-30  1.000967E-30  1.000686E-30  1.002359E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  6.472551468226E-05  1.000286E-30  1.000197E-30  1.001134E-30  1.000805E-30  1.002765E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  7.459047774494E-05  1.000330E-30  1.000227E-30  1.001307E-30  1.000928E-30  1.003186E-30  1.000000E-30  1.000000E-30  1.000000E-30
