 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                dy177         dy178         dy179         dy180         dy181         dy182         dy183         dy184
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000000E-30
     12  1.658089127914E-07  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000002E-30  1.000004E-30  1.000002E-30  1.000002E-30
     13  4.445546741016E-07  1.000002E-30  1.000002E-30  1.000003E-30  1.000004E-30  1.000004E-30  1.000010E-30  1.000006E-30  1.000005E-30
     14  1.066239799837E-06  1.000005E-30  1.000005E-30  1.000007E-30  1.000009E-30  1.000010E-30  1.000024E-30  1.000013E-30  1.000011E-30
     15  2.222704079044E-06  1.000011E-30  1.000011E-30  1.000014E-30  1.000018E-30  1.000021E-30  1.000050E-30  1.000028E-30  1.000023E-30
     16  4.298102471270E-06  1.000022E-30  1.000022E-30  1.000027E-30  1.000035E-30  1.000041E-30  1.000096E-30  1.000054E-30  1.000045E-30
     17  7.691889062333E-06  1.000040E-30  1.000039E-30  1.000049E-30  1.000063E-30  1.000074E-30  1.000171E-30  1.000097E-30  1.000080E-30
     18  1.308909950745E-05  1.000067E-30  1.000067E-30  1.000083E-30  1.000108E-30  1.000125E-30  1.000292E-30  1.000164E-30  1.000136E-30
     19  1.857566740576E-05  1.000096E-30  1.000095E-30  1.000118E-30  1.000153E-30  1.000178E-30  1.000414E-30  1.000233E-30  1.000193E-30
     20  2.437304006798E-05  1.000125E-30  1.000125E-30  1.000155E-30  1.000201E-30  1.000234E-30  1.000543E-30  1.000306E-30  1.000254E-30
     21  3.062636084650E-05  1.000158E-30  1.000157E-30  1.000194E-30  1.000252E-30  1.000294E-30  1.000682E-30  1.000385E-30  1.000319E-30
     22  3.755179443036E-05  1.000193E-30  1.000192E-30  1.000238E-30  1.000309E-30  1.000360E-30  1.000836E-30  1.000471E-30  1.000391E-30
     23  4.608652240190E-05  1.000237E-30  1.000236E-30  1.000292E-30  1.000379E-30  1.000442E-30  1.001026E-30  1.000579E-30  1.000480E-30
     24  5.520402925860E-05  1.000284E-30  1.000283E-30  1.000350E-30  1.000454E-30  1.000529E-30  1.001229E-30  1.000693E-30  1.000575E-30
     25  6.472551468226E-05  1.000333E-30  1.000332E-30  1.000411E-30  1.000533E-30  1.000621E-30  1.001441E-30  1.000813E-30  1.000674E-30
     26  7.459047774494E-05  1.000384E-30  1.000382E-30  1.000473E-30  1.000614E-30  1.000715E-30  1.001661E-30  1.000937E-30  1.000777E-30
