 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                er184         er185         er186         er187         er188         er189         er190         er191
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000001E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     12  1.658089127914E-07  1.000002E-30  1.000001E-30  1.000001E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000001E-30  1.000002E-30
     13  4.445546741016E-07  1.000005E-30  1.000003E-30  1.000002E-30  1.000001E-30  1.000002E-30  1.000001E-30  1.000001E-30  1.000004E-30
     14  1.066239799837E-06  1.000013E-30  1.000008E-30  1.000004E-30  1.000003E-30  1.000005E-30  1.000003E-30  1.000004E-30  1.000011E-30
     15  2.222704079044E-06  1.000026E-30  1.000016E-30  1.000009E-30  1.000006E-30  1.000010E-30  1.000007E-30  1.000007E-30  1.000022E-30
     16  4.298102471270E-06  1.000051E-30  1.000032E-30  1.000018E-30  1.000012E-30  1.000019E-30  1.000013E-30  1.000014E-30  1.000043E-30
     17  7.691889062333E-06  1.000090E-30  1.000057E-30  1.000032E-30  1.000022E-30  1.000033E-30  1.000023E-30  1.000025E-30  1.000077E-30
     18  1.308909950745E-05  1.000154E-30  1.000096E-30  1.000054E-30  1.000037E-30  1.000057E-30  1.000039E-30  1.000043E-30  1.000132E-30
     19  1.857566740576E-05  1.000218E-30  1.000137E-30  1.000077E-30  1.000052E-30  1.000080E-30  1.000055E-30  1.000061E-30  1.000187E-30
     20  2.437304006798E-05  1.000287E-30  1.000179E-30  1.000101E-30  1.000069E-30  1.000105E-30  1.000072E-30  1.000080E-30  1.000245E-30
     21  3.062636084650E-05  1.000360E-30  1.000225E-30  1.000128E-30  1.000086E-30  1.000133E-30  1.000091E-30  1.000101E-30  1.000308E-30
     22  3.755179443036E-05  1.000442E-30  1.000276E-30  1.000156E-30  1.000106E-30  1.000163E-30  1.000112E-30  1.000124E-30  1.000378E-30
     23  4.608652240190E-05  1.000542E-30  1.000339E-30  1.000192E-30  1.000130E-30  1.000199E-30  1.000137E-30  1.000152E-30  1.000464E-30
     24  5.520402925860E-05  1.000649E-30  1.000406E-30  1.000230E-30  1.000155E-30  1.000239E-30  1.000164E-30  1.000182E-30  1.000555E-30
     25  6.472551468226E-05  1.000761E-30  1.000476E-30  1.000270E-30  1.000182E-30  1.000280E-30  1.000192E-30  1.000214E-30  1.000651E-30
     26  7.459047774494E-05  1.000877E-30  1.000549E-30  1.000311E-30  1.000210E-30  1.000323E-30  1.000222E-30  1.000246E-30  1.000751E-30
