 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                er192         er193         er194         er195         er196         er197         er198         tm150
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000001E-30  1.000001E-30  1.000002E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000000E-30  1.000000E-30
     12  1.658089127914E-07  1.000002E-30  1.000003E-30  1.000006E-30  1.000001E-30  1.000004E-30  1.000000E-30  1.000000E-30  1.000000E-30
     13  4.445546741016E-07  1.000006E-30  1.000009E-30  1.000015E-30  1.000004E-30  1.000011E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.066239799837E-06  1.000014E-30  1.000020E-30  1.000037E-30  1.000009E-30  1.000027E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  2.222704079044E-06  1.000029E-30  1.000043E-30  1.000076E-30  1.000019E-30  1.000056E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  4.298102471270E-06  1.000055E-30  1.000082E-30  1.000147E-30  1.000037E-30  1.000108E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  7.691889062333E-06  1.000099E-30  1.000147E-30  1.000264E-30  1.000066E-30  1.000194E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  1.308909950745E-05  1.000168E-30  1.000250E-30  1.000448E-30  1.000112E-30  1.000330E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  1.857566740576E-05  1.000238E-30  1.000356E-30  1.000636E-30  1.000159E-30  1.000468E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  2.437304006798E-05  1.000313E-30  1.000466E-30  1.000835E-30  1.000209E-30  1.000614E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  3.062636084650E-05  1.000393E-30  1.000586E-30  1.001049E-30  1.000263E-30  1.000772E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  3.755179443036E-05  1.000482E-30  1.000719E-30  1.001286E-30  1.000322E-30  1.000946E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  4.608652240190E-05  1.000592E-30  1.000882E-30  1.001579E-30  1.000395E-30  1.001161E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.520402925860E-05  1.000709E-30  1.001057E-30  1.001891E-30  1.000474E-30  1.001391E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  6.472551468226E-05  1.000831E-30  1.001239E-30  1.002217E-30  1.000555E-30  1.001630E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  7.459047774494E-05  1.000958E-30  1.001428E-30  1.002555E-30  1.000640E-30  1.001879E-30  1.000000E-30  1.000000E-30  1.000000E-30
