 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                hf192         hf193         hf194         hf195         hf196         hf197         hf198         hf199
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     12  1.658089127914E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30
     13  4.445546741016E-07  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000003E-30  1.000004E-30  1.000002E-30
     14  1.066239799837E-06  1.000002E-30  1.000002E-30  1.000003E-30  1.000003E-30  1.000003E-30  1.000006E-30  1.000009E-30  1.000006E-30
     15  2.222704079044E-06  1.000005E-30  1.000005E-30  1.000006E-30  1.000006E-30  1.000007E-30  1.000013E-30  1.000019E-30  1.000012E-30
     16  4.298102471270E-06  1.000009E-30  1.000009E-30  1.000013E-30  1.000012E-30  1.000014E-30  1.000024E-30  1.000036E-30  1.000024E-30
     17  7.691889062333E-06  1.000016E-30  1.000016E-30  1.000022E-30  1.000022E-30  1.000025E-30  1.000044E-30  1.000064E-30  1.000043E-30
     18  1.308909950745E-05  1.000027E-30  1.000028E-30  1.000038E-30  1.000037E-30  1.000042E-30  1.000074E-30  1.000110E-30  1.000073E-30
     19  1.857566740576E-05  1.000039E-30  1.000040E-30  1.000054E-30  1.000053E-30  1.000059E-30  1.000106E-30  1.000156E-30  1.000104E-30
     20  2.437304006798E-05  1.000051E-30  1.000052E-30  1.000071E-30  1.000069E-30  1.000078E-30  1.000139E-30  1.000204E-30  1.000136E-30
     21  3.062636084650E-05  1.000064E-30  1.000065E-30  1.000089E-30  1.000087E-30  1.000098E-30  1.000174E-30  1.000257E-30  1.000171E-30
     22  3.755179443036E-05  1.000078E-30  1.000080E-30  1.000110E-30  1.000107E-30  1.000120E-30  1.000213E-30  1.000315E-30  1.000209E-30
     23  4.608652240190E-05  1.000096E-30  1.000099E-30  1.000135E-30  1.000131E-30  1.000147E-30  1.000262E-30  1.000386E-30  1.000257E-30
     24  5.520402925860E-05  1.000115E-30  1.000118E-30  1.000161E-30  1.000157E-30  1.000176E-30  1.000314E-30  1.000462E-30  1.000308E-30
     25  6.472551468226E-05  1.000134E-30  1.000138E-30  1.000189E-30  1.000184E-30  1.000206E-30  1.000368E-30  1.000542E-30  1.000361E-30
     26  7.459047774494E-05  1.000155E-30  1.000159E-30  1.000218E-30  1.000212E-30  1.000238E-30  1.000424E-30  1.000625E-30  1.000416E-30
