 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                w205          w206          w207          w208          w209          w210          w211          w212 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000001E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30
     12  1.658089127914E-07  1.000000E-30  1.000003E-30  1.000000E-30  1.000003E-30  1.000001E-30  1.000002E-30  1.000000E-30  1.000002E-30
     13  4.445546741016E-07  1.000001E-30  1.000008E-30  1.000000E-30  1.000008E-30  1.000002E-30  1.000005E-30  1.000001E-30  1.000006E-30
     14  1.066239799837E-06  1.000003E-30  1.000018E-30  1.000000E-30  1.000018E-30  1.000006E-30  1.000011E-30  1.000003E-30  1.000013E-30
     15  2.222704079044E-06  1.000006E-30  1.000039E-30  1.000000E-30  1.000038E-30  1.000012E-30  1.000023E-30  1.000006E-30  1.000028E-30
     16  4.298102471270E-06  1.000012E-30  1.000075E-30  1.000000E-30  1.000074E-30  1.000023E-30  1.000045E-30  1.000012E-30  1.000054E-30
     17  7.691889062333E-06  1.000021E-30  1.000133E-30  1.000000E-30  1.000133E-30  1.000041E-30  1.000080E-30  1.000022E-30  1.000097E-30
     18  1.308909950745E-05  1.000035E-30  1.000227E-30  1.000000E-30  1.000226E-30  1.000069E-30  1.000137E-30  1.000037E-30  1.000165E-30
     19  1.857566740576E-05  1.000050E-30  1.000322E-30  1.000000E-30  1.000321E-30  1.000098E-30  1.000194E-30  1.000053E-30  1.000235E-30
     20  2.437304006798E-05  1.000066E-30  1.000423E-30  1.000000E-30  1.000421E-30  1.000129E-30  1.000255E-30  1.000070E-30  1.000308E-30
     21  3.062636084650E-05  1.000083E-30  1.000531E-30  1.000000E-30  1.000529E-30  1.000162E-30  1.000321E-30  1.000088E-30  1.000387E-30
     22  3.755179443036E-05  1.000101E-30  1.000651E-30  1.000000E-30  1.000648E-30  1.000198E-30  1.000393E-30  1.000108E-30  1.000474E-30
     23  4.608652240190E-05  1.000124E-30  1.000800E-30  1.000000E-30  1.000796E-30  1.000244E-30  1.000482E-30  1.000132E-30  1.000582E-30
     24  5.520402925860E-05  1.000149E-30  1.000958E-30  1.000000E-30  1.000953E-30  1.000292E-30  1.000578E-30  1.000158E-30  1.000697E-30
     25  6.472551468226E-05  1.000175E-30  1.001123E-30  1.000000E-30  1.001117E-30  1.000342E-30  1.000677E-30  1.000186E-30  1.000818E-30
     26  7.459047774494E-05  1.000201E-30  1.001294E-30  1.000000E-30  1.001288E-30  1.000394E-30  1.000781E-30  1.000214E-30  1.000942E-30
