 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                re207         re208         re209         re210         re211         re212         re213         re214
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     12  1.658089127914E-07  1.000001E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000000E-30  1.000001E-30  1.000000E-30
     13  4.445546741016E-07  1.000004E-30  1.000000E-30  1.000004E-30  1.000002E-30  1.000002E-30  1.000001E-30  1.000002E-30  1.000001E-30
     14  1.066239799837E-06  1.000008E-30  1.000000E-30  1.000009E-30  1.000005E-30  1.000006E-30  1.000003E-30  1.000005E-30  1.000003E-30
     15  2.222704079044E-06  1.000018E-30  1.000000E-30  1.000019E-30  1.000011E-30  1.000012E-30  1.000005E-30  1.000010E-30  1.000006E-30
     16  4.298102471270E-06  1.000034E-30  1.000000E-30  1.000037E-30  1.000021E-30  1.000024E-30  1.000010E-30  1.000020E-30  1.000012E-30
     17  7.691889062333E-06  1.000061E-30  1.000000E-30  1.000067E-30  1.000037E-30  1.000042E-30  1.000018E-30  1.000035E-30  1.000021E-30
     18  1.308909950745E-05  1.000104E-30  1.000000E-30  1.000114E-30  1.000063E-30  1.000072E-30  1.000031E-30  1.000060E-30  1.000035E-30
     19  1.857566740576E-05  1.000148E-30  1.000000E-30  1.000162E-30  1.000089E-30  1.000102E-30  1.000044E-30  1.000085E-30  1.000050E-30
     20  2.437304006798E-05  1.000194E-30  1.000000E-30  1.000213E-30  1.000116E-30  1.000134E-30  1.000058E-30  1.000112E-30  1.000066E-30
     21  3.062636084650E-05  1.000244E-30  1.000000E-30  1.000267E-30  1.000146E-30  1.000168E-30  1.000072E-30  1.000140E-30  1.000083E-30
     22  3.755179443036E-05  1.000299E-30  1.000000E-30  1.000327E-30  1.000179E-30  1.000206E-30  1.000089E-30  1.000172E-30  1.000102E-30
     23  4.608652240190E-05  1.000367E-30  1.000000E-30  1.000402E-30  1.000220E-30  1.000253E-30  1.000109E-30  1.000211E-30  1.000125E-30
     24  5.520402925860E-05  1.000440E-30  1.000000E-30  1.000481E-30  1.000264E-30  1.000303E-30  1.000131E-30  1.000253E-30  1.000149E-30
     25  6.472551468226E-05  1.000516E-30  1.000000E-30  1.000564E-30  1.000309E-30  1.000356E-30  1.000153E-30  1.000296E-30  1.000175E-30
     26  7.459047774494E-05  1.000594E-30  1.000000E-30  1.000650E-30  1.000356E-30  1.000410E-30  1.000177E-30  1.000342E-30  1.000202E-30
