 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                pt223         pt224         pt225         pt226         pt227         pt228         pt229         pt230
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000001E-30  1.000000E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30
     12  1.658089127914E-07  1.000002E-30  1.000001E-30  1.000003E-30  1.000003E-30  1.000002E-30  1.000002E-30  1.000004E-30  1.000004E-30
     13  4.445546741016E-07  1.000005E-30  1.000003E-30  1.000007E-30  1.000008E-30  1.000005E-30  1.000006E-30  1.000011E-30  1.000012E-30
     14  1.066239799837E-06  1.000013E-30  1.000007E-30  1.000018E-30  1.000019E-30  1.000012E-30  1.000013E-30  1.000027E-30  1.000029E-30
     15  2.222704079044E-06  1.000026E-30  1.000015E-30  1.000037E-30  1.000039E-30  1.000026E-30  1.000028E-30  1.000055E-30  1.000060E-30
     16  4.298102471270E-06  1.000051E-30  1.000028E-30  1.000071E-30  1.000076E-30  1.000050E-30  1.000054E-30  1.000107E-30  1.000115E-30
     17  7.691889062333E-06  1.000091E-30  1.000051E-30  1.000127E-30  1.000136E-30  1.000089E-30  1.000097E-30  1.000192E-30  1.000207E-30
     18  1.308909950745E-05  1.000154E-30  1.000086E-30  1.000215E-30  1.000231E-30  1.000151E-30  1.000165E-30  1.000326E-30  1.000351E-30
     19  1.857566740576E-05  1.000219E-30  1.000122E-30  1.000306E-30  1.000328E-30  1.000214E-30  1.000233E-30  1.000463E-30  1.000499E-30
     20  2.437304006798E-05  1.000287E-30  1.000161E-30  1.000401E-30  1.000430E-30  1.000281E-30  1.000306E-30  1.000607E-30  1.000654E-30
     21  3.062636084650E-05  1.000360E-30  1.000202E-30  1.000504E-30  1.000541E-30  1.000353E-30  1.000385E-30  1.000762E-30  1.000822E-30
     22  3.755179443036E-05  1.000442E-30  1.000247E-30  1.000618E-30  1.000663E-30  1.000433E-30  1.000472E-30  1.000935E-30  1.001008E-30
     23  4.608652240190E-05  1.000542E-30  1.000304E-30  1.000759E-30  1.000814E-30  1.000532E-30  1.000579E-30  1.001147E-30  1.001236E-30
     24  5.520402925860E-05  1.000650E-30  1.000364E-30  1.000909E-30  1.000975E-30  1.000637E-30  1.000693E-30  1.001374E-30  1.001481E-30
     25  6.472551468226E-05  1.000762E-30  1.000427E-30  1.001066E-30  1.001143E-30  1.000746E-30  1.000813E-30  1.001610E-30  1.001736E-30
     26  7.459047774494E-05  1.000878E-30  1.000492E-30  1.001229E-30  1.001318E-30  1.000860E-30  1.000937E-30  1.001856E-30  1.002000E-30
