 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                hg221         hg222         hg223         hg224         hg225         hg226         hg227         hg228
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000001E-30
     12  1.658089127914E-07  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000002E-30  1.000003E-30
     13  4.445546741016E-07  1.000002E-30  1.000002E-30  1.000001E-30  1.000003E-30  1.000004E-30  1.000003E-30  1.000005E-30  1.000007E-30
     14  1.066239799837E-06  1.000005E-30  1.000005E-30  1.000003E-30  1.000007E-30  1.000009E-30  1.000008E-30  1.000011E-30  1.000016E-30
     15  2.222704079044E-06  1.000011E-30  1.000011E-30  1.000007E-30  1.000014E-30  1.000018E-30  1.000017E-30  1.000023E-30  1.000034E-30
     16  4.298102471270E-06  1.000021E-30  1.000022E-30  1.000013E-30  1.000027E-30  1.000035E-30  1.000033E-30  1.000044E-30  1.000065E-30
     17  7.691889062333E-06  1.000038E-30  1.000039E-30  1.000024E-30  1.000048E-30  1.000063E-30  1.000058E-30  1.000079E-30  1.000117E-30
     18  1.308909950745E-05  1.000064E-30  1.000066E-30  1.000040E-30  1.000082E-30  1.000107E-30  1.000099E-30  1.000135E-30  1.000199E-30
     19  1.857566740576E-05  1.000091E-30  1.000094E-30  1.000057E-30  1.000116E-30  1.000151E-30  1.000141E-30  1.000192E-30  1.000282E-30
     20  2.437304006798E-05  1.000120E-30  1.000123E-30  1.000075E-30  1.000152E-30  1.000199E-30  1.000184E-30  1.000252E-30  1.000370E-30
     21  3.062636084650E-05  1.000150E-30  1.000155E-30  1.000094E-30  1.000191E-30  1.000250E-30  1.000232E-30  1.000317E-30  1.000465E-30
     22  3.755179443036E-05  1.000184E-30  1.000190E-30  1.000115E-30  1.000235E-30  1.000306E-30  1.000284E-30  1.000388E-30  1.000570E-30
     23  4.608652240190E-05  1.000226E-30  1.000233E-30  1.000141E-30  1.000288E-30  1.000376E-30  1.000349E-30  1.000476E-30  1.000700E-30
     24  5.520402925860E-05  1.000271E-30  1.000279E-30  1.000169E-30  1.000345E-30  1.000450E-30  1.000418E-30  1.000571E-30  1.000838E-30
     25  6.472551468226E-05  1.000318E-30  1.000327E-30  1.000199E-30  1.000405E-30  1.000528E-30  1.000490E-30  1.000669E-30  1.000983E-30
     26  7.459047774494E-05  1.000366E-30  1.000377E-30  1.000229E-30  1.000466E-30  1.000608E-30  1.000565E-30  1.000771E-30  1.001133E-30
