 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                pb238         pb239         pb240         pb241         pb242         pb243         pb244         pb245
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000002E-30  1.000000E-30  1.000001E-30  1.000000E-30  1.000001E-30
     11  4.567476566510E-08  1.000000E-30  1.000001E-30  1.000000E-30  1.000009E-30  1.000000E-30  1.000003E-30  1.000002E-30  1.000004E-30
     12  1.658089127914E-07  1.000002E-30  1.000002E-30  1.000002E-30  1.000033E-30  1.000000E-30  1.000010E-30  1.000006E-30  1.000013E-30
     13  4.445546741016E-07  1.000005E-30  1.000005E-30  1.000004E-30  1.000088E-30  1.000000E-30  1.000026E-30  1.000017E-30  1.000035E-30
     14  1.066239799837E-06  1.000011E-30  1.000013E-30  1.000010E-30  1.000210E-30  1.000000E-30  1.000063E-30  1.000040E-30  1.000085E-30
     15  2.222704079044E-06  1.000023E-30  1.000027E-30  1.000021E-30  1.000438E-30  1.000000E-30  1.000131E-30  1.000083E-30  1.000177E-30
     16  4.298102471270E-06  1.000045E-30  1.000053E-30  1.000042E-30  1.000847E-30  1.000000E-30  1.000254E-30  1.000160E-30  1.000342E-30
     17  7.691889062333E-06  1.000080E-30  1.000094E-30  1.000074E-30  1.001516E-30  1.000000E-30  1.000455E-30  1.000286E-30  1.000611E-30
     18  1.308909950745E-05  1.000136E-30  1.000160E-30  1.000126E-30  1.002579E-30  1.000000E-30  1.000773E-30  1.000486E-30  1.001040E-30
     19  1.857566740576E-05  1.000193E-30  1.000227E-30  1.000179E-30  1.003660E-30  1.000000E-30  1.001097E-30  1.000689E-30  1.001476E-30
     20  2.437304006798E-05  1.000253E-30  1.000298E-30  1.000235E-30  1.004801E-30  1.000000E-30  1.001439E-30  1.000904E-30  1.001936E-30
     21  3.062636084650E-05  1.000318E-30  1.000374E-30  1.000296E-30  1.006033E-30  1.000000E-30  1.001808E-30  1.001136E-30  1.002432E-30
     22  3.755179443036E-05  1.000390E-30  1.000459E-30  1.000362E-30  1.007396E-30  1.000000E-30  1.002217E-30  1.001393E-30  1.002981E-30
     23  4.608652240190E-05  1.000479E-30  1.000563E-30  1.000445E-30  1.009076E-30  1.000000E-30  1.002720E-30  1.001709E-30  1.003658E-30
     24  5.520402925860E-05  1.000574E-30  1.000675E-30  1.000533E-30  1.010870E-30  1.000000E-30  1.003257E-30  1.002046E-30  1.004380E-30
     25  6.472551468226E-05  1.000673E-30  1.000792E-30  1.000625E-30  1.012743E-30  1.000000E-30  1.003818E-30  1.002398E-30  1.005134E-30
     26  7.459047774494E-05  1.000776E-30  1.000913E-30  1.000720E-30  1.014682E-30  1.000000E-30  1.004399E-30  1.002763E-30  1.005914E-30
