 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                po232         po233         po234         po235         po236         po237         at211         neut 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.999848E-07
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.999848E-07
      3  1.100000000000E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.999848E-07
      4  1.110000000000E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.999848E-07
      5  1.111000000000E-13  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.999848E-07
      6  1.111100000000E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.999848E-07
      7  1.111110000000E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.999848E-07
      8  1.111111000000E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.999848E-07
      9  1.111111100000E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.999848E-07
     10  1.111111110000E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.999848E-07
     11  4.567476566510E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.999848E-07
     12  1.658089127914E-07  1.000001E-30  1.000001E-30  1.000001E-30  1.000001E-30  1.000002E-30  1.000002E-30  1.000000E-30  4.999848E-07
     13  4.445546741016E-07  1.000002E-30  1.000002E-30  1.000002E-30  1.000003E-30  1.000005E-30  1.000004E-30  1.000000E-30  4.999848E-07
     14  1.066239799837E-06  1.000005E-30  1.000005E-30  1.000005E-30  1.000007E-30  1.000011E-30  1.000011E-30  1.000000E-30  4.999848E-07
     15  2.222704079044E-06  1.000011E-30  1.000010E-30  1.000010E-30  1.000015E-30  1.000023E-30  1.000022E-30  1.000000E-30  4.999848E-07
     16  4.298102471270E-06  1.000021E-30  1.000019E-30  1.000020E-30  1.000028E-30  1.000044E-30  1.000043E-30  1.000000E-30  4.999848E-07
     17  7.691889062333E-06  1.000037E-30  1.000034E-30  1.000036E-30  1.000051E-30  1.000079E-30  1.000077E-30  1.000000E-30  4.999848E-07
     18  1.308909950745E-05  1.000063E-30  1.000058E-30  1.000061E-30  1.000086E-30  1.000135E-30  1.000131E-30  1.000000E-30  4.999848E-07
     19  1.857566740576E-05  1.000089E-30  1.000082E-30  1.000086E-30  1.000122E-30  1.000191E-30  1.000186E-30  1.000000E-30  4.999848E-07
     20  2.437304006798E-05  1.000116E-30  1.000107E-30  1.000113E-30  1.000160E-30  1.000251E-30  1.000244E-30  1.000000E-30  4.999848E-07
     21  3.062636084650E-05  1.000146E-30  1.000135E-30  1.000142E-30  1.000201E-30  1.000316E-30  1.000306E-30  1.000000E-30  4.999848E-07
     22  3.755179443036E-05  1.000179E-30  1.000165E-30  1.000175E-30  1.000247E-30  1.000387E-30  1.000375E-30  1.000000E-30  4.999848E-07
     23  4.608652240190E-05  1.000220E-30  1.000203E-30  1.000214E-30  1.000303E-30  1.000475E-30  1.000461E-30  1.000000E-30  4.999848E-07
     24  5.520402925860E-05  1.000264E-30  1.000243E-30  1.000257E-30  1.000363E-30  1.000569E-30  1.000552E-30  1.000000E-30  4.999848E-07
     25  6.472551468226E-05  1.000309E-30  1.000285E-30  1.000301E-30  1.000425E-30  1.000667E-30  1.000647E-30  1.000000E-30  4.999848E-07
     26  7.459047774494E-05  1.000356E-30  1.000328E-30  1.000347E-30  1.000490E-30  1.000769E-30  1.000746E-30  1.000000E-30  4.999848E-07
     27  8.489118412102E-05  1.000406E-30  1.000374E-30  1.000395E-30  1.000558E-30  1.000875E-30  1.000849E-30  1.000000E-30  4.999848E-07
     28  9.570255892797E-05  1.000457E-30  1.000421E-30  1.000445E-30  1.000629E-30  1.000986E-30  1.000957E-30  1.000000E-30  4.999848E-07
     29  1.070853065563E-04  1.000512E-30  1.000472E-30  1.000498E-30  1.000704E-30  1.001104E-30  1.001071E-30  1.000000E-30  4.999848E-07
     30  1.190882425669E-04  1.000569E-30  1.000524E-30  1.000554E-30  1.000782E-30  1.001228E-30  1.001191E-30  1.000000E-30  4.999848E-07
     31  1.366291075688E-04  1.000653E-30  1.000602E-30  1.000636E-30  1.000898E-30  1.001409E-30  1.001367E-30  1.000000E-30  4.999848E-07
     32  1.695708820900E-04  1.000810E-30  1.000747E-30  1.000789E-30  1.001114E-30  1.001748E-30  1.001697E-30  1.000000E-30  4.999848E-07
     33  1.992873377730E-04  1.000953E-30  1.000878E-30  1.000927E-30  1.001310E-30  1.002055E-30  1.001994E-30  1.000000E-30  4.999848E-07
     34  2.264248739983E-04  1.001082E-30  1.000997E-30  1.001054E-30  1.001489E-30  1.002335E-30  1.002266E-30  1.000000E-30  4.999848E-07
     35  2.515933231106E-04  1.001203E-30  1.001108E-30  1.001171E-30  1.001654E-30  1.002595E-30  1.002518E-30  1.000000E-30  4.999848E-07
