                                                      NUCLIDE ABUNDANCE YIELDS
                                                      ------- --------- ------


 Computational parameters:
   cy = 0.300/  ct = 0.030/  initial temp = 8.48E-02/  final temp = 1.00E-02/  smallest abundances allowed = 1.00E-25
 Model parameters:
   g =  1.00/  tau = 885.70/  # nu =  3.00/  lambda =  0.000E+00/  xi-e =  0.000E+00/  xi-m =  0.000E+00/  xi-t =  0.000E+00

    SumX         time        N          P            D          T          He3          He4          Li7       Li8       N14       Fe56
----------------------------------------------------------------------------------------------------------------------------------------------
-5.960E+04   1.000E-15   1.000E-25   1.000E-25   1.000E-25   1.000E-25   1.000E-25   2.500E-01   1.000E-25   1.000E-25   9.627E-08   1.616E-08
-5.960E+04   1.500E-04   4.649E-11   1.737E-11   7.735E-20   4.796E-11   1.589E-11   2.500E-01   1.904E-15   1.347E-24   9.627E-08   1.616E-08
-5.960E+04   1.230E-02   3.320E-09   1.903E-09   4.668E-14   4.365E-09   8.466E-10   2.500E-01   1.357E-11   5.297E-17   9.624E-08   1.616E-08
-7.153E+04   2.445E-02   5.584E-09   4.779E-09   3.772E-13   9.583E-09   7.206E-10   2.500E-01   5.818E-11   7.647E-16   9.617E-08   1.616E-08
-7.153E+04   3.660E-02   7.703E-09   7.782E-09   1.185E-12   1.484E-08   4.899E-10   2.500E-01   1.367E-10   3.670E-15   9.606E-08   1.616E-08
-7.153E+04   4.875E-02   9.886E-09   1.071E-08   2.505E-12   1.994E-08   3.590E-10   2.500E-01   2.486E-10   1.130E-14   9.591E-08   1.616E-08
-7.153E+04   6.089E-02   1.209E-08   1.360E-08   4.254E-12   2.491E-08   2.844E-10   2.500E-01   3.927E-10   2.715E-14   9.573E-08   1.616E-08
-7.153E+04   7.304E-02   1.430E-08   1.649E-08   6.291E-12   2.978E-08   2.362E-10   2.500E-01   5.685E-10   5.563E-14   9.551E-08   1.616E-08
-7.153E+04   8.519E-02   1.649E-08   1.939E-08   8.470E-12   3.456E-08   2.023E-10   2.500E-01   7.752E-10   1.020E-13   9.525E-08   1.616E-08
-7.153E+04   9.734E-02   1.867E-08   2.230E-08   1.068E-11   3.926E-08   1.770E-10   2.500E-01   1.012E-09   1.722E-13   9.496E-08   1.616E-08
-7.153E+04   1.095E-01   2.084E-08   2.522E-08   1.287E-11   4.387E-08   1.574E-10   2.500E-01   1.279E-09   2.731E-13   9.464E-08   1.616E-08
-7.153E+04   1.216E-01   2.299E-08   2.816E-08   1.502E-11   4.839E-08   1.417E-10   2.500E-01   1.576E-09   4.122E-13   9.428E-08   1.616E-08
-8.345E+04   1.338E-01   2.514E-08   3.112E-08   1.714E-11   5.283E-08   1.288E-10   2.500E-01   1.901E-09   5.977E-13   9.389E-08   1.616E-08
-8.345E+04   1.460E-01   2.728E-08   3.409E-08   1.923E-11   5.717E-08   1.181E-10   2.500E-01   2.254E-09   8.386E-13   9.346E-08   1.616E-08
-8.345E+04   1.581E-01   2.942E-08   3.708E-08   2.132E-11   6.143E-08   1.089E-10   2.500E-01   2.635E-09   1.144E-12   9.300E-08   1.616E-08
-9.537E+04   1.703E-01   3.155E-08   4.009E-08   2.342E-11   6.560E-08   1.011E-10   2.500E-01   3.043E-09   1.525E-12   9.251E-08   1.616E-08
-9.537E+04   1.825E-01   3.368E-08   4.311E-08   2.555E-11   6.967E-08   9.421E-11   2.500E-01   3.477E-09   1.992E-12   9.199E-08   1.616E-08
-8.345E+04   1.946E-01   3.582E-08   4.614E-08   2.771E-11   7.365E-08   8.819E-11   2.500E-01   3.937E-09   2.556E-12   9.143E-08   1.616E-08
-9.537E+04   2.068E-01   3.796E-08   4.919E-08   2.991E-11   7.754E-08   8.284E-11   2.500E-01   4.422E-09   3.229E-12   9.085E-08   1.616E-08
-1.073E+05   2.190E-01   4.010E-08   5.225E-08   3.216E-11   8.133E-08   7.807E-11   2.500E-01   4.932E-09   4.024E-12   9.024E-08   1.616E-08
-1.073E+05   2.311E-01   4.225E-08   5.533E-08   3.446E-11   8.503E-08   7.377E-11   2.500E-01   5.466E-09   4.954E-12   8.959E-08   1.616E-08
-1.073E+05   2.433E-01   4.441E-08   5.841E-08   3.681E-11   8.863E-08   6.988E-11   2.500E-01   6.023E-09   6.032E-12   8.892E-08   1.616E-08
-1.073E+05   2.555E-01   4.657E-08   6.150E-08   3.922E-11   9.213E-08   6.634E-11   2.500E-01   6.602E-09   7.273E-12   8.822E-08   1.616E-08
