 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                temp          den           ener          sdot          sneut         s-snu         ye            1-sum
      1  0.000000000000E+00  1.000000E+10  3.000000E+06  6.934236E+19 -6.794381E+28  1.079402E+18 -6.794381E+28  1.075526E-01  1.110223E-16
      2  1.000000000000E-16  1.000000E+10  3.000000E+06  6.934235E+19 -6.467179E+28  1.115831E+18 -6.467179E+28  1.075526E-01  1.110223E-16
      3  6.264265632874E-16  1.000000E+10  3.000000E+06  6.934232E+19 -4.987801E+28  1.115831E+18 -4.987801E+28  1.075526E-01  0.000000E+00
      4  2.206990590178E-15  1.000000E+10  3.000000E+06  6.934227E+19 -2.288250E+28  1.115831E+18 -2.288250E+28  1.075526E-01 -2.220446E-16
      5  6.425069294186E-15  1.000000E+10  3.000000E+06  6.934223E+19 -2.898302E+27  1.115831E+18 -2.898302E+27  1.075526E-01  4.440892E-16
      6  1.724777641531E-14  1.000000E+10  3.000000E+06  6.934222E+19 -6.508174E+25  1.115831E+18 -6.508174E+25  1.075526E-01  1.110223E-16
      7  4.527785414179E-14  1.000000E+10  3.000000E+06  6.934222E+19 -4.323981E+25  1.115831E+18 -4.323981E+25  1.075526E-01  3.330669E-16
      8  1.231582592127E-13  1.000000E+10  3.000000E+06  6.934222E+19 -2.685224E+25  1.115831E+18 -2.685224E+25  1.075526E-01 -2.220446E-16
      9  4.001734798240E-13  1.000000E+10  3.000000E+06  6.934221E+19 -6.243454E+24  1.115831E+18 -6.243455E+24  1.075526E-01  3.330669E-16
     10  1.150918682670E-12  1.000000E+10  3.000000E+06  6.934221E+19 -2.264065E+24  1.115831E+18 -2.264066E+24  1.075526E-01  9.992007E-16
     11  2.802808442389E-12  1.000000E+10  3.000000E+06  6.934221E+19 -2.234723E+24  1.115831E+18 -2.234724E+24  1.075526E-01  1.221245E-15
     12  6.912921996243E-12  1.000000E+10  3.000000E+06  6.934220E+19 -2.234619E+24  1.115831E+18 -2.234621E+24  1.075526E-01  6.661338E-16
     13  1.659368270033E-11  1.000000E+10  3.000000E+06  6.934218E+19 -2.234369E+24  1.115831E+18 -2.234370E+24  1.075526E-01  5.551115E-16
     14  1.134012897413E-10  1.000000E+10  3.000000E+06  6.934196E+19 -2.231870E+24  1.115831E+18 -2.231871E+24  1.075526E-01  5.551115E-16
