 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                be9           be10          be11          be12          b8            b9            b10           b11  
      1  0.000000000000E+00  5.467297E-14  3.627428E-16  1.255681E-20  2.364791E-24  3.629518E-20  6.687570E-16  2.037461E-16  6.650473E-16
      2  1.000000000000E-16  5.451401E-14  3.627428E-16  1.255681E-20  2.364791E-24  3.591108E-20  6.683304E-16  2.301618E-16  6.612627E-16
      3  6.264265632874E-16  5.399249E-14  3.627428E-16  1.255681E-20  2.364791E-24  3.401953E-20  6.640540E-16  3.228026E-16  6.417017E-16
      4  2.206990590178E-15  5.436784E-14  3.627428E-16  1.255681E-20  2.364791E-24  2.947156E-20  6.605860E-16  4.014024E-16  5.864568E-16
      5  6.425069294186E-15  5.863738E-14  3.627428E-16  1.255681E-20  2.364791E-24  2.273630E-20  7.084602E-16  4.093569E-16  4.614975E-16
      6  1.724777641531E-14  6.363290E-14  3.627428E-16  1.255681E-20  2.364791E-24  1.798042E-20  7.757552E-16  3.890211E-16  2.501549E-16
      7  4.527785414179E-14  5.979421E-14  3.627428E-16  1.255681E-20  2.364791E-24  1.528793E-20  7.314929E-16  3.387467E-16  5.246144E-17
      8  1.231582592127E-13  4.579619E-14  3.627428E-16  1.255681E-20  2.364791E-24  1.075085E-20  5.600668E-16  2.390220E-16  2.306808E-18
      9  4.001734798240E-13  2.791440E-14  3.627428E-16  1.255681E-20  2.364791E-24  5.047408E-21  3.409245E-16  1.136298E-16  8.409156E-19
     10  1.150918682670E-12  2.432774E-14  3.627428E-16  1.255681E-20  2.364791E-24  3.946164E-21  2.969736E-16  8.941666E-17  5.645041E-19
     11  2.802808442389E-12  2.427526E-14  3.627428E-16  1.255681E-20  2.364791E-24  3.938018E-21  2.963320E-16  8.923524E-17  5.465783E-19
     12  6.912921996243E-12  2.427288E-14  3.627428E-16  1.255681E-20  2.364791E-24  3.937922E-21  2.963049E-16  8.922805E-17  5.463387E-19
     13  1.659368270033E-11  2.426798E-14  3.627428E-16  1.255681E-20  2.364791E-24  3.937696E-21  2.962498E-16  8.921109E-17  5.462021E-19
     14  1.134012897413E-10  2.421910E-14  3.627428E-16  1.255681E-20  2.364791E-24  3.935432E-21  2.956989E-16  8.904171E-17  5.448385E-19
     15  1.081477360150E-09  2.373611E-14  3.627428E-16  1.255681E-20  2.364791E-24  3.912787E-21  2.902489E-16  8.736658E-17  5.314141E-19
     16  1.076223806424E-08  1.944476E-14  3.627428E-16  1.255681E-20  2.364790E-24  3.686831E-21  2.412119E-16  7.235126E-17  4.160369E-19
     17  6.834096797002E-08  6.465640E-15  3.627428E-16  1.255681E-20  2.364786E-24  2.496212E-21  8.485293E-17  2.514951E-17  1.143997E-19
     18  2.542122411654E-07  7.306114E-16  3.627428E-16  1.255681E-20  2.364772E-24  9.675780E-22  1.006977E-17  2.960192E-18  1.069005E-20
     19  7.007518887657E-07  4.149459E-16  3.627428E-16  1.255681E-20  2.364738E-24  7.419847E-22  5.750803E-18  1.689732E-18  5.977192E-21
     20  1.724661805125E-06  4.137523E-16  3.627428E-16  1.255680E-20  2.364660E-24  7.410186E-22  5.734281E-18  1.685015E-18  5.960586E-21
     21  4.267664185819E-06  4.143139E-16  3.627428E-16  1.255680E-20  2.364466E-24  7.416087E-22  5.741732E-18  1.687549E-18  5.970223E-21
     22  1.786211798807E-05  4.173282E-16  3.627428E-16  1.255679E-20  2.363430E-24  7.447702E-22  5.781717E-18  1.701157E-18  6.021993E-21
     23  6.929007850093E-05  4.289370E-16  3.627428E-16  1.255676E-20  2.359514E-24  7.568530E-22  5.935578E-18  1.753659E-18  6.222039E-21
     24  5.835696836295E-04  5.649159E-16  3.627428E-16  1.255644E-20  2.320716E-24  8.888885E-22  7.723907E-18  2.378646E-18  8.638074E-21
     25  1.496090518789E-03  9.232422E-16  3.627428E-16  1.255586E-20  2.253437E-24  1.180134E-21  1.234007E-17  4.093034E-18  1.552133E-20
     26  2.379765156362E-03  1.484604E-15  3.627428E-16  1.255531E-20  2.190144E-24  1.544877E-21  1.937448E-17  6.910154E-18  2.740073E-20
     27  3.772948503579E-03  3.106563E-15  3.627428E-16  1.255443E-20  2.093950E-24  2.319975E-21  3.885060E-17  1.556301E-17  6.664604E-20
     28  4.957278025650E-03  5.757812E-15  3.627428E-16  1.255368E-20  2.015505E-24  3.206353E-21  6.901851E-17  3.056377E-17  1.408554E-19
     29  5.758110286319E-03  8.632613E-15  3.627428E-16  1.255318E-20  1.964134E-24  3.923593E-21  1.001687E-16  4.750455E-17  2.311668E-19
     30  6.636115041812E-03  1.334475E-14  3.627428E-16  1.255262E-20  1.909317E-24  4.810678E-21  1.487193E-16  7.611201E-17  3.954396E-19
     31  7.490864585256E-03  2.005957E-14  3.627428E-16  1.255209E-20  1.857421E-24  5.733977E-21  2.138228E-16  1.179785E-16  6.573076E-19
     32  8.026631019591E-03  2.570091E-14  3.627428E-16  1.255175E-20  1.825613E-24  6.321516E-21  2.656082E-16  1.537164E-16  8.979593E-19
     33  8.451616658664E-03  3.113852E-14  3.627428E-16  1.255148E-20  1.800771E-24  6.778610E-21  3.134136E-16  1.884570E-16  1.145516E-18
     34  9.803471762980E-03  5.535876E-14  3.627428E-16  1.255063E-20  1.723973E-24  8.051060E-21  5.062926E-16  3.448035E-16  2.409509E-18
     35  1.116687552369E-02  9.361936E-14  3.627428E-16  1.254977E-20  1.649837E-24  8.806058E-21  7.614480E-16  5.912061E-16  4.862687E-18
     36  1.219012310682E-02  1.335506E-13  3.627428E-16  1.254913E-20  1.596298E-24  8.871496E-21  9.796140E-16  8.435698E-16  7.965422E-18
     37  1.314647137106E-02  1.804517E-13  3.627428E-16  1.254852E-20  1.547832E-24  8.516281E-21  1.186438E-15  1.131676E-15  1.231263E-17
     38  1.431720408173E-02  2.509707E-13  3.627428E-16  1.254779E-20  1.490500E-24  7.600677E-21  1.416765E-15  1.546115E-15  2.036139E-17
     39  1.545287753035E-02  3.318215E-13  3.627428E-16  1.254707E-20  1.436915E-24  6.378284E-21  1.584020E-15  1.994773E-15  3.217897E-17
     40  1.716820108076E-02  4.729007E-13  3.627428E-16  1.254599E-20  1.359609E-24  4.339962E-21  1.682337E-15  2.715178E-15  6.159222E-17
     41  1.871872199221E-02  6.110248E-13  3.627428E-16  1.254501E-20  1.293316E-24  2.717139E-21  1.591969E-15  3.359607E-15  1.076977E-16
     42  2.131412024987E-02  8.322959E-13  3.627428E-16  1.254338E-20  1.189503E-24  9.777629E-22  1.157647E-15  4.342523E-15  2.705696E-16
     43  2.288535686070E-02  9.424857E-13  3.627428E-16  1.254239E-20  1.130748E-24  4.549050E-22  8.360019E-16  4.881529E-15  4.845910E-16
     44  2.437102778700E-02  1.022202E-12  3.627428E-16  1.254146E-20  1.077865E-24  1.992919E-22  5.614426E-16  5.369013E-15  8.777036E-16
     45  2.666254430666E-02  1.095023E-12  3.627428E-16  1.254001E-20  1.001106E-24  4.531085E-23  2.571353E-16  6.089165E-15  2.463178E-15
     46  2.807329513827E-02  1.111996E-12  3.627428E-16  1.253913E-20  9.565937E-25  1.534386E-23  1.425832E-16  6.460522E-15  5.162026E-15
     47  2.946719119355E-02  1.108829E-12  3.627428E-16  1.253825E-20  9.145576E-25  4.468199E-24  7.285516E-17  6.641842E-15  1.190578E-14
     48  2.982466835475E-02  1.104755E-12  3.627428E-16  1.253802E-20  9.040779E-25  3.161894E-24  6.049247E-17  6.633807E-15  1.505503E-14
     49  3.017238950627E-02  1.099542E-12  3.627428E-16  1.253780E-20  8.939995E-25  2.242628E-24  5.032901E-17  6.598982E-15  1.902343E-14
     50  3.052509122072E-02  1.093080E-12  3.627428E-16  1.253758E-20  8.838915E-25  1.574912E-24  4.169849E-17  6.534867E-15  2.421901E-14
     51  3.066477686677E-02  1.090221E-12  3.627428E-16  1.253749E-20  8.799200E-25  1.368147E-24  3.870185E-17  6.501361E-15  2.667028E-14
     52  3.080037159611E-02  1.087272E-12  3.627428E-16  1.253741E-20  8.760818E-25  1.190904E-24  3.597048E-17  6.463239E-15  2.933113E-14
     53  3.111325257314E-02  1.079918E-12  3.627428E-16  1.253721E-20  8.672891E-25  8.628667E-25  3.037547E-17  6.357456E-15  3.659946E-14
     54  3.147800645819E-02  1.070587E-12  3.627428E-16  1.253698E-20  8.571500E-25  5.941012E-25  2.500787E-17  6.207346E-15  4.733205E-14
     55  3.181357346897E-02  1.061501E-12  3.627428E-16  1.253677E-20  8.479269E-25  4.237056E-25  2.099619E-17  6.047862E-15  5.975943E-14
     56  3.217197145871E-02  1.051502E-12  3.627428E-16  1.253655E-20  8.381859E-25  2.977282E-25  1.751536E-17  5.860046E-15  7.619957E-14
     57  3.249951277145E-02  1.042281E-12  3.627428E-16  1.253634E-20  8.293815E-25  2.175373E-25  1.492388E-17  5.677043E-15  9.449328E-14
     58  3.262595809504E-02  1.038730E-12  3.627428E-16  1.253626E-20  8.260073E-25  1.931517E-25  1.404927E-17  5.604210E-15  1.024835E-13
     59  3.272641576722E-02  1.035881E-12  3.627428E-16  1.253620E-20  8.233365E-25  1.755781E-25  1.338791E-17  5.543993E-15  1.093625E-13
     60  3.304841700500E-02  1.026842E-12  3.627428E-16  1.253599E-20  8.148335E-25  1.299878E-25  1.150838E-17  5.347678E-15  1.340495E-13
     61  3.362823507679E-02  1.011164E-12  3.627428E-16  1.253563E-20  7.997433E-25  7.725492E-26  8.878198E-18  4.989671E-15  1.895898E-13
     62  3.417743618412E-02  9.973090E-13  3.627428E-16  1.253528E-20  7.857078E-25  4.840256E-26  7.048769E-18  4.656146E-15  2.569113E-13
     63  3.448472684867E-02  9.900438E-13  3.627428E-16  1.253509E-20  7.779623E-25  3.765136E-26  6.232457E-18  4.475083E-15  3.013445E-13
     64  3.459225947862E-02  9.875693E-13  3.627428E-16  1.253502E-20  7.752699E-25  3.451107E-26  5.973271E-18  4.412014E-15  3.182868E-13
     65  3.468161085917E-02  9.855311E-13  3.627428E-16  1.253497E-20  7.730399E-25  3.209351E-26  5.766163E-18  4.359304E-15  3.330448E-13
     66  3.501586344154E-02  9.781807E-13  3.627428E-16  1.253476E-20  7.647543E-25  2.457915E-26  5.067348E-18  4.166207E-15  3.925490E-13
     67  3.563385967804E-02  9.657561E-13  3.627428E-16  1.253437E-20  7.496682E-25  1.533493E-26  4.038180E-18  3.829801E-15  5.202255E-13
     68  3.619390900501E-02  9.558073E-13  3.627428E-16  1.253402E-20  7.362539E-25  1.027198E-26  3.333158E-18  3.552860E-15  6.541717E-13
     69  3.661379630041E-02  9.491088E-13  3.627428E-16  1.253375E-20  7.263545E-25  7.734452E-27  2.910631E-18  3.362921E-15  7.645658E-13
     70  3.704099468238E-02  9.429128E-13  3.627428E-16  1.253348E-20  7.164192E-25  5.882335E-27  2.554054E-18  3.185093E-15  8.839268E-13
     71  3.731378163516E-02  9.393139E-13  3.627428E-16  1.253331E-20  7.101463E-25  4.999270E-27  2.362188E-18  3.082755E-15  9.606855E-13
     72  3.757630769329E-02  9.361107E-13  3.627428E-16  1.253315E-20  7.041612E-25  4.319605E-27  2.200943E-18  2.993276E-15  1.033081E-12
