 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                o13           o14           o15           o16           o17           o18           o19           o20  
      1  0.000000000000E+00  3.206312E-29  3.581397E-23  3.060352E-21  1.104691E-18  8.555990E-21  2.211222E-22  1.207624E-24  1.237665E-26
      2  1.000000000000E-16  3.206844E-29  3.583409E-23  3.109448E-21  1.106414E-18  8.559403E-21  2.212191E-22  1.207624E-24  1.237665E-26
      3  6.264265632874E-16  3.209645E-29  3.655682E-23  3.326968E-21  1.115331E-18  8.578083E-21  2.217489E-22  1.207624E-24  1.237665E-26
      4  2.206990590178E-15  3.218054E-29  3.909837E-23  3.712002E-21  1.140656E-18  8.640124E-21  2.235340E-22  1.207624E-24  1.237665E-26
      5  6.425069294186E-15  3.240498E-29  4.188207E-23  4.090502E-21  1.198556E-18  8.828388E-21  2.296045E-22  1.207624E-24  1.237665E-26
      6  1.724777641531E-14  3.298075E-29  3.720623E-23  4.618695E-21  1.296806E-18  9.270171E-21  2.519250E-22  1.207624E-24  1.237665E-26
      7  4.527785414179E-14  3.447409E-29  2.233751E-23  5.710597E-21  1.375372E-18  9.636041E-21  3.318147E-22  1.207624E-24  1.237665E-26
      8  1.231582592127E-13  3.872025E-29  1.232982E-23  7.441522E-21  1.390068E-18  8.614208E-21  5.359192E-22  1.207624E-24  1.237665E-26
      9  4.001734798240E-13  5.020680E-29  3.351463E-24  7.899244E-21  1.465034E-18  3.895556E-21  6.702607E-22  1.207624E-24  1.237665E-26
     10  1.150918682670E-12  6.675543E-29  6.074755E-25  5.926174E-21  1.092338E-18  4.167345E-22  4.991769E-22  1.207624E-24  1.237665E-26
     11  2.802808442389E-12  8.546563E-29  5.113316E-25  5.523841E-21  1.007098E-18  2.290159E-22  4.609364E-22  1.207624E-24  1.237665E-26
     12  6.912921996243E-12  1.054425E-28  5.106436E-25  5.518177E-21  1.005922E-18  2.283496E-22  4.603805E-22  1.207624E-24  1.237665E-26
     13  1.659368270033E-11  1.064567E-28  5.104898E-25  5.515966E-21  1.005521E-18  2.282405E-22  4.601335E-22  1.207624E-24  1.237665E-26
     14  1.134012897413E-10  1.072113E-28  5.089541E-25  5.493894E-21  1.001515E-18  2.272061E-22  4.576946E-22  1.207624E-24  1.237665E-26
     15  1.081477360150E-09  1.078664E-28  4.938646E-25  5.278170E-21  9.623583E-19  2.171347E-22  4.340362E-22  1.207624E-24  1.237665E-26
     16  1.076223806424E-08  8.497579E-29  3.666672E-25  3.549523E-21  6.482452E-19  1.390023E-22  2.570261E-22  1.207624E-24  1.237665E-26
     17  6.834096797002E-08  3.050465E-29  7.089207E-26  3.932344E-22  7.235621E-20  1.196375E-23  1.141889E-23  1.207624E-24  1.237665E-26
     18  2.542122411654E-07  2.243512E-29  2.777385E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.207624E-24  1.237665E-26
     19  7.007518887657E-07  2.646588E-29  1.172042E-27  1.607971E-24  2.993140E-22  3.984256E-26  1.238786E-26  1.207624E-24  1.237665E-26
     20  1.724661805125E-06  4.272313E-29  1.166679E-27  1.625614E-24  3.010442E-22  4.344849E-26  1.385643E-26  1.207624E-24  1.237665E-26
     21  4.267664185819E-06  1.034670E-28  1.169268E-27  1.629959E-24  3.019756E-22  4.358134E-26  1.390342E-26  1.207624E-24  1.237665E-26
     22  1.786211798807E-05  5.722586E-28  1.183203E-27  1.653375E-24  3.070033E-22  4.429857E-26  1.415534E-26  1.207624E-24  1.237664E-26
     23  6.929007850093E-05  2.169129E-27  1.237457E-27  1.745092E-24  3.268020E-22  4.712194E-26  1.515103E-26  1.207622E-24  1.237660E-26
     24  5.835696836295E-04  1.974404E-26  1.939825E-27  3.000365E-24  6.119562E-22  8.762050E-26  2.999336E-26  1.207606E-24  1.237628E-26
