 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ne27          ne28          ne29          ne30          ne31          na19          na20          na21 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.843315E-28
      2  1.000000000000E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.813225E-30  6.098309E-28
      3  6.264265632874E-16  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.495083E-30  6.707614E-28
      4  2.206990590178E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000014E-30  3.841200E-30  6.875010E-28
      5  6.425069294186E-15  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.862845E-30  6.940530E-28
      6  1.724777641531E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.002782E-30  3.911006E-30  7.524074E-28
      7  4.527785414179E-14  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.490817E-30  9.839025E-28
      8  1.231582592127E-13  1.000000E-30  1.000000E-30  1.000005E-30  1.000000E-30  1.000000E-30  1.037070E-30  3.804961E-30  1.609320E-27
      9  4.001734798240E-13  1.000590E-30  1.000073E-30  1.000000E-30  1.000803E-30  1.000590E-30  1.173639E-30  1.814064E-30  2.047189E-27
     10  1.150918682670E-12  1.000000E-30  1.004618E-30  1.018621E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.086371E-30  1.514485E-27
     11  2.802808442389E-12  1.034168E-30  1.006893E-30  1.000000E-30  1.000000E-30  1.037643E-30  1.000000E-30  1.000000E-30  1.395085E-27
     12  6.912921996243E-12  1.187017E-30  1.000000E-30  1.075771E-30  1.207682E-30  1.188219E-30  1.000000E-30  1.000000E-30  1.392785E-27
     13  1.659368270033E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.391286E-27
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.382719E-27
