 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                mg23          mg24          mg25          mg26          mg27          mg28          mg29          mg30 
      1  0.000000000000E+00  1.107281E-29  4.980315E-27  1.167135E-27  7.479641E-28  3.074240E-29  2.007249E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.254721E-29  5.028286E-27  1.181071E-27  7.481545E-28  3.075219E-29  2.015749E-30  1.000000E-30  1.003346E-30
      3  6.264265632874E-16  1.593856E-29  5.278239E-27  1.252902E-27  7.497430E-28  3.082783E-29  2.060113E-30  1.000000E-30  1.020638E-30
      4  2.206990590178E-15  1.710671E-29  6.002261E-27  1.451604E-27  7.572333E-28  3.131353E-29  2.193189E-30  1.000000E-30  1.069447E-30
      5  6.425069294186E-15  1.781223E-29  7.745335E-27  1.874285E-27  7.816982E-28  3.444250E-29  2.607809E-30  1.000000E-30  1.180110E-30
      6  1.724777641531E-14  1.914158E-29  1.118739E-26  2.493314E-27  8.556749E-28  5.242088E-29  4.503892E-30  1.011871E-30  1.372803E-30
      7  4.527785414179E-14  2.093535E-29  1.712209E-26  2.991869E-27  1.083092E-27  1.338672E-28  1.446905E-29  1.224078E-30  1.602908E-30
      8  1.231582592127E-13  2.229862E-29  3.139984E-26  3.718223E-27  1.881684E-27  4.268097E-28  5.098568E-29  1.779142E-30  1.732328E-30
      9  4.001734798240E-13  2.085800E-29  4.494688E-26  5.957963E-27  5.276594E-27  1.128954E-27  1.587772E-28  3.494660E-30  1.802715E-30
     10  1.150918682670E-12  1.309757E-29  3.467825E-26  6.048563E-27  1.559239E-26  2.716518E-27  5.615902E-28  1.126480E-29  2.127811E-30
     11  2.802808442389E-12  1.115188E-29  3.157673E-26  5.286369E-27  1.365269E-26  2.147065E-27  4.302388E-28  8.599739E-30  2.155578E-30
     12  6.912921996243E-12  9.436139E-30  3.111435E-26  4.901908E-27  9.330429E-27  1.597815E-27  2.968582E-28  6.226402E-30  1.591824E-30
     13  1.659368270033E-11  7.563788E-30  3.034972E-26  4.302751E-27  2.147742E-27  5.088421E-28  3.637553E-29  1.000000E-30  1.000000E-30
     14  1.134012897413E-10  7.413910E-30  3.007904E-26  4.232987E-27  1.658881E-27  4.271379E-28  1.738649E-29  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  6.902083E-30  2.795875E-26  3.930771E-27  1.481330E-27  3.847111E-28  1.414389E-29  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  3.466098E-30  1.359795E-26  1.909244E-27  6.619728E-28  1.635560E-28  5.604551E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  1.496090518789E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.022133E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  2.379765156362E-03  1.000000E-30  1.409682E-30  1.000000E-30  1.075865E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     27  3.772948503579E-03  1.000000E-30  2.107221E-29  4.193861E-30  3.039225E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     28  4.957278025650E-03  1.000000E-30  1.958856E-28  3.820425E-29  1.346412E-29  1.028325E-30  1.000000E-30  1.000000E-30  1.000000E-30
     29  5.758110286319E-03  1.000000E-30  8.479335E-28  1.743111E-28  5.930134E-29  5.225187E-30  1.000000E-30  1.000000E-30  1.000000E-30
     30  6.636115041812E-03  1.000000E-30  4.137803E-27  9.026211E-28  3.338669E-28  3.164348E-29  1.715251E-30  1.000000E-30  1.000000E-30
     31  7.490864585256E-03  3.229755E-30  1.847547E-26  4.271890E-27  1.740464E-27  1.754970E-28  1.034528E-29  1.000000E-30  1.000000E-30
     32  8.026631019591E-03  7.296047E-30  4.613218E-26  1.106191E-26  4.804294E-27  5.027042E-28  3.092752E-29  1.000000E-30  1.000000E-30
     33  8.451616658664E-03  1.377679E-29  9.430788E-26  2.328091E-26  1.066310E-26  1.148315E-27  7.327573E-29  1.000000E-30  1.000000E-30
     34  9.803471762980E-03  9.482264E-29  8.265926E-25  2.235783E-25  1.222350E-25  1.430417E-26  1.026459E-27  1.657220E-30  1.000000E-30
     35  1.116687552369E-02  5.752534E-28  6.319665E-24  1.874955E-24  1.248116E-24  1.571986E-25  1.274249E-26  2.259578E-29  1.000000E-30
     36  1.219012310682E-02  2.012603E-27  2.616404E-23  8.339614E-24  6.556087E-24  8.676918E-25  7.757055E-26  1.441181E-28  1.000000E-30
