 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                si28          si29          si30          si31          si32          si33          si34          si35 
      1  0.000000000000E+00  5.171340E-30  2.153793E-30  1.622278E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  5.491782E-30  2.422075E-30  1.828435E-30  1.014181E-30  1.011521E-30  1.000000E-30  1.003979E-30  1.000000E-30
      3  6.264265632874E-16  7.233742E-30  4.110111E-30  3.210164E-30  1.167390E-30  1.078757E-30  1.000000E-30  1.024671E-30  1.000000E-30
      4  2.206990590178E-15  1.255924E-29  1.045476E-29  9.092082E-30  2.414771E-30  1.420422E-30  1.000001E-30  1.084301E-30  1.000000E-30
      5  6.425069294186E-15  2.596344E-29  2.822068E-29  3.009052E-29  9.681229E-30  4.074960E-30  1.007509E-30  1.227087E-30  1.000000E-30
      6  1.724777641531E-14  5.540149E-29  6.701518E-29  1.033539E-28  3.608555E-29  2.156244E-29  1.427146E-30  1.518936E-30  1.012687E-30
      7  4.527785414179E-14  1.084693E-28  1.446488E-28  3.852064E-28  1.014574E-28  9.511600E-29  4.439601E-30  2.188091E-30  1.150292E-30
      8  1.231582592127E-13  2.121568E-28  3.781646E-28  1.495049E-27  2.410991E-28  3.223626E-28  1.613386E-29  3.929909E-30  1.276246E-30
      9  4.001734798240E-13  5.557111E-28  1.288651E-27  5.582199E-27  6.770924E-28  1.057233E-27  5.825541E-29  9.321223E-30  1.321270E-30
     10  1.150918682670E-12  1.739715E-27  5.282830E-27  2.405209E-26  2.621637E-27  4.492711E-27  2.638621E-28  3.522448E-29  1.495966E-30
     11  2.802808442389E-12  1.330127E-27  3.911830E-27  1.735830E-26  1.767528E-27  3.010724E-27  1.707855E-28  2.329962E-29  1.416858E-30
     12  6.912921996243E-12  9.030202E-28  2.711454E-27  1.215865E-26  1.253144E-27  2.167478E-27  1.249070E-28  1.749829E-29  1.247901E-30
     13  1.659368270033E-11  1.041374E-28  2.278496E-28  1.010372E-27  1.056876E-28  1.837225E-28  1.127066E-29  2.326753E-30  1.000000E-30
     14  1.134012897413E-10  4.891984E-29  4.442756E-29  1.688357E-28  1.591696E-29  2.660592E-29  1.590097E-30  1.000000E-30  1.000000E-30
