 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                p32           p33           p34           p35           p36           p37           p38           p39  
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.043153E-30  1.036442E-30  1.000238E-30  1.005164E-30  1.000000E-30  1.002822E-30  1.000000E-30  1.002897E-30
      3  6.264265632874E-16  1.432973E-30  1.306031E-30  1.004993E-30  1.032182E-30  1.000000E-30  1.017447E-30  1.000000E-30  1.017879E-30
      4  2.206990590178E-15  3.847824E-30  2.974352E-30  1.069615E-30  1.113984E-30  1.000000E-30  1.059092E-30  1.000000E-30  1.060272E-30
      5  6.425069294186E-15  1.317523E-29  1.214796E-29  1.779038E-30  1.376220E-30  1.000000E-30  1.155284E-30  1.000000E-30  1.156451E-30
      6  1.724777641531E-14  3.367773E-29  4.593327E-29  7.220799E-30  2.563555E-30  1.002111E-30  1.332612E-30  1.021980E-30  1.323810E-30
      7  4.527785414179E-14  7.307174E-29  1.404046E-28  3.252418E-29  7.977720E-30  1.218283E-30  1.636907E-30  1.165798E-30  1.517092E-30
      8  1.231582592127E-13  1.778425E-28  4.041295E-28  9.745954E-29  2.408529E-29  1.868651E-30  1.946484E-30  1.264573E-30  1.595855E-30
      9  4.001734798240E-13  5.248397E-28  1.279685E-27  3.029383E-28  8.368018E-29  3.793489E-30  2.144937E-30  1.271356E-30  1.597067E-30
     10  1.150918682670E-12  2.115207E-27  5.425666E-27  1.252182E-27  3.605774E-28  1.287640E-29  3.007317E-30  1.285671E-30  1.617493E-30
     11  2.802808442389E-12  1.410529E-27  3.518085E-27  7.963148E-28  2.287700E-28  8.653025E-30  2.609944E-30  1.259858E-30  1.565952E-30
     12  6.912921996243E-12  1.011245E-27  2.551277E-27  5.768973E-28  1.667186E-28  6.585544E-30  2.299608E-30  1.192162E-30  1.480023E-30
     13  1.659368270033E-11  8.527559E-29  2.206839E-28  5.095391E-29  1.571593E-29  1.090255E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.134012897413E-10  1.230893E-29  3.111968E-29  7.087768E-30  2.188603E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  5.116620E-30  1.288548E-29  2.922112E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.506573E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  1.496090518789E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  2.379765156362E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     27  3.772948503579E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     28  4.957278025650E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     29  5.758110286319E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     30  6.636115041812E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     31  7.490864585256E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     32  8.026631019591E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     33  8.451616658664E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     34  9.803471762980E-03  1.052827E-29  6.866366E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     35  1.116687552369E-02  1.880587E-28  1.378726E-28  3.949897E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     36  1.219012310682E-02  1.480548E-27  1.226163E-27  4.439114E-29  2.443155E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     37  1.314647137106E-02  9.132713E-27  8.408454E-27  3.206408E-28  2.074366E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     38  1.431720408173E-02  7.586775E-26  8.155600E-26  3.361407E-27  2.492474E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     39  1.545287753035E-02  5.056264E-25  6.164936E-25  2.703766E-26  2.231361E-27  7.050503E-30  1.000000E-30  1.000000E-30  1.000000E-30
     40  1.716820108076E-02  6.903341E-24  1.029670E-23  5.001572E-25  5.058072E-26  1.636829E-28  1.870039E-30  1.000000E-30  1.000000E-30
     41  1.871872199221E-02  7.318933E-23  1.459480E-22  8.053287E-24  9.926756E-25  3.298286E-27  4.645792E-29  1.000000E-30  1.000000E-30
     42  2.131412024987E-02  2.477507E-21  5.973073E-21  3.572158E-22  4.943483E-23  1.666602E-25  2.518394E-27  4.301867E-30  1.000000E-30
     43  2.288535686070E-02  1.913589E-20  8.992109E-20  6.897465E-21  1.516812E-21  5.421632E-24  1.060789E-25  2.154869E-28  1.975891E-30
     44  2.437102778700E-02  1.154125E-19  6.668693E-19  5.532480E-20  1.453284E-20  5.327115E-23  1.167650E-24  2.479457E-27  2.874963E-29
     45  2.666254430666E-02  1.995621E-18  1.916584E-17  1.865919E-18  6.230118E-19  2.374046E-21  5.932216E-23  1.331197E-25  1.727111E-27
     46  2.807329513827E-02  1.174870E-17  1.835501E-16  2.048082E-17  8.495885E-18  3.358310E-20  9.454021E-22  2.228293E-24  3.173548E-26
     47  2.946719119355E-02  6.339930E-17  1.453101E-15  1.808707E-16  8.920290E-17  3.646999E-19  1.144791E-20  2.828003E-23  4.422683E-25
     48  2.982466835475E-02  9.725800E-17  2.450725E-15  3.137686E-16  1.632296E-16  6.747573E-19  2.206649E-20  5.553003E-23  9.080256E-25
     49  3.017238950627E-02  1.473782E-16  4.080154E-15  5.368192E-16  2.907890E-16  1.212526E-18  4.074188E-20  1.037587E-22  1.737168E-24
     50  3.052509122072E-02  2.219087E-16  6.753162E-15  9.138334E-16  5.161453E-16  2.172100E-18  7.511499E-20  1.937565E-22  3.327077E-24
     51  3.066477686677E-02  2.601255E-16  8.211410E-15  1.123559E-15  6.450521E-16  2.724530E-18  9.529791E-20  2.470666E-22  4.285198E-24
     52  3.080037159611E-02  3.034572E-16  9.925735E-15  1.372874E-15  8.007922E-16  3.394453E-18  1.200574E-19  3.128019E-22  5.478670E-24
     53  3.111325257314E-02  4.305525E-16  1.526594E-14  2.164838E-15  1.309565E-15  5.597465E-18  2.031457E-19  5.354064E-22  9.592982E-24
     54  3.147800645819E-02  6.380385E-16  2.477172E-14  3.616544E-15  2.281606E-15  9.848468E-18  3.684038E-19  9.841960E-22  1.811123E-23
     55  3.181357346897E-02  9.026621E-16  3.797279E-14  5.694334E-15  3.732657E-15  1.625976E-17  6.255168E-19  1.692234E-21  3.192185E-23
     56  3.217197145871E-02  1.286849E-15  5.878097E-14  9.070999E-15  6.192532E-15  2.724286E-17  1.080121E-18  2.962021E-21  5.738743E-23
     57  3.249951277145E-02  1.754753E-15  8.617646E-14  1.365239E-14  9.670736E-15  4.293457E-17  1.750181E-18  4.860000E-21  9.650853E-23
     58  3.262595809504E-02  1.971461E-15  9.950073E-14  1.592405E-14  1.144138E-14  5.097603E-17  2.100465E-18  5.861094E-21  1.175060E-22
     59  3.272641576722E-02  2.162708E-15  1.115533E-13  1.799789E-14  1.307884E-14  5.843670E-17  2.428654E-18  6.803181E-21  1.374383E-22
     60  3.304841700500E-02  2.889772E-15  1.596107E-13  2.642927E-14  1.991593E-14  8.980179E-17  3.836938E-18  1.088324E-20  2.253434E-22
     61  3.362823507679E-02  4.749922E-15  2.953560E-13  5.125754E-14  4.122851E-14  1.890224E-16  8.492560E-18  2.464220E-20  5.336038E-22
     62  3.417743618412E-02  7.418503E-15  5.138878E-13  9.327582E-14  7.982375E-14  3.719024E-16  1.753622E-17  5.200834E-20  1.175840E-21
     63  3.448472684867E-02  9.436084E-15  6.932825E-13  1.290563E-13  1.143555E-13  5.376663E-16  2.605509E-17  7.823626E-20  1.812653E-21
     64  3.459225947862E-02  1.025758E-14  7.692213E-13  1.444659E-13  1.295795E-13  6.111981E-16  2.990367E-17  9.018294E-20  2.107447E-21
     65  3.468161085917E-02  1.099481E-14  8.386634E-13  1.586731E-13  1.437755E-13  6.799690E-16  3.353527E-17  1.015014E-19  2.388973E-21
     66  3.501586344154E-02  1.420776E-14  1.154350E-12  2.245291E-13  2.113451E-13  1.009624E-15  5.131232E-17  1.574338E-19  3.806522E-21
     67  3.563385967804E-02  2.253091E-14  2.051894E-12  4.201693E-13  4.244164E-13  2.065917E-15  1.110438E-16  3.494453E-19  8.884441E-21
     68  3.619390900501E-02  3.378318E-14  3.403543E-12  7.305636E-13  7.870864E-13  3.898220E-15  2.206026E-16  7.105909E-19  1.892161E-20
     69  3.661379630041E-02  4.547187E-14  4.933900E-12  1.097358E-12  1.241101E-12  6.228131E-15  3.664638E-16  1.201442E-18  3.313396E-20
     70  3.704099468238E-02  6.123757E-14  7.156797E-12  1.650723E-12  1.962062E-12  9.979956E-15  6.111784E-16  2.040306E-18  5.833080E-20
     71  3.731378163516E-02  7.371942E-14  9.024107E-12  2.130567E-12  2.614322E-12  1.341384E-14  8.428662E-16  2.846672E-18  8.329127E-20
     72  3.757630769329E-02  8.777532E-14  1.122352E-11  2.710213E-12  3.429192E-12  1.774364E-14  1.142982E-15  3.903911E-18  1.168120E-19
     73  3.788075418501E-02  1.068633E-13  1.435284E-11  3.557922E-12  4.665164E-12  2.437737E-14  1.616441E-15  5.593837E-18  1.718057E-19
     74  3.819794660071E-02  1.302337E-13  1.837700E-11  4.682058E-12  6.371877E-12  3.364081E-14  2.299383E-15  8.067168E-18  2.546436E-19
     75  3.838080203158E-02  1.454344E-13  2.109396E-11  5.460091E-12  7.592020E-12  4.032295E-14  2.804915E-15  9.919239E-18  3.181043E-19
     76  3.859219912978E-02  1.648798E-13  2.467013E-11  6.504154E-12  9.272013E-12  4.958884E-14  3.520481E-15  1.256499E-17  4.104309E-19
     77  3.884096228080E-02  1.901374E-13  2.946631E-11  7.938809E-12  1.165447E-11  6.284464E-14  4.570257E-15  1.649025E-17  5.504811E-19
     78  3.907668434759E-02  2.164617E-13  3.462375E-11  9.522294E-12  1.437393E-11  7.811745E-14  5.812523E-15  2.119081E-17  7.221755E-19
     79  3.934936577490E-02  2.497911E-13  4.135052E-11  1.164697E-11  1.815731E-11  9.958073E-14  7.609253E-15  2.807684E-17  9.801163E-19
     80  3.961640452516E-02  2.853365E-13  4.872255E-11  1.404867E-11  2.260456E-11  1.250868E-13  9.811505E-15  3.663355E-17  1.309400E-18
     81  3.991996766101E-02  3.290222E-13  5.799265E-11  1.717392E-11  2.864400E-11  1.601402E-13  1.294169E-14  4.897800E-17  1.798533E-18
     82  4.019473378510E-02  3.712654E-13  6.709752E-11  2.035710E-11  3.507530E-11  1.979343E-13  1.643605E-14  6.297105E-17  2.369835E-18
     83  4.046928694587E-02  4.158411E-13  7.676336E-11  2.386105E-11  4.247194E-11  2.419327E-13  2.064427E-14  8.007451E-17  3.088668E-18
     84  4.074955599116E-02  4.631002E-13  8.695270E-11  2.770648E-11  5.098182E-11  2.932169E-13  2.572874E-14  1.010645E-16  3.998016E-18
     85  4.099011663524E-02  5.043450E-13  9.566901E-11  3.113975E-11  5.895308E-11  3.418913E-13  3.072993E-14  1.220304E-16  4.933623E-18
     86  4.118445936105E-02  5.376840E-13  1.024968E-10  3.394107E-11  6.574747E-11  3.838735E-13  3.518220E-14  1.409485E-16  5.799877E-18
     87  4.137235583218E-02  5.695905E-13  1.087567E-10  3.661792E-11  7.251946E-11  4.261915E-13  3.980518E-14  1.608389E-16  6.732490E-18
     88  4.152714488067E-02  5.954199E-13  1.135568E-10  3.876133E-11  7.817222E-11  4.619035E-13  4.381828E-14  1.783095E-16  7.569920E-18
