 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ar31          ar32          ar33          ar34          ar35          ar36          ar37          ar38 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000011E-30  1.016069E-30  1.026325E-30  1.029141E-30  1.205931E-30  1.158550E-30  1.160267E-30
      3  6.264265632874E-16  1.000000E-30  1.000043E-30  1.057497E-30  1.129077E-30  1.164755E-30  2.192251E-30  2.040856E-30  2.224021E-30
      4  2.206990590178E-15  1.000023E-30  1.000000E-30  1.070437E-30  1.190337E-30  1.275618E-30  3.993385E-30  4.222130E-30  6.769889E-30
      5  6.425069294186E-15  1.000030E-30  1.000000E-30  1.071314E-30  1.194877E-30  1.279995E-30  4.892094E-30  6.126737E-30  1.937995E-29
      6  1.724777641531E-14  1.000429E-30  1.003247E-30  1.071209E-30  1.193411E-30  1.281673E-30  5.007950E-30  6.857083E-30  4.043828E-29
      7  4.527785414179E-14  1.000000E-30  1.000000E-30  1.101978E-30  1.257028E-30  1.293426E-30  5.379578E-30  8.363196E-30  6.155128E-29
      8  1.231582592127E-13  1.108728E-30  1.000000E-30  1.000000E-30  1.009770E-30  1.172730E-30  4.742479E-30  9.379574E-30  8.688296E-29
      9  4.001734798240E-13  1.028834E-30  1.421629E-30  1.463581E-30  1.457659E-30  1.398404E-30  7.098738E-30  1.932406E-29  2.241669E-28
     10  1.150918682670E-12  1.000000E-30  1.000000E-30  1.091067E-30  1.451345E-30  1.533558E-30  1.054547E-29  5.524020E-29  7.351495E-28
     11  2.802808442389E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  6.597520E-30  3.462792E-29  4.603356E-28
     12  6.912921996243E-12  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.790280E-30  2.378202E-29  3.209359E-28
     13  1.659368270033E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.949540E-30  2.681974E-29
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.736500E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.545972E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
