 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ca41          ca42          ca43          ca44          ca45          ca46          ca47          ca48 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.217553E-30  1.178854E-30  1.105217E-30  1.051677E-30  1.006984E-30  1.008077E-30  1.000000E-30  1.006976E-30
      3  6.264265632874E-16  2.389400E-30  2.315487E-30  1.942979E-30  1.412045E-30  1.064855E-30  1.051478E-30  1.000000E-30  1.043407E-30
      4  2.206990590178E-15  4.812723E-30  6.347973E-30  6.259271E-30  3.678783E-30  1.573761E-30  1.215024E-30  1.000000E-30  1.150019E-30
      5  6.425069294186E-15  6.399034E-30  1.565194E-29  2.028191E-29  1.472007E-29  5.612037E-30  2.244850E-30  1.018831E-30  1.419692E-30
      6  1.724777641531E-14  6.892126E-30  3.043603E-29  5.088773E-29  4.871434E-29  2.621684E-29  1.001901E-29  2.172818E-30  2.121154E-30
      7  4.527785414179E-14  7.726985E-30  4.746032E-29  1.029675E-28  1.419391E-28  9.436024E-29  4.994686E-29  1.200197E-29  5.214628E-30
      8  1.231582592127E-13  7.831670E-30  8.144413E-29  2.325748E-28  4.250693E-28  3.042243E-28  2.225749E-28  6.501249E-29  2.769331E-29
      9  4.001734798240E-13  1.591140E-29  2.846079E-28  1.005059E-27  2.173572E-27  1.680654E-27  1.487268E-27  4.561677E-28  2.158900E-28
     10  1.150918682670E-12  3.730097E-29  9.792402E-28  3.643475E-27  7.933367E-27  5.899377E-27  5.388847E-27  1.549806E-27  7.362809E-28
     11  2.802808442389E-12  2.313297E-29  6.086821E-28  2.262011E-27  4.929679E-27  3.670414E-27  3.353691E-27  9.687321E-28  4.621347E-28
     12  6.912921996243E-12  1.533020E-29  4.225341E-28  1.574202E-27  3.418253E-27  2.518118E-27  2.303774E-27  6.577280E-28  3.147033E-28
     13  1.659368270033E-11  1.176438E-30  3.511879E-29  1.312091E-28  2.824078E-28  2.035271E-28  1.866956E-28  5.230634E-29  2.653283E-29
     14  1.134012897413E-10  1.000000E-30  4.978217E-30  1.876177E-29  4.089326E-29  3.014831E-29  2.778334E-29  7.982732E-30  4.061803E-30
     15  1.081477360150E-09  1.000000E-30  2.068101E-30  7.801367E-30  1.701262E-29  1.253874E-29  1.155048E-29  3.312592E-30  1.668232E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  2.011831E-30  1.481569E-30  1.359868E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
