 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                sc57          sc58          sc59          sc60          sc61          sc62          sc63          sc64 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.001655E-30  1.000000E-30  1.000095E-30  1.000000E-30  1.002702E-30  1.000000E-30  1.000000E-30
      3  6.264265632874E-16  1.000000E-30  1.010197E-30  1.000000E-30  1.000588E-30  1.000000E-30  1.016840E-30  1.000000E-30  1.000000E-30
      4  2.206990590178E-15  1.000000E-30  1.034187E-30  1.000000E-30  1.001979E-30  1.000000E-30  1.058427E-30  1.000000E-30  1.000000E-30
      5  6.425069294186E-15  1.000000E-30  1.087536E-30  1.000000E-30  1.005140E-30  1.000000E-30  1.163346E-30  1.000000E-30  1.000000E-30
      6  1.724777641531E-14  1.000000E-30  1.173686E-30  1.000000E-30  1.010547E-30  1.000000E-30  1.396311E-30  1.000000E-30  1.000000E-30
      7  4.527785414179E-14  1.037576E-30  1.245815E-30  1.000024E-30  1.016430E-30  1.000000E-30  1.814382E-30  1.000000E-30  1.000000E-30
      8  1.231582592127E-13  1.102253E-30  1.260129E-30  1.000000E-30  1.017085E-30  1.000000E-30  2.264806E-30  1.000000E-30  1.000000E-30
      9  4.001734798240E-13  1.111026E-30  1.259627E-30  1.000000E-30  1.017186E-30  1.000126E-30  2.391763E-30  1.000069E-30  1.000000E-30
     10  1.150918682670E-12  1.114234E-30  1.254058E-30  1.000000E-30  1.018868E-30  1.000000E-30  2.387194E-30  1.000000E-30  1.000228E-30
     11  2.802808442389E-12  1.146153E-30  1.330869E-30  1.045103E-30  1.030548E-30  1.000000E-30  2.365449E-30  1.000000E-30  1.000000E-30
     12  6.912921996243E-12  1.069211E-30  1.210295E-30  1.000000E-30  1.000000E-30  1.085460E-30  2.567478E-30  1.058383E-30  1.000000E-30
     13  1.659368270033E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  1.496090518789E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  2.379765156362E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     27  3.772948503579E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     28  4.957278025650E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     29  5.758110286319E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     30  6.636115041812E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
