 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ti46          ti47          ti48          ti49          ti50          ti51          ti52          ti53 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.267296E-30  1.142035E-30  1.084518E-30  1.013591E-30  1.015098E-30  1.000000E-30  1.002692E-30  1.000059E-30
      3  6.264265632874E-16  2.874505E-30  2.329800E-30  1.798396E-30  1.154128E-30  1.103947E-30  1.000000E-30  1.016653E-30  1.000507E-30
      4  2.206990590178E-15  7.512968E-30  7.731020E-30  6.207532E-30  2.451603E-30  1.597623E-30  1.000000E-30  1.056617E-30  1.003105E-30
      5  6.425069294186E-15  1.478035E-29  2.119533E-29  2.316295E-29  1.089836E-29  5.774969E-30  1.172431E-30  1.155578E-30  1.016876E-30
      6  1.724777641531E-14  2.056086E-29  4.119330E-29  6.996866E-29  4.282851E-29  3.279527E-29  3.396553E-30  1.445911E-30  1.072500E-30
      7  4.527785414179E-14  2.171165E-29  6.268969E-29  1.884009E-28  1.222713E-28  1.434994E-28  1.649049E-29  2.790153E-30  1.230274E-30
      8  1.231582592127E-13  3.220702E-29  1.348479E-28  5.788792E-28  3.949672E-28  6.121170E-28  7.615623E-29  9.885904E-30  1.920756E-30
      9  4.001734798240E-13  8.757088E-29  5.824680E-28  2.942657E-27  2.028801E-27  3.409557E-27  4.105750E-28  4.803527E-29  4.916820E-30
     10  1.150918682670E-12  2.045783E-28  1.566524E-27  7.733538E-27  5.069973E-27  8.380488E-27  9.574225E-28  1.063927E-28  9.192461E-30
     11  2.802808442389E-12  1.279481E-28  9.840548E-28  4.906949E-27  3.238787E-27  5.381333E-27  6.205799E-28  7.018490E-29  6.533265E-30
     12  6.912921996243E-12  8.229813E-29  6.454310E-28  3.185559E-27  2.080746E-27  3.434543E-27  3.926707E-28  4.484564E-29  4.559369E-30
     13  1.659368270033E-11  5.844191E-30  4.714028E-29  2.266194E-28  1.453932E-28  2.377877E-28  2.733596E-29  4.177648E-30  1.114098E-30
     14  1.134012897413E-10  1.000000E-30  7.525992E-30  3.735110E-29  2.446124E-29  4.067168E-29  4.755781E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  3.129720E-30  1.553117E-29  1.016068E-29  1.687931E-29  1.965435E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.836059E-30  1.201322E-30  1.991937E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
