 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                v50           v51           v52           v53           v54           v55           v56           v57  
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.037677E-30  1.038886E-30  1.000000E-30  1.004656E-30  1.000000E-30  1.003653E-30  1.000000E-30  1.001047E-30
      3  6.264265632874E-16  1.452380E-30  1.351078E-30  1.000000E-30  1.029201E-30  1.000000E-30  1.022507E-30  1.000000E-30  1.006500E-30
      4  2.206990590178E-15  4.375051E-30  3.543282E-30  1.059977E-30  1.107633E-30  1.000000E-30  1.075462E-30  1.000000E-30  1.022289E-30
      5  6.425069294186E-15  1.594418E-29  1.573017E-29  2.350126E-30  1.429802E-30  1.000000E-30  1.193512E-30  1.000000E-30  1.060352E-30
      6  1.724777641531E-14  3.837131E-29  6.019148E-29  1.059575E-29  3.606657E-30  1.147249E-30  1.394378E-30  1.000000E-30  1.135512E-30
      7  4.527785414179E-14  6.901806E-29  1.917577E-28  4.095872E-29  1.856545E-29  2.509464E-30  1.720138E-30  1.000369E-30  1.264343E-30
      8  1.231582592127E-13  1.818959E-28  7.007852E-28  1.623991E-28  1.041153E-28  1.045987E-29  3.131770E-30  1.116271E-30  1.372022E-30
      9  4.001734798240E-13  8.363647E-28  3.488756E-27  7.850901E-28  5.698094E-28  4.698180E-29  8.704436E-30  1.262909E-30  1.416016E-30
     10  1.150918682670E-12  1.885955E-27  7.832787E-27  1.687746E-27  1.253642E-27  9.396846E-29  1.541684E-29  1.388209E-30  1.417812E-30
     11  2.802808442389E-12  1.216845E-27  5.088532E-27  1.105426E-27  8.224604E-28  6.297636E-29  1.092686E-29  1.323426E-30  1.443824E-30
     12  6.912921996243E-12  7.663437E-28  3.196607E-27  6.883538E-28  5.142089E-28  3.920989E-29  7.262333E-30  1.143474E-30  1.289137E-30
     13  1.659368270033E-11  5.153785E-29  2.147259E-28  4.608034E-29  3.600159E-29  3.488571E-30  1.687494E-30  1.000000E-30  1.033513E-30
     14  1.134012897413E-10  8.934528E-30  3.764553E-29  8.189826E-30  6.390406E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  3.704528E-30  1.560867E-29  3.389831E-30  2.631238E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.844397E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
