 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                fe60          fe61          fe62          fe63          fe64          fe65          fe66          fe67 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.002767E-30  1.000353E-30  1.000424E-30  1.000793E-30  1.000000E-30  1.002163E-30  1.000000E-30  1.000000E-30
      3  6.264265632874E-16  1.017404E-30  1.002291E-30  1.002696E-30  1.004907E-30  1.000000E-30  1.013325E-30  1.000000E-30  1.000000E-30
      4  2.206990590178E-15  1.066775E-30  1.009154E-30  1.009868E-30  1.016678E-30  1.000000E-30  1.044664E-30  1.000000E-30  1.000000E-30
      5  6.425069294186E-15  1.339686E-30  1.044325E-30  1.031444E-30  1.044102E-30  1.000000E-30  1.114322E-30  1.000000E-30  1.000000E-30
      6  1.724777641531E-14  3.724358E-30  1.377492E-30  1.107828E-30  1.095246E-30  1.011203E-30  1.226833E-30  1.000000E-30  1.000000E-30
      7  4.527785414179E-14  1.950191E-29  4.164518E-30  1.498183E-30  1.219054E-30  1.096820E-30  1.322637E-30  1.000000E-30  1.000001E-30
      8  1.231582592127E-13  9.533146E-29  1.886594E-29  3.255474E-30  1.444064E-30  1.147953E-30  1.345981E-30  1.000000E-30  1.000003E-30
      9  4.001734798240E-13  3.593137E-28  6.782269E-29  8.627671E-30  1.905642E-30  1.170496E-30  1.346455E-30  1.000000E-30  1.000000E-30
     10  1.150918682670E-12  6.143970E-28  1.117942E-28  1.313980E-29  2.283323E-30  1.191168E-30  1.349405E-30  1.000000E-30  1.000219E-30
     11  2.802808442389E-12  4.212116E-28  7.761633E-29  9.525493E-30  1.953999E-30  1.151135E-30  1.335722E-30  1.000000E-30  1.008581E-30
     12  6.912921996243E-12  2.540274E-28  4.716702E-29  6.326397E-30  1.748014E-30  1.211932E-30  1.384254E-30  1.042156E-30  1.023651E-30
     13  1.659368270033E-11  1.761115E-29  4.144167E-30  1.517363E-30  1.185935E-30  1.000000E-30  1.123874E-30  1.000000E-30  1.000000E-30
     14  1.134012897413E-10  3.392101E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.391569E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  1.496090518789E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  2.379765156362E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     27  3.772948503579E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     28  4.957278025650E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     29  5.758110286319E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     30  6.636115041812E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     31  7.490864585256E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     32  8.026631019591E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     33  8.451616658664E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     34  9.803471762980E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     35  1.116687552369E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     36  1.219012310682E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     37  1.314647137106E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     38  1.431720408173E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     39  1.545287753035E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     40  1.716820108076E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     41  1.871872199221E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  2.131412024987E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  2.288535686070E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  2.437102778700E-02  1.039502E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  2.666254430666E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  2.807329513827E-02  2.689709E-27  1.254556E-28  4.817218E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  2.946719119355E-02  9.166583E-26  5.671910E-27  6.857798E-28  2.613752E-29  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  2.982466835475E-02  6.361681E-25  4.836721E-26  6.354341E-27  2.265781E-28  6.224089E-30  1.000000E-30  1.000000E-30  1.000000E-30
     49  3.017238950627E-02  1.691751E-24  1.330892E-25  1.867070E-26  6.886608E-28  2.014096E-29  1.000000E-30  1.000000E-30  1.000000E-30
     50  3.052509122072E-02  4.373822E-24  3.523111E-25  5.140506E-26  1.931741E-27  5.828340E-29  1.195732E-30  1.000000E-30  1.000000E-30
     51  3.066477686677E-02  6.356936E-24  5.168963E-25  7.661435E-26  2.900691E-27  8.862271E-29  1.841151E-30  1.000000E-30  1.000000E-30
     52  3.080037159611E-02  9.154642E-24  7.512749E-25  1.130795E-25  4.312718E-27  1.333890E-28  2.793284E-30  1.000000E-30  1.000000E-30
     53  3.111325257314E-02  2.119383E-23  1.776806E-24  2.771352E-25  1.075009E-26  3.420740E-28  7.296388E-30  1.000000E-30  1.000000E-30
     54  3.147800645819E-02  5.581079E-23  4.797423E-24  7.801233E-25  3.086679E-26  1.015469E-27  2.213057E-29  1.000000E-30  1.000000E-30
     55  3.181357346897E-02  1.344340E-22  1.182646E-23  1.998821E-24  8.055179E-26  2.733248E-27  6.076303E-29  1.729695E-30  1.000000E-30
