 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                co61          co62          co63          co64          co65          co66          co67          co68 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.006241E-30  1.002255E-30  1.002639E-30  1.000000E-30  1.003020E-30  1.000000E-30  1.002976E-30  1.000000E-30
      3  6.264265632874E-16  1.048084E-30  1.015616E-30  1.016347E-30  1.000000E-30  1.018607E-30  1.000000E-30  1.018231E-30  1.000000E-30
      4  2.206990590178E-15  1.341179E-30  1.087454E-30  1.057460E-30  1.000000E-30  1.062422E-30  1.000000E-30  1.060135E-30  1.000000E-30
      5  6.425069294186E-15  3.936895E-30  1.796098E-30  1.211079E-30  1.000000E-30  1.160456E-30  1.001970E-30  1.147941E-30  1.000000E-30
      6  1.724777641531E-14  2.100243E-29  7.763749E-30  2.272216E-30  1.040654E-30  1.349527E-30  1.061324E-30  1.270590E-30  1.000000E-30
      7  4.527785414179E-14  1.020910E-28  3.960726E-29  9.305972E-30  1.979659E-30  1.754079E-30  1.180475E-30  1.345617E-30  1.000000E-30
      8  1.231582592127E-13  4.328171E-28  1.683601E-28  3.985226E-29  6.017380E-30  2.607963E-30  1.240241E-30  1.356451E-30  1.000000E-30
      9  4.001734798240E-13  1.494398E-27  5.597328E-28  1.328784E-28  1.783278E-29  4.884832E-30  1.348837E-30  1.367261E-30  1.000847E-30
     10  1.150918682670E-12  2.431129E-27  8.692598E-28  2.058809E-28  2.638321E-29  6.526768E-30  1.415362E-30  1.368252E-30  1.003312E-30
     11  2.802808442389E-12  1.676651E-27  6.063297E-28  1.441388E-28  1.891067E-29  5.076139E-30  1.347234E-30  1.347593E-30  1.000000E-30
     12  6.912921996243E-12  1.001826E-27  3.611796E-28  8.655950E-29  1.186396E-29  3.920977E-30  1.397000E-30  1.490853E-30  1.106331E-30
     13  1.659368270033E-11  6.416459E-29  2.385551E-29  6.631061E-30  1.666092E-30  1.574521E-30  1.000000E-30  1.056510E-30  1.000000E-30
     14  1.134012897413E-10  1.259106E-29  4.741812E-30  1.289602E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  5.207827E-30  1.955344E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  1.496090518789E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  2.379765156362E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     27  3.772948503579E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     28  4.957278025650E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     29  5.758110286319E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     30  6.636115041812E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     31  7.490864585256E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     32  8.026631019591E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     33  8.451616658664E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     34  9.803471762980E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     35  1.116687552369E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     36  1.219012310682E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     37  1.314647137106E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     38  1.431720408173E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     39  1.545287753035E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     40  1.716820108076E-02  1.193048E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     41  1.871872199221E-02  1.240237E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     42  2.131412024987E-02  2.828077E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     43  2.288535686070E-02  1.938440E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     44  2.437102778700E-02  2.009434E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     45  2.666254430666E-02  6.098019E-30  1.693844E-30  1.056102E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     46  2.807329513827E-02  1.906226E-28  2.867541E-29  7.228888E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     47  2.946719119355E-02  2.526001E-27  2.288867E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     48  2.982466835475E-02  1.513119E-26  3.894921E-27  2.123178E-27  1.565424E-28  2.679432E-29  1.000000E-30  1.000000E-30  1.000000E-30
     49  3.017238950627E-02  3.367145E-26  8.887986E-27  5.082618E-27  3.897159E-28  7.136051E-29  2.180975E-30  1.000000E-30  1.000000E-30
     50  3.052509122072E-02  7.920363E-26  2.157105E-26  1.286230E-26  1.013819E-27  1.924383E-28  6.081220E-30  1.000000E-30  1.000000E-30
     51  3.066477686677E-02  1.108692E-25  3.056646E-26  1.852870E-26  1.476524E-27  2.843647E-28  9.062994E-30  1.000000E-30  1.000000E-30
     52  3.080037159611E-02  1.539107E-25  4.294529E-26  2.645689E-26  2.131064E-27  4.163046E-28  1.338035E-29  1.000000E-30  1.000000E-30
     53  3.111325257314E-02  3.277800E-25  9.403770E-26  6.014252E-26  4.966246E-27  1.002656E-27  3.286017E-29  2.070135E-30  1.000000E-30
     54  3.147800645819E-02  7.860718E-25  2.329489E-25  1.556229E-25  1.322811E-26  2.775391E-27  9.304782E-29  6.077160E-30  1.000000E-30
     55  3.181357346897E-02  1.744318E-24  5.325812E-25  3.703534E-25  3.233213E-26  7.028837E-27  2.406392E-28  1.625595E-29  1.000000E-30
     56  3.217197145871E-02  4.053108E-24  1.277595E-24  9.272546E-25  8.329163E-26  1.880771E-26  6.584662E-28  4.611544E-29  1.000000E-30
     57  3.249951277145E-02  8.694158E-24  2.821624E-24  2.129574E-24  1.963581E-25  4.591187E-26  1.640746E-27  1.187918E-28  2.610712E-30
     58  3.262595809504E-02  1.164845E-23  3.822860E-24  2.928694E-24  2.727538E-25  6.463023E-26  2.327864E-27  1.706943E-28  3.779471E-30
     59  3.272641576722E-02  1.471327E-23  4.872126E-24  3.777600E-24  3.546467E-25  8.493949E-26  3.078681E-27  2.280639E-28  5.079816E-30
     60  3.304841700500E-02  3.101714E-23  1.057064E-23  8.517767E-24  8.205299E-25  2.033969E-25  7.522680E-27  5.758365E-28  1.307262E-29
     61  3.362823507679E-02  1.172906E-22  4.211496E-23  3.640552E-23  3.676708E-24  9.713369E-25  3.729954E-26  3.036995E-27  7.147190E-29
     62  3.417743618412E-02  4.087421E-22  1.540434E-22  1.420072E-22  1.497273E-23  4.188791E-24  1.663120E-25  1.429428E-26  3.470166E-28
     63  3.448472684867E-02  8.213947E-22  3.182764E-22  3.044960E-22  3.291612E-23  9.521828E-24  3.855128E-25  3.420893E-26  8.458446E-28
     64  3.459225947862E-02  1.047788E-21  4.099055E-22  3.972064E-22  4.330907E-23  1.267395E-23  5.166122E-25  4.635397E-26  1.153482E-27
     65  3.468161085917E-02  1.283780E-21  5.062733E-22  4.958768E-22  5.445862E-23  1.609191E-23  6.596545E-25  5.974125E-26  1.494570E-27
     66  3.501586344154E-02  2.744744E-21  1.115490E-21  1.137402E-21  1.283346E-22  3.932480E-23  1.646561E-24  1.544061E-25  3.940754E-27
     67  3.563385967804E-02  1.117932E-20  4.809210E-21  5.293478E-21  6.289568E-22  2.067551E-22  9.020242E-24  9.058212E-25  2.404588E-26
     68  3.619390900501E-02  3.967850E-20  1.793766E-20  2.108790E-20  2.618695E-21  9.133122E-22  4.123226E-23  4.379671E-24  1.200194E-25
     69  3.661379630041E-02  1.029540E-19  4.835320E-20  5.982090E-20  7.688320E-21  2.809342E-21  1.303070E-22  1.447866E-23  4.070564E-25
     70  3.704099468238E-02  2.722467E-19  1.329310E-19  1.732217E-19  2.305343E-20  8.831631E-21  4.209932E-22  4.895387E-23  1.412163E-24
     71  3.731378163516E-02  5.061546E-19  2.533666E-19  3.412971E-19  4.644454E-20  1.833623E-20  8.893464E-22  1.064280E-22  3.120074E-24
     72  3.757630769329E-02  9.178828E-19  4.706894E-19  6.548670E-19  9.107590E-20  3.703704E-20  1.827353E-21  2.250230E-22  6.704092E-24
     73  3.788075418501E-02  1.825134E-18  9.624477E-19  1.390068E-18  1.982499E-19  8.342880E-20  4.198323E-21  5.343524E-22  1.621860E-23
     74  3.819794660071E-02  3.720709E-18  2.020088E-18  3.033773E-18  4.441894E-19  1.937385E-19  9.952418E-21  1.311259E-21  4.057913E-23
     75  3.838080203158E-02  5.596307E-18  3.089792E-18  4.745660E-18  7.054166E-19  3.140850E-19  1.632722E-20  2.194438E-21  6.867359E-23
     76  3.859219912978E-02  8.977483E-18  5.054203E-18  7.968569E-18  1.205498E-18  5.497880E-19  2.897704E-20  3.986008E-21  1.263703E-22
     77  3.884096228080E-02  1.560847E-17  8.991658E-18  1.462047E-17  2.258143E-18  1.059460E-18  5.675575E-20  8.023879E-21  2.583094E-22
     78  3.907668434759E-02  2.626995E-17  1.546684E-17  2.589570E-17  4.079038E-18  1.965950E-18  1.069550E-19  1.551918E-20  5.069101E-22
     79  3.934936577490E-02  4.777265E-17  2.884672E-17  4.996520E-17  8.052089E-18  4.003989E-18  2.217690E-19  3.316580E-20  1.101714E-21
     80  3.961640452516E-02  8.538915E-17  5.285397E-17  9.464808E-17  1.559816E-17  7.997992E-18  4.508373E-19  6.945436E-20  2.345601E-21
     81  3.991996766101E-02  1.642983E-16  1.046092E-16  1.945820E-16  3.289653E-17  1.746903E-17  1.004640E-18  1.601064E-19  5.509897E-21
     82  4.019473378510E-02  2.953997E-16  1.929546E-16  3.714902E-16  6.427537E-17  3.523463E-17  2.063491E-18  3.391321E-19  1.187194E-20
     83  4.046928694587E-02  5.286789E-16  3.542745E-16  7.059851E-16  1.250059E-16  7.073791E-17  4.218485E-18  7.149322E-19  2.545682E-20
     84  4.074955599116E-02  9.533624E-16  6.558528E-16  1.354136E-15  2.455428E-16  1.435755E-16  8.723682E-18  1.526158E-18  5.530523E-20
     85  4.099011663524E-02  1.573480E-15  1.107153E-15  2.356743E-15  4.361752E-16  2.623420E-16  1.619828E-17  2.912401E-18  1.071473E-19
     86  4.118445936105E-02  2.350039E-15  1.683966E-15  3.673996E-15  6.912859E-16  4.253600E-16  2.660647E-17  4.890497E-18  1.821243E-19
     87  4.137235583218E-02  3.453412E-15  2.518702E-15  5.628141E-15  1.076067E-15  6.769287E-16  4.287808E-17  8.052091E-18  3.034246E-19
     88  4.152714488067E-02  4.731220E-15  3.501256E-15  7.979481E-15  1.545907E-15  9.903971E-16  6.338758E-17  1.211590E-17  4.610237E-19
     89  4.165981986900E-02  6.187150E-15  4.636273E-15  1.074670E-14  2.105755E-15  1.370382E-15  8.849184E-17  1.717328E-17  6.589452E-19
     90  4.188596337322E-02  9.743468E-15  7.458812E-15  1.779744E-14  3.555580E-15  2.376801E-15  1.558353E-16  3.103886E-17  1.208102E-18
     91  4.208159634323E-02  1.438839E-14  1.122019E-14  2.745292E-14  5.577407E-15  3.816025E-15  2.535190E-16  5.164654E-17  2.035222E-18
     92  4.230932596557E-02  2.259759E-14  1.800661E-14  4.536982E-14  9.399962E-15  6.608580E-15  4.458549E-16  9.325390E-17  3.728268E-18
     93  4.251598135750E-02  3.398532E-14  2.761785E-14  7.147040E-14  1.507384E-14  1.086288E-14  7.432015E-16  1.592182E-16  6.449562E-18
     94  4.274368410830E-02  5.318620E-14  4.417022E-14  1.177347E-13  2.532542E-14  1.875681E-14  1.303274E-15  2.867082E-16  1.178341E-17
     95  4.294191711445E-02  7.846901E-14  6.641402E-14  1.816527E-13  3.975128E-14  3.015221E-14  2.123478E-15  4.780782E-16  1.989812E-17
     96  4.316569238790E-02  1.216714E-13  1.052161E-13  2.963301E-13  6.611990E-14  5.152906E-14  3.684752E-15  8.516254E-16  3.595573E-17
     97  4.339365876136E-02  1.902553E-13  1.681830E-13  4.880826E-13  1.110934E-13  8.901089E-14  6.465164E-15  1.534937E-15  6.576015E-17
     98  4.362382833621E-02  2.989662E-13  2.702413E-13  8.084621E-13  1.877566E-13  1.547158E-13  1.141633E-14  2.785133E-15  1.210976E-16
     99  4.384703699487E-02  4.637947E-13  4.284420E-13  1.320258E-12  3.126765E-13  2.647871E-13  1.984056E-14  4.970132E-15  2.192277E-16
    100  4.408801045744E-02  7.456460E-13  7.052492E-13  2.244221E-12  5.428881E-13  4.735575E-13  3.607836E-14  9.300783E-15  4.166755E-16
    101  4.430336182063E-02  1.140786E-12  1.102082E-12  3.609759E-12  8.899677E-13  7.972163E-13  6.164744E-14  1.630669E-14  7.407827E-16
    102  4.453208602613E-02  1.790563E-12  1.769400E-12  5.977035E-12  1.503750E-12  1.385757E-12  1.088710E-13  2.959938E-14  1.364725E-15
    103  4.474836808964E-02  2.733901E-12  2.760289E-12  9.601449E-12  2.462429E-12  2.331073E-12  1.859127E-13  5.187901E-14  2.425809E-15
    104  4.497736119052E-02  4.254278E-12  4.394748E-12  1.577074E-11  4.127934E-12  4.021043E-12  3.258523E-13  9.348068E-14  4.436706E-15
    105  4.517199675598E-02  6.150310E-12  6.478701E-12  2.387562E-11  6.358827E-12  6.346923E-12  5.213678E-13  1.531390E-13  7.360946E-15
    106  4.536038532241E-02  8.710515E-12  9.351456E-12  3.536447E-11  9.578728E-12  9.789687E-12  8.148429E-13  2.448847E-13  1.191667E-14
    107  4.552484255766E-02  1.170143E-11  1.277311E-11  4.940939E-11  1.358156E-11  1.417096E-11  1.193185E-12  3.658428E-13  1.799524E-14
    108  4.581275722245E-02  1.916581E-11  2.154279E-11  8.671788E-11  2.446236E-11  2.647024E-11  2.274345E-12  7.223301E-13  3.620735E-14
    109  4.603616864208E-02  2.746207E-11  3.157959E-11  1.311195E-10  3.773965E-11  4.201053E-11  3.666843E-12  1.196985E-12  6.088836E-14
    110  4.624194314299E-02  3.752852E-11  4.407508E-11  1.883253E-10  5.522193E-11  6.310168E-11  5.588332E-12  1.871044E-12  9.647482E-14
    111  4.641297951594E-02  4.797150E-11  5.733897E-11  2.509257E-10  7.472549E-11  8.727068E-11  7.822750E-12  2.675030E-12  1.394941E-13
    112  4.656990459822E-02  5.942592E-11  7.218855E-11  3.229340E-10  9.754756E-11  1.162324E-10  1.053524E-11  3.673213E-12  1.935414E-13
    113  4.671253119976E-02  7.154952E-11  8.820632E-11  4.025720E-10  1.231887E-10  1.494907E-10  1.368750E-11  4.857414E-12  2.583621E-13
    114  4.684580987606E-02  8.447883E-11  1.055929E-10  4.910470E-10  1.520948E-10  1.877516E-10  1.735420E-11  6.261455E-12  3.359939E-13
    115  4.697520204195E-02  9.862106E-11  1.249359E-10  5.916936E-10  1.854409E-10  2.327541E-10  2.171273E-11  7.961191E-12  4.308832E-13
    116  4.709649788536E-02  1.133971E-10  1.454771E-10  7.008770E-10  2.221026E-10  2.831560E-10  2.664364E-11  9.917961E-12  5.411277E-13
    117  4.721637454993E-02  1.295355E-10  1.682682E-10  8.245396E-10  2.641657E-10  3.420269E-10  3.245932E-11  1.226501E-11  6.745348E-13
    118  4.732862910872E-02  1.461130E-10  1.920373E-10  9.560903E-10  3.094706E-10  4.065336E-10  3.889151E-11  1.490314E-11  8.257651E-13
    119  4.750539400184E-02  1.752868E-10  2.346779E-10  1.198078E-09  3.941279E-10  5.297227E-10  5.132117E-11  2.010659E-11  1.127276E-12
    120  4.767210524850E-02  2.064949E-10  2.813278E-10  1.470679E-09  4.912558E-10  6.746861E-10  6.615050E-11  2.646460E-11  1.500333E-12
    121  4.783406579930E-02  2.405352E-10  3.333208E-10  1.783146E-09  6.045553E-10  8.479363E-10  8.410819E-11  3.434148E-11  1.968067E-12
    122  4.799263518131E-02  2.777014E-10  3.912935E-10  2.141205E-09  7.366170E-10  1.054701E-09  1.058158E-10  4.407712E-11  2.552944E-12
    123  4.815339657435E-02  3.195786E-10  4.579957E-10  2.564587E-09  8.954362E-10  1.309276E-09  1.328846E-10  5.648888E-11  3.307262E-12
    124  4.832264594384E-02  3.685891E-10  5.377619E-10  3.085293E-09  1.094205E-09  1.635704E-09  1.680526E-10  7.298698E-11  4.321987E-12
    125  4.849826454798E-02  4.252168E-10  6.320191E-10  3.718827E-09  1.340480E-09  2.050490E-09  2.133554E-10  9.475169E-11  5.677421E-12
    126  4.867786870736E-02  4.897165E-10  7.418861E-10  4.479754E-09  1.641847E-09  2.571398E-09  2.710536E-10  1.231582E-10  7.469272E-12
    127  4.885872256535E-02  5.619534E-10  8.678414E-10  5.378975E-09  2.004772E-09  3.215387E-09  3.434065E-10  1.596735E-10  9.802652E-12
    128  4.903755607841E-02  6.411529E-10  1.009190E-09  6.419035E-09  2.432503E-09  3.994465E-09  4.321847E-10  2.055983E-10  1.277543E-11
    129  4.921259737621E-02  7.267214E-10  1.165444E-09  7.603425E-09  2.928666E-09  4.921702E-09  5.393263E-10  2.623845E-10  1.649821E-11
    130  4.938368810460E-02  8.185894E-10  1.337009E-09  8.942213E-09  3.499729E-09  6.016070E-09  6.675126E-10  3.319579E-10  2.111621E-11
    131  4.955132280349E-02  9.169880E-10  1.524864E-09  1.045048E-08  4.154567E-09  7.302262E-09  8.201890E-10  4.167745E-10  2.681480E-11
    132  4.971624312404E-02  1.022339E-09  1.730413E-09  1.214779E-08  4.904419E-09  8.811182E-09  1.001667E-09  5.199261E-10  3.382853E-11
    133  4.987811857735E-02  1.134370E-09  1.953752E-09  1.404381E-08  5.756558E-09  1.056736E-08  1.215626E-09  6.443132E-10  4.238615E-11
    134  5.003799836445E-02  1.253761E-09  2.196916E-09  1.616614E-08  6.726712E-09  1.261460E-08  1.468239E-09  7.944849E-10  5.283799E-11
    135  5.019682549602E-02  1.381172E-09  2.462043E-09  1.854464E-08  7.832511E-09  1.500362E-08  1.766785E-09  9.759411E-10  6.561362E-11
    136  5.035511419132E-02  1.517001E-09  2.750873E-09  2.120837E-08  9.092097E-09  1.778971E-08  2.119394E-09  1.195060E-09  8.121962E-11
    137  5.051299755300E-02  1.661263E-09  3.064461E-09  2.418226E-08  1.052255E-08  2.102949E-08  2.534672E-09  1.458923E-09  1.002303E-10
    138  5.067010535678E-02  1.813333E-09  3.402520E-09  2.748002E-08  1.213631E-08  2.477241E-08  3.020611E-09  1.774643E-09  1.232416E-10
    139  5.082726902819E-02  1.973557E-09  3.767000E-09  3.113911E-08  1.395834E-08  2.910104E-08  3.589867E-09  2.152882E-09  1.511314E-10
    140  5.098506829486E-02  2.141914E-09  4.159239E-09  3.519467E-08  1.601393E-08  3.410512E-08  4.256582E-09  2.606043E-09  1.849396E-10
    141  5.114361869269E-02  2.317638E-09  4.579013E-09  3.966912E-08  1.832349E-08  3.986915E-08  5.034800E-09  3.147322E-09  2.258048E-10
    142  5.130328078870E-02  2.499855E-09  5.025985E-09  4.458706E-08  2.091005E-08  4.649138E-08  5.941083E-09  3.792657E-09  2.751182E-10
    143  5.146205644840E-02  2.684472E-09  5.491824E-09  4.988512E-08  2.375096E-08  5.395748E-08  6.977057E-09  4.548159E-09  3.335615E-10
