 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                cu62          cu63          cu64          cu65          cu66          cu67          cu68          cu69 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.178797E-30  1.163993E-30  1.056725E-30  1.036116E-30  1.004733E-30  1.005896E-30  1.002175E-30  1.000000E-30
      3  6.264265632874E-16  2.327565E-30  2.402374E-30  1.550396E-30  1.323089E-30  1.043949E-30  1.039401E-30  1.013649E-30  1.000000E-30
      4  2.206990590178E-15  5.769336E-30  8.151764E-30  4.809671E-30  3.602937E-30  1.412300E-30  1.200926E-30  1.051015E-30  1.000000E-30
      5  6.425069294186E-15  9.212854E-30  2.204678E-29  1.780243E-29  1.800470E-29  4.874332E-30  2.606317E-30  1.241479E-30  1.005594E-30
      6  1.724777641531E-14  1.083801E-29  4.165840E-29  4.585952E-29  6.830609E-29  2.516293E-29  1.368612E-29  2.872522E-30  1.236423E-30
      7  4.527785414179E-14  1.252835E-29  6.798371E-29  9.835929E-29  2.034356E-28  1.048382E-28  6.934717E-29  1.317050E-29  2.855340E-30
      8  1.231582592127E-13  1.775322E-29  1.474147E-28  2.591900E-28  6.329407E-28  3.714556E-28  2.662863E-28  5.129328E-29  8.466687E-30
      9  4.001734798240E-13  3.596333E-29  3.794825E-28  7.146108E-28  1.837894E-27  1.122065E-27  8.241752E-28  1.604392E-28  2.467099E-29
     10  1.150918682670E-12  4.526951E-29  5.315259E-28  1.013137E-27  2.620324E-27  1.594500E-27  1.169281E-27  2.259536E-28  3.424353E-29
     11  2.802808442389E-12  3.135123E-29  3.698209E-28  7.115475E-28  1.849244E-27  1.131782E-27  8.331276E-28  1.619721E-28  2.497993E-29
     12  6.912921996243E-12  1.793035E-29  2.163336E-28  4.168886E-28  1.085923E-27  6.644445E-28  4.894615E-28  9.570267E-29  1.532748E-29
     13  1.659368270033E-11  1.000000E-30  1.278875E-29  2.524390E-29  6.675511E-29  4.162671E-29  3.149160E-29  6.964613E-30  1.860336E-30
     14  1.134012897413E-10  1.000000E-30  2.588017E-30  5.155309E-30  1.371612E-29  8.599975E-30  6.511070E-30  1.419055E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.071451E-30  2.136375E-30  5.687372E-30  3.564758E-30  2.693268E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  1.496090518789E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  2.379765156362E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     27  3.772948503579E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.431237E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     28  4.957278025650E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.238836E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     29  5.758110286319E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     30  6.636115041812E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     31  7.490864585256E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     32  8.026631019591E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     33  8.451616658664E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     34  9.803471762980E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.426013E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     35  1.116687552369E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.451622E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     36  1.219012310682E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.129047E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     37  1.314647137106E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.075306E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     38  1.431720408173E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.323326E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     39  1.545287753035E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.322264E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     40  1.716820108076E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.527291E-30  1.546890E-30  1.599282E-30  1.000000E-30  1.000000E-30
     41  1.871872199221E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.937951E-30  1.452586E-30  1.653812E-30  1.000000E-30  1.000000E-30
     42  2.131412024987E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.683519E-30  3.826273E-30  4.273615E-30  1.000000E-30  1.000000E-30
     43  2.288535686070E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.754170E-30  1.765158E-30  3.688693E-30  1.000000E-30  1.000000E-30
     44  2.437102778700E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.178889E-30  2.639160E-30  3.488720E-30  1.000000E-30  1.000000E-30
     45  2.666254430666E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.514449E-30  2.888319E-30  6.532850E-30  1.188680E-30  1.000000E-30
     46  2.807329513827E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.406675E-30  3.538433E-30  5.629352E-30  1.066717E-30  1.000000E-30
     47  2.946719119355E-02  1.000000E-30  1.000000E-30  1.047881E-30  2.479022E-30  2.568883E-30  7.257521E-30  1.411394E-30  1.000000E-30
     48  2.982466835475E-02  1.000000E-30  1.000000E-30  1.991927E-30  6.941430E-30  5.029669E-30  7.499310E-30  1.379448E-30  1.000000E-30
     49  3.017238950627E-02  1.000000E-30  1.519270E-30  4.236035E-30  1.470503E-29  1.064626E-29  1.545151E-29  2.896810E-30  1.000000E-30
     50  3.052509122072E-02  1.000000E-30  3.287617E-30  9.536299E-30  3.410497E-29  2.519583E-29  3.737219E-29  7.093446E-30  1.835309E-30
     51  3.066477686677E-02  1.000000E-30  4.471095E-30  1.312236E-29  4.730902E-29  3.514598E-29  5.238523E-29  9.997413E-30  2.596549E-30
     52  3.080037159611E-02  1.000000E-30  6.015592E-30  1.794662E-29  6.592598E-29  4.963367E-29  7.523615E-29  1.451086E-29  3.821735E-30
     53  3.111325257314E-02  1.000000E-30  1.190311E-29  3.694986E-29  1.422999E-28  1.107480E-28  1.751058E-28  3.464527E-29  9.448650E-30
     54  3.147800645819E-02  1.743536E-30  2.623667E-29  8.521185E-29  3.461193E-28  2.795638E-28  4.632661E-28  9.434158E-29  2.674715E-29
     55  3.181357346897E-02  3.406360E-30  5.391123E-29  1.825844E-28  7.798318E-28  6.521568E-28  1.129455E-27  2.363024E-28  6.949499E-29
     56  3.217197145871E-02  6.907494E-30  1.155164E-28  4.092587E-28  1.846327E-27  1.603085E-27  2.912227E-27  6.273235E-28  1.919915E-28
