 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                zn77          zn78          zn79          zn80          zn81          zn82          zn83          zn84 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.000325E-30  1.000000E-30  1.000000E-30  1.001266E-30  1.000000E-30  1.004018E-30  1.000000E-30
      3  6.264265632874E-16  1.000000E-30  1.001999E-30  1.000000E-30  1.000000E-30  1.007851E-30  1.000000E-30  1.025031E-30  1.000000E-30
      4  2.206990590178E-15  1.000000E-30  1.006695E-30  1.000000E-30  1.000000E-30  1.026859E-30  1.000000E-30  1.086751E-30  1.000000E-30
      5  6.425069294186E-15  1.000614E-30  1.017090E-30  1.000000E-30  1.000000E-30  1.072401E-30  1.000000E-30  1.241821E-30  1.000000E-30
      6  1.724777641531E-14  1.008804E-30  1.033677E-30  1.000000E-30  1.000000E-30  1.161044E-30  1.000000E-30  1.582436E-30  1.000000E-30
      7  4.527785414179E-14  1.028582E-30  1.047120E-30  1.000000E-30  1.000000E-30  1.276206E-30  1.000000E-30  2.177371E-30  1.000000E-30
      8  1.231582592127E-13  1.036702E-30  1.049587E-30  1.000015E-30  1.000034E-30  1.392924E-30  1.086830E-30  2.777571E-30  1.000000E-30
      9  4.001734798240E-13  1.036542E-30  1.050997E-30  1.001312E-30  1.031052E-30  1.553000E-30  1.173344E-30  2.924657E-30  1.000000E-30
     10  1.150918682670E-12  1.040695E-30  1.056238E-30  1.002058E-30  1.041016E-30  1.567941E-30  1.177841E-30  2.950147E-30  1.007140E-30
     11  2.802808442389E-12  1.053267E-30  1.054391E-30  1.008477E-30  1.000000E-30  1.522480E-30  1.173782E-30  2.895206E-30  1.000000E-30
     12  6.912921996243E-12  1.038246E-30  1.045660E-30  1.000000E-30  1.018552E-30  1.503648E-30  1.135454E-30  2.678812E-30  1.000000E-30
     13  1.659368270033E-11  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.405137E-30  1.000000E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  1.496090518789E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  2.379765156362E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     27  3.772948503579E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
