 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ge72          ge73          ge74          ge75          ge76          ge77          ge78          ge79 
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.042906E-30  1.011031E-30  1.005210E-30  1.000000E-30  1.012792E-30  1.000000E-30  1.000199E-30  1.000000E-30
      3  6.264265632874E-16  1.345429E-30  1.091475E-30  1.032629E-30  1.000000E-30  1.078547E-30  1.000000E-30  1.001216E-30  1.000000E-30
      4  2.206990590178E-15  3.391250E-30  1.759562E-30  1.135597E-30  1.000000E-30  1.260822E-30  1.000000E-30  1.004059E-30  1.000000E-30
      5  6.425069294186E-15  1.467026E-29  7.143588E-30  1.896775E-30  1.043954E-30  1.654203E-30  1.000000E-30  1.011064E-30  1.000000E-30
      6  1.724777641531E-14  5.653603E-29  3.115276E-29  8.040334E-30  2.648071E-30  2.348884E-30  1.000000E-30  1.028304E-30  1.000005E-30
      7  4.527785414179E-14  1.819229E-28  1.026180E-28  3.430023E-29  1.046511E-29  3.751210E-30  1.000000E-30  1.064655E-30  1.000030E-30
      8  1.231582592127E-13  4.635054E-28  2.586844E-28  9.615051E-29  2.926568E-29  7.408072E-30  1.322902E-30  1.151053E-30  1.000000E-30
      9  4.001734798240E-13  1.352487E-27  7.696511E-28  3.027930E-28  9.527938E-29  2.351248E-29  3.438464E-30  1.505524E-30  1.000000E-30
     10  1.150918682670E-12  1.752840E-27  9.945046E-28  3.970719E-28  1.251110E-28  3.122629E-29  4.380659E-30  1.653579E-30  1.000000E-30
     11  2.802808442389E-12  1.259479E-27  7.157197E-28  2.867775E-28  9.073111E-29  2.312286E-29  3.339432E-30  1.464134E-30  1.000000E-30
     12  6.912921996243E-12  7.307533E-28  4.155584E-28  1.671813E-28  5.316762E-29  1.409762E-29  2.152336E-30  1.363682E-30  1.054595E-30
     13  1.659368270033E-11  4.385666E-29  2.509977E-29  1.050731E-29  3.637588E-30  1.922318E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.134012897413E-10  9.502428E-30  5.463682E-30  2.286556E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  3.954093E-30  2.272734E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
