 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                sr95          sr96          sr97          sr98          sr99          sr100         sr101         sr102
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.001088E-30  1.000000E-30  1.001992E-30  1.000000E-30  1.004352E-30  1.000000E-30  1.003557E-30  1.000000E-30
      3  6.264265632874E-16  1.006768E-30  1.000000E-30  1.012403E-30  1.000000E-30  1.027085E-30  1.000000E-30  1.022180E-30  1.000000E-30
      4  2.206990590178E-15  1.023367E-30  1.000000E-30  1.042907E-30  1.000000E-30  1.093587E-30  1.000000E-30  1.077056E-30  1.000000E-30
      5  6.425069294186E-15  1.064521E-30  1.000000E-30  1.119026E-30  1.000000E-30  1.258831E-30  1.000000E-30  1.216161E-30  1.000000E-30
      6  1.724777641531E-14  1.152084E-30  1.000000E-30  1.283379E-30  1.000000E-30  1.611605E-30  1.000000E-30  1.528745E-30  1.000000E-30
      7  4.527785414179E-14  1.295440E-30  1.002803E-30  1.588601E-30  1.093775E-30  2.185316E-30  1.000000E-30  2.106602E-30  1.000000E-30
      8  1.231582592127E-13  1.675348E-30  1.351775E-30  2.346873E-30  1.456132E-30  2.672413E-30  1.000000E-30  2.778636E-30  1.000000E-30
      9  4.001734798240E-13  2.512996E-30  1.800033E-30  2.848610E-30  1.556054E-30  2.755465E-30  1.000000E-30  3.008131E-30  1.000000E-30
     10  1.150918682670E-12  2.546575E-30  1.809354E-30  2.852101E-30  1.554631E-30  2.753764E-30  1.000000E-30  2.999491E-30  1.000000E-30
     11  2.802808442389E-12  2.472859E-30  1.758344E-30  2.779196E-30  1.514333E-30  2.688014E-30  1.000000E-30  2.982969E-30  1.000000E-30
     12  6.912921996243E-12  2.646281E-30  1.888318E-30  3.026687E-30  1.660896E-30  2.886662E-30  1.049755E-30  3.193686E-30  1.063741E-30
     13  1.659368270033E-11  1.667252E-30  1.185039E-30  1.746971E-30  1.000000E-30  1.517382E-30  1.000000E-30  1.813041E-30  1.000000E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
