 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                sr103         sr104         sr105         sr106         sr107         sr108         sr109         sr110
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.001207E-30  1.000000E-30  1.001544E-30  1.000000E-30  1.001437E-30  1.000000E-30  1.000636E-30  1.000000E-30
      3  6.264265632874E-16  1.007520E-30  1.000000E-30  1.009634E-30  1.000000E-30  1.008981E-30  1.000000E-30  1.003981E-30  1.000000E-30
      4  2.206990590178E-15  1.026069E-30  1.000000E-30  1.033542E-30  1.000000E-30  1.031402E-30  1.000000E-30  1.013962E-30  1.000000E-30
      5  6.425069294186E-15  1.072709E-30  1.000000E-30  1.094637E-30  1.000000E-30  1.089577E-30  1.000000E-30  1.040175E-30  1.000000E-30
      6  1.724777641531E-14  1.175359E-30  1.000000E-30  1.234781E-30  1.000000E-30  1.228379E-30  1.000000E-30  1.104679E-30  1.000000E-30
      7  4.527785414179E-14  1.355538E-30  1.000000E-30  1.507592E-30  1.000000E-30  1.526821E-30  1.000000E-30  1.254725E-30  1.000000E-30
      8  1.231582592127E-13  1.539493E-30  1.000000E-30  1.866925E-30  1.000000E-30  2.032875E-30  1.000000E-30  1.567190E-30  1.000000E-30
      9  4.001734798240E-13  1.586587E-30  1.000000E-30  2.026168E-30  1.000000E-30  2.449954E-30  1.000000E-30  2.019291E-30  1.000000E-30
     10  1.150918682670E-12  1.583078E-30  1.000000E-30  2.028496E-30  1.000000E-30  2.480666E-30  1.000046E-30  2.140183E-30  1.000000E-30
     11  2.802808442389E-12  1.593090E-30  1.002773E-30  2.038685E-30  1.004097E-30  2.481618E-30  1.000484E-30  2.142363E-30  1.000018E-30
     12  6.912921996243E-12  1.607702E-30  1.011511E-30  2.006016E-30  1.000000E-30  2.464344E-30  1.000000E-30  2.135529E-30  1.000000E-30
     13  1.659368270033E-11  1.293720E-30  1.000000E-30  1.377957E-30  1.000000E-30  1.490609E-30  1.000000E-30  1.516769E-30  1.000000E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
