 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                y87           y88           y89           y90           y91           y92           y93           y94  
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.088634E-30  1.059528E-30  1.012313E-30  1.009897E-30  1.002131E-30  1.000621E-30  1.001610E-30  1.000000E-30
      3  6.264265632874E-16  1.828379E-30  1.525196E-30  1.115393E-30  1.064912E-30  1.013381E-30  1.004080E-30  1.009823E-30  1.000000E-30
      4  2.206990590178E-15  6.306235E-30  4.806540E-30  2.120158E-30  1.296679E-30  1.050543E-30  1.016113E-30  1.032027E-30  1.000000E-30
      5  6.425069294186E-15  1.835885E-29  1.948625E-29  1.071790E-29  2.994568E-30  1.263417E-30  1.059082E-30  1.076885E-30  1.000000E-30
      6  1.724777641531E-14  3.419553E-29  5.790939E-29  5.232855E-29  1.783430E-29  3.545465E-30  1.290019E-30  1.143981E-30  1.000000E-30
      7  4.527785414179E-14  6.499467E-29  1.633707E-28  1.974665E-28  1.216024E-28  2.027511E-29  3.066569E-30  1.350805E-30  1.000000E-30
      8  1.231582592127E-13  1.802304E-28  5.143078E-28  6.709285E-28  5.716707E-28  8.374025E-29  1.082132E-29  2.240567E-30  1.000071E-30
      9  4.001734798240E-13  4.634613E-28  1.402128E-27  1.896089E-27  1.805084E-27  2.533480E-28  3.276310E-29  5.231255E-30  1.419179E-30
     10  1.150918682670E-12  4.574635E-28  1.392507E-27  1.889776E-27  1.835471E-27  2.533428E-28  3.273835E-29  5.220426E-30  1.416013E-30
     11  2.802808442389E-12  3.427602E-28  1.048706E-27  1.426006E-27  1.397551E-27  1.930958E-28  2.542549E-29  4.351474E-30  1.387360E-30
     12  6.912921996243E-12  1.915164E-28  5.882917E-28  8.019898E-28  7.948934E-28  1.098918E-28  1.503812E-29  3.041465E-30  1.271075E-30
     13  1.659368270033E-11  1.101749E-29  3.445528E-29  4.779330E-29  4.984469E-29  7.617837E-30  1.768053E-30  1.000000E-30  1.000000E-30
     14  1.134012897413E-10  2.518932E-30  7.914942E-30  1.099446E-29  1.154488E-29  1.791815E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.053284E-30  3.312595E-30  4.601683E-30  4.822557E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  1.496090518789E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  2.379765156362E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     27  3.772948503579E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     28  4.957278025650E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     29  5.758110286319E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     30  6.636115041812E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     31  7.490864585256E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     32  8.026631019591E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     33  8.451616658664E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
