 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                nb97          nb98          nb99          nb100         nb101         nb102         nb103         nb104
      1  0.000000000000E+00  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
      2  1.000000000000E-16  1.000000E-30  1.001845E-30  1.000000E-30  1.001268E-30  1.000000E-30  1.000138E-30  1.000000E-30  1.000924E-30
      3  6.264265632874E-16  1.000000E-30  1.011343E-30  1.000000E-30  1.007783E-30  1.000000E-30  1.000849E-30  1.000000E-30  1.005675E-30
      4  2.206990590178E-15  1.000000E-30  1.037800E-30  1.000000E-30  1.025820E-30  1.000000E-30  1.002815E-30  1.000000E-30  1.018888E-30
      5  6.425069294186E-15  1.000000E-30  1.095393E-30  1.000000E-30  1.064418E-30  1.000000E-30  1.007039E-30  1.000000E-30  1.047493E-30
      6  1.724777641531E-14  1.000000E-30  1.186375E-30  1.007351E-30  1.121167E-30  1.000000E-30  1.013515E-30  1.000000E-30  1.090717E-30
      7  4.527785414179E-14  1.023327E-30  1.322070E-30  1.059539E-30  1.159993E-30  1.000000E-30  1.019624E-30  1.000000E-30  1.121875E-30
      8  1.231582592127E-13  1.922765E-30  1.535961E-30  1.098937E-30  1.166925E-30  1.000000E-30  1.022800E-30  1.000002E-30  1.126521E-30
      9  4.001734798240E-13  4.611338E-30  2.025938E-30  1.159570E-30  1.170465E-30  1.001191E-30  1.023463E-30  1.000323E-30  1.125167E-30
     10  1.150918682670E-12  4.493802E-30  2.008488E-30  1.158448E-30  1.178852E-30  1.001856E-30  1.027064E-30  1.000000E-30  1.125695E-30
     11  2.802808442389E-12  3.658113E-30  1.948047E-30  1.192756E-30  1.221913E-30  1.052437E-30  1.068923E-30  1.043497E-30  1.178160E-30
     12  6.912921996243E-12  2.394830E-30  1.668874E-30  1.129276E-30  1.200321E-30  1.011223E-30  1.029824E-30  1.000000E-30  1.117219E-30
     13  1.659368270033E-11  1.000000E-30  1.270926E-30  1.000000E-30  1.027867E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     14  1.134012897413E-10  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     15  1.081477360150E-09  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     16  1.076223806424E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     17  6.834096797002E-08  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     18  2.542122411654E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     19  7.007518887657E-07  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     20  1.724661805125E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     21  4.267664185819E-06  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     22  1.786211798807E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     23  6.929007850093E-05  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     24  5.835696836295E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     25  1.496090518789E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     26  2.379765156362E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
